赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2021-2022,,Denver,Nuggets,Russell,Westbrook,
2021-2022,,Philadelphia,76ers,John,Wall,
2021-2022,,New Orleans,Pelicans,Kevin,Durant,
2021-2022,,Golden State,Warriors,Anthony,Davis,
2021-2022,,Atlanta,Hawks,DeMarcus,Cousins,
2020-2021,,Denver,Nuggets,Russell,Westbrook,
2020-2021,,Oklahoma City,Thunder,Derrick,Rose,
2020-2021,,Miami,Heat,LeBron,James,
2020-2021,,Golden State,Warriors,Anthony,Davis,
2020-2021,,Detroit,Pistons,Karl-Anthony,Towns,
2019-2020,,Denver,Nuggets,Russell,Westbrook,
2019-2020,,Brooklyn,Nets,Paul,George,
2019-2020,,New Orleans,Pelicans,Kevin,Durant,
2019-2020,,Memphis,Grizzlies,Carmelo,Anthony,
2019-2020,,Washington,Wizards,Bobby C.,O'Gallagher,
2018-2019,,Brooklyn,Nets,Paul,George,
2018-2019,,New Orleans,Pelicans,Stephen,Curry,
2018-2019,,Memphis,Grizzlies,Carmelo,Anthony,
2018-2019,,Sacramento,Kings,Giannis,Antetokounmpo,
2018-2019,,Washington,Wizards,Bobby C.,O'Gallagher,
2017-2018,,Los Angeles,Lakers,Chris,Paul,
2017-2018,,Brooklyn,Nets,Paul,George,
2017-2018,,Memphis,Grizzlies,Kevin,Love,
2017-2018,,New Orleans,Pelicans,Kevin,Durant,
2017-2018,,Detroit,Pistons,Karl-Anthony,Towns,
2016-2017,,Brooklyn,Nets,Paul,George,
2016-2017,,Oklahoma City,Thunder,Derrick,Rose,
2016-2017,,Miami,Heat,Chris,Bosh,
2016-2017,,Memphis,Grizzlies,Kevin,Love,
2016-2017,,Golden State,Warriors,Anthony,Davis,
2015-2016,,Los Angeles,Lakers,Chris,Paul,
2015-2016,,Los Angeles,Lakers,Kobe,Bryant,
2015-2016,,Detroit,Pistons,Pau,Gasol,
2015-2016,,New Orleans,Pelicans,Kevin,Durant,
2015-2016,,Atlanta,Hawks,DeMarcus,Cousins,
2014-2015,,Portland,Trail Blazers,Dwyane,Wade,
2014-2015,,New Orleans,Pelicans,Stephen,Curry,
2014-2015,,Golden State,Warriors,Anthony,Davis,
2014-2015,,San Antonio,Spurs,Tim,Duncan,
2014-2015,,Atlanta,Hawks,DeMarcus,Cousins,
2013-2014,,Portland,Trail Blazers,Dwyane,Wade,
2013-2014,,New Orleans,Pelicans,Stephen,Curry,
2013-2014,,Miami,Heat,LeBron,James,
2013-2014,,New Orleans,Pelicans,Kevin,Durant,
2013-2014,,Philadelphia,76ers,Ming,Yao,
