名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kevin,Garnett,758303125,,2017,4,12,61417.00
Kobe,Bryant,1882810953,,2018,4,11,60600.00
Tim,Duncan,1399501823,,2018,4,11,60060.00
Ray,Allen,3316948068,,2018,4,11,57541.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,57446.00
LeBron,James,14453172,,2022,4,13,56724.00
Karl,Malone,209778290,,2004,4,15,55078.00
Carmelo,Anthony,4208656977,,2022,4,13,54716.00
Tony,Parker,961068511,,2022,4,13,53356.00
Tracy,McGrady,4135983248,,2018,4,10,53003.00
Dirk,Nowitzki,3340545434,,2017,4,11,52269.00
Tyson,Chandler,3563203870,,2022,4,13,51478.00
Paul,Pierce,3059123028,,2017,4,12,51413.00
Pau,Gasol,1381211648,,2019,4,10,51124.00
Chris,Bosh,2798522086,,2022,4,13,50817.00
Vince,Carter,949977097,,2017,4,12,50574.00
Elvin,Hayes,3242341554,,1981,0,0,50000.00
John,Stockton,2802392380,,2004,4,15,49718.00
Elton,Brand,1406491559,,2016,4,14,49672.00
Chris,Paul,125296487,,2022,4,13,48855.00
Hakeem,Olajuwon,1272403453,,2004,4,15,47924.00
Wilt,Chamberlain,3995331167,,1965,0,0,47859.00
Shawn,Marion,4242905577,,2017,4,12,46755.00
John,Havlicek,743581393,,1978,0,0,46471.00
Jason,Kidd,2482654227,,2011,4,13,45742.00
Robert,Parish,343163452,,1994,0,0,45704.00
Corey,Maggette,1583327544,,2018,4,11,45703.00
Gilbert,Arenas,524621617,,2019,4,10,45688.00
Moses,Malone,1285953927,,1982,0,0,45071.00
Shareef,Abdur-Rahim,2131293229,,2014,4,16,44969.00
Jason,Richardson,3004004423,,2017,4,12,44225.00
Kevin,Durant,3289429399,,2022,4,13,44182.00
Joe,Johnson,2911898164,,2019,4,8,44053.00
Zach,Randolph,3982421389,,2019,4,10,43976.00
Oscar,Robertson,2136803151,,1970,0,0,43886.00
Shaquille,O'Neal,2048556069,,2009,4,15,43590.00
Dwight,Howard,1835916760,,2021,1,15,43577.00
Andrea,Bargnani,2972822663,,2022,4,13,42903.00
Dwyane,Wade,702239229,,2019,4,10,42667.00
Jermaine,O'Neal,3129988045,,2017,2,19,42591.00
Carlos,Boozer,1035628148,,2019,4,10,42546.00
Buck,Williams,3112056332,,1989,0,0,42464.00
Gary,Payton,1962166602,,2005,4,13,42384.00
LaMarcus,Aldridge,728364780,,2022,4,13,42260.00
Mike,Bibby,36368026,,2015,4,15,41711.00
Jason,Terry,3905775793,,2015,4,15,41638.00
J.R.,Smith,1539019190,,2022,3,8,41557.00
Allen,Iverson,381545994,,2013,2,10,41450.00
Reggie,Miller,0,,2003,0,0,41143.00
Scottie,Pippen,2493443696,,2003,4,16,40993.00
Derrick,Rose,535126531,,2022,4,13,40786.00
Bill,Russell,0,,1969,0,0,40726.00
Chauncey,Billups,257700249,,2015,4,8,40687.00
Michael,Jordan,1656064730,,2003,4,16,40640.00
Patrick,Ewing,2307488153,,2000,0,0,40594.00
Kyle,Lowry,1665484738,,2022,4,13,40497.00
Ming,Yao,648740660,,2017,4,12,40473.00
Steve,Nash,3116079434,,2013,4,10,40288.00
Stephon,Marbury,293525334,,2012,4,12,40267.00
Mike,Conley,844021635,,2022,4,13,40241.00
Tyrus,Thomas,2481064465,,2022,4,13,40238.00
Otis,Thorpe,219390279,,1995,0,0,39822.00
Mark,Jackson,1354317172,,2004,4,15,39793.00
Hal,Greer,3991557422,,1973,0,0,39788.00
Charles,Oakley,2952759940,,2003,1,20,39742.00
Chris,Webber,1521973345,,2011,3,13,39634.00
Amar'e,Stoudemire,3433513141,,2017,4,12,39592.00
Charles,Barkley,0,,1992,0,0,39330.00
Horace,Grant,3364412778,,2003,4,16,39018.00
Walt,Bellamy,0,,1966,0,0,38940.00
Glen,Rice,2017926309,,2005,4,13,38791.00
Luol,Deng,1469495419,,2019,4,10,38699.00
Wally,Szczerbiak,1650499239,,2015,2,14,38459.00
Kevin,Love,2622310705,,2022,4,13,38318.00
David,Robinson,3972749366,,2005,4,12,38200.00
Dominique,Wilkins,1986062677,,1994,0,0,38113.00
Stephen,Curry,1629185898,,2022,4,13,38084.00
Lenny,Wilkens,600012424,,1968,0,0,38064.00
Alex,English,3220462428,,1990,0,0,38063.00
Derek,Harper,3832165228,,1997,0,0,37786.00
James,Harden,3411490024,,2022,4,13,37687.00
Kevin,Willis,2373521338,,2003,3,29,37590.00
Clyde,Drexler,2830652689,,1995,0,0,37537.00
Troy,Hudson,254762046,,2015,4,15,37518.00
Rashard,Lewis,3116374673,,2014,4,16,37262.00
Marc,Gasol,1897244614,,2022,4,13,37161.00
Jack,Sikma,508638775,,1986,0,0,36943.00
Brandon,Roy,2637549671,,2021,4,14,36929.00
Quentin,Richardson,3793921913,,2017,4,12,36922.00
Sam,Perkins,3375203864,,1990,0,0,36598.00
Jerry,West,294082333,,1974,0,0,36571.00
A.C.,Green,3921810256,,2000,0,0,36552.00
Dajuan,Wagner,2458588898,,2018,1,29,36430.00
Cliff,Robinson,665568510,,2004,4,15,36232.00
Eddy,Curry,3903315353,,2019,4,6,36070.00
Donté,Greene,4101260216,,2022,4,13,36052.00
Tim,Thomas,434685153,,2014,4,16,35990.00
Dennis,Johnson,1414841501,,1990,0,0,35954.00
Nate,Thurmond,1261281841,,1974,0,0,35881.00
Jerry,Stackhouse,4099436601,,2010,2,13,35867.00
