名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kobe,Bryant,1882810953,,2018,4,11,48087.00
LeBron,James,14453172,,2022,4,13,44923.00
Tracy,McGrady,4135983248,,2018,4,10,41253.00
Carmelo,Anthony,4208656977,,2022,4,13,40251.00
Tim,Duncan,1399501823,,2018,4,11,39310.00
Kevin,Garnett,758303125,,2017,4,12,38504.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,38387.00
Dirk,Nowitzki,3340545434,,2017,4,11,37322.00
Karl,Malone,209778290,,2004,4,15,37213.00
Ray,Allen,3316948068,,2018,4,11,36655.00
Vince,Carter,949977097,,2017,4,12,36168.00
Chris,Bosh,2798522086,,2022,3,20,34436.00
Paul,Pierce,3059123028,,2017,4,12,34004.00
Pau,Gasol,1381211648,,2019,4,10,33153.00
Shaquille,O'Neal,2048556069,,2009,4,15,32867.00
Kevin,Durant,3289429399,,2022,4,13,32649.00
Michael,Jordan,1656064730,,2003,4,16,32521.00
Elton,Brand,1406491559,,2016,4,14,31751.00
Wilt,Chamberlain,3995331167,,1965,0,0,31419.00
Chris,Paul,125296487,,2022,4,13,31359.00
Allen,Iverson,381545994,,2012,2,29,30333.00
Derrick,Rose,535126531,,2022,4,13,30026.00
Dwyane,Wade,702239229,,2019,4,10,29561.00
Tony,Parker,961068511,,2022,4,13,29241.00
Stephen,Curry,1629185898,,2022,4,13,29026.00
Gilbert,Arenas,524621617,,2019,4,10,28945.00
Jason,Richardson,3004004423,,2017,4,12,28674.00
Shawn,Marion,4242905577,,2017,4,12,28655.00
Corey,Maggette,1583327544,,2018,4,11,28390.00
Hakeem,Olajuwon,1272403453,,2004,4,15,28278.00
Dwight,Howard,1835916760,,2020,4,16,27698.00
Moses,Malone,1285953927,,1982,0,0,27409.00
Elvin,Hayes,3242341554,,1981,0,0,27313.00
Amar'e,Stoudemire,3433513141,,2017,4,12,27113.00
Oscar,Robertson,2136803151,,1970,0,0,26710.00
Dominique,Wilkins,1986062677,,1994,0,0,26668.00
Jermaine,O'Neal,3129988045,,2016,4,14,26491.00
John,Havlicek,743581393,,1978,0,0,26395.00
James,Harden,3411490024,,2022,4,13,26051.00
Alex,English,3220462428,,1990,0,0,25613.00
Andrea,Bargnani,2972822663,,2022,4,13,25612.00
Kevin,Love,2622310705,,2022,4,13,25470.00
LaMarcus,Aldridge,728364780,,2022,4,13,25371.00
Jerry,West,294082333,,1974,0,0,25192.00
J.R.,Smith,1539019190,,2021,1,20,25152.00
Jason,Terry,3905775793,,2015,4,15,24906.00
Patrick,Ewing,2307488153,,2000,0,0,24815.00
Shareef,Abdur-Rahim,2131293229,,2014,2,18,24671.00
Ming,Yao,648740660,,2017,4,12,24654.00
Chris,Webber,1521973345,,2010,4,14,24493.00
Russell,Westbrook,2092888698,,2022,4,10,24332.00
Zach,Randolph,3982421389,,2019,4,10,24266.00
John,Wall,2715392048,,2022,4,13,24162.00
Charles,Barkley,0,,1992,0,0,23757.00
Stephon,Marbury,293525334,,2012,4,12,23469.00
Joe,Johnson,2911898164,,2019,2,13,23366.00
Robert,Parish,343163452,,1994,0,0,23334.00
Adrian,Dantley,3616010799,,1986,0,0,23177.00
Elgin,Baylor,4070105251,,1972,0,0,23149.00
Kawhi,Leonard,689664316,,2022,4,12,23057.00
Steve,Nash,3116079434,,2013,4,10,22650.00
Reggie,Miller,0,,2003,0,0,22623.00
Kyle,Lowry,1665484738,,2022,4,13,22600.00
Chauncey,Billups,257700249,,2015,4,8,22405.00
Clyde,Drexler,2830652689,,1995,0,0,22195.00
DeMarcus,Cousins,1068200658,,2022,4,13,22113.00
Tyson,Chandler,3563203870,,2022,4,13,21924.00
David,Robinson,3972749366,,2005,4,10,21834.00
Paul,George,1722054934,,2022,4,13,21791.00
Larry,Bird,721684922,,1992,0,0,21791.00
Isaiah,Thomas,2990905761,,2022,4,13,21652.00
Hal,Greer,3991557422,,1973,0,0,21586.00
Jerry,Stackhouse,4099436601,,2010,2,13,21527.00
Kyrie,Irving,1057757000,,2022,4,13,21458.00
Gary,Payton,1962166602,,2005,4,13,21331.00
Mike,Bibby,36368026,,2015,4,15,21185.00
Mike,Conley,844021635,,2022,4,13,21146.00
Blake,Griffin,1642967858,,2022,4,13,21122.00
Jason,Kidd,2482654227,,2011,4,13,21078.00
Walt,Bellamy,0,,1966,0,0,20941.00
Gordon,Hayward,1952026266,,2022,4,10,20913.00
Bob,Pettit,942771973,,1965,0,0,20880.00
George,Gervin,2863428041,,1985,0,0,20708.00
Mitch,Richmond,1738387460,,1998,0,0,20497.00
DeMar,DeRozan,299788915,,2022,1,21,20496.00
John,Stockton,2802392380,,2004,4,15,20188.00
Anthony,Davis,2964188718,,2022,4,12,20096.00
Tom,Chambers,1317344166,,1988,0,0,20049.00
Michael,Redd,2885142413,,2015,4,15,20021.00
Wally,Szczerbiak,1650499239,,2014,4,15,19830.00
Bernard,King,1640505611,,1991,0,0,19655.00
Antoine,Walker,566925475,,2009,4,15,19595.00
Walter,Davis,2450828659,,1988,0,0,19521.00
Glen,Rice,2017926309,,2005,4,13,19490.00
Terry,Cummings,1138652175,,1996,0,0,19460.00
Dajuan,Wagner,2458588898,,2017,4,11,19418.00
Rashard,Lewis,3116374673,,2014,4,16,19407.00
Bradley,Beal,1574868299,,2022,4,12,19332.00
Jamal,Mashburn,1119349431,,2009,4,15,19319.00
Bob,Lanier,3609822916,,1980,0,0,19248.00
