名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Wilt,Chamberlain,3995331167,,1965,0,0,32.00
Kobe,Bryant,1882810953,,2014,3,14,5.00
Michael,Jordan,1656064730,,2003,0,0,4.00
Elgin,Baylor,4070105251,,1972,0,0,3.00
Rick,Barry,3288714713,,1978,0,0,1.00
Larry,Bird,721684922,,1992,0,0,1.00
Tom,Chambers,1317344166,,1988,0,0,1.00
Joe,Fulks,0,,1954,0,0,1.00
George,Gervin,2863428041,,1985,0,0,1.00
Bernard,King,1640505611,,1991,0,0,1.00
Karl,Malone,209778290,,2003,0,0,1.00
Pete,Maravich,4117634903,,1980,0,0,1.00
James,Harden,3411490024,,2020,1,12,1.00
Kawhi,Leonard,689664316,,2014,12,3,1.00
George,Mikan,555862229,,1956,0,0,1.00
Allen,Iverson,381545994,,2005,12,26,1.00
Shaquille,O'Neal,2048556069,,2003,0,0,1.00
David,Robinson,3972749366,,2003,0,0,1.00
David,Thompson,383515277,,1982,0,0,1.00
Jerry,West,294082333,,1974,0,0,1.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
,,0,,0,0,0,0.00
