名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Marcelo,Huertas,386584120,,2019,9,30,0.96
Ray,Allen,3316948068,,2018,9,30,0.94
Mo,Williams,4279845858,,2018,9,30,0.93
Steve,Nash,3116079434,,2013,9,30,0.93
Dirk,Nowitzki,3340545434,,2017,9,30,0.92
Jason,Terry,3905775793,,2015,9,30,0.91
Anthony,Morrow,439542473,,2018,9,30,0.91
Brandon,Roy,2637549671,,2021,9,30,0.91
Mark,Price,374246220,,1995,0,0,0.90
Rick,Barry,3288714713,,1978,0,0,0.90
Troy,Hudson,254762046,,2015,9,30,0.90
Chauncey,Billups,257700249,,2015,9,30,0.90
Dijon,Thompson,3126711063,,2016,9,30,0.90
Calvin,Murphy,864836943,,1983,0,0,0.89
Kirk,Hinrich,4285397678,,2014,9,30,0.89
Scott,Skiles,2125320788,,1994,0,0,0.89
Larry,Bird,721684922,,1992,0,0,0.89
Lou,Wade,1013448705,,2021,9,30,0.89
Reggie,Miller,0,,2003,0,0,0.88
Darrell,Armstrong,2792644386,,2005,9,30,0.88
Bill,Sharman,3477864326,,1961,0,0,0.88
JJ,Redick,1078417778,,2021,9,30,0.88
Brian,Roberts,3288225083,,2020,9,30,0.88
Jeff,Hornacek,4078888838,,1992,0,0,0.88
Peja,Stojakovic,3092693600,,2014,9,30,0.88
Danny,Granger,741407164,,2018,9,30,0.88
Shawn,Marion,4242905577,,2018,9,30,0.88
Ricky,Pierce,4149460123,,1998,0,0,0.88
Kiki,Vandeweghe,4091869180,,1989,0,0,0.87
Jeff,Malone,2752087677,,1990,0,0,0.87
Hersey,Hawkins,2392124695,,1993,0,0,0.87
Mike,Newlin,0,,1979,0,0,0.87
Jordan,Crawford,1812838244,,2021,9,30,0.87
Rudy,Gay,3211271079,,2021,9,30,0.87
Micheal,Williams,1881348130,,1998,0,0,0.87
Wally,Szczerbiak,1650499239,,2015,9,30,0.87
Terrell,Brandon,622827363,,2005,9,30,0.87
Chris,Mullin,3404695396,,2001,0,0,0.87
Mike,Bibby,36368026,,2015,9,30,0.86
Shaun,Livingston,3443208561,,2021,9,30,0.86
Allan,Houston,1089204469,,2008,9,30,0.86
John,Long,2310790830,,1991,0,0,0.86
Earl,Boykins,2060320073,,2012,9,30,0.86
Charlie,Villanueva,1195434242,,2020,9,30,0.86
Steve,Kerr,1830095263,,2003,9,30,0.86
Cuttino,Mobley,3762437522,,2010,9,30,0.86
Derek,Anderson,2302680018,,2009,9,30,0.86
Eddie,House,1395508378,,2010,9,30,0.86
Dana,Barros,4129849418,,2000,0,0,0.86
Fred,Brown,1543827545,,1984,0,0,0.86
Gary,Neal,131551858,,2017,9,30,0.86
Fred,Hoiberg,146948856,,2005,9,30,0.86
Sam,Cassell,442729102,,2008,9,30,0.85
Tyronn,Lue,3519132200,,2011,9,30,0.85
Luke,Ridnour,1254504324,,2011,9,30,0.85
Larry,Siegfried,976328973,,1970,0,0,0.85
Mario,Elie,834488936,,1998,0,0,0.85
Eric,Piatkowski,477159292,,2007,9,30,0.85
Chris,Whitney,1303421328,,2005,9,30,0.85
J.J.,Barea,581604784,,2015,9,30,0.85
James,Silas,1953650122,,1981,0,0,0.85
Kyle,Korver,3922398341,,2018,9,30,0.85
Walter,Davis,2450828659,,1988,0,0,0.85
Trevor,Ariza,2665308507,,2019,9,30,0.85
Mitch,Richmond,1738387460,,1998,0,0,0.85
Devin,Harris,2607007122,,2020,9,30,0.85
Jack,Sikma,508638775,,1986,0,0,0.85
Dolph,Schayes,1885786402,,1964,0,0,0.85
Flynn,Robinson,0,,1971,0,0,0.85
Kelly,Tripucka,2540863251,,1986,0,0,0.85
Michael,Adams,4214690828,,1991,0,0,0.85
Marvin,Williams,1283820405,,2020,9,30,0.85
Kobe,Bryant,1882810953,,2018,9,30,0.85
D.J.,Gordon,828656779,,2019,9,30,0.85
Magic,Johnson,764720090,,1996,0,0,0.85
Spud,Webb,3716233632,,1996,0,0,0.85
Steve,Blake,1091655812,,2014,9,30,0.85
Jarrett,Jack,1930602738,,2018,9,30,0.85
Danny,Ainge,1572406090,,1989,0,0,0.85
Junior,Bridgeman,4110971477,,1987,0,0,0.85
Von,Wafer,737615484,,2015,9,30,0.84
Steve,Smith,433431112,,2004,9,30,0.84
George,Gervin,2863428041,,1985,0,0,0.84
Dell,Curry,4129098296,,1998,0,0,0.84
Joe,Dumars,3643422288,,1999,0,0,0.84
Jack,Marin,3809572689,,1972,0,0,0.84
Mike,Gminski,1752216590,,1988,0,0,0.84
Ricky,Sobers,3711180952,,1982,0,0,0.84
Arron,Afflalo,2632035623,,2020,9,30,0.84
Caron,Butler,4182325879,,2017,9,30,0.84
Brian,Winters,637097481,,1983,0,0,0.84
Travis,Best,532148788,,2009,9,30,0.84
Danny,Ferry,2479325357,,2004,9,30,0.84
Larry,Costello,0,,1968,0,0,0.84
Bryant,Stith,4289027113,,2000,0,0,0.84
Kevin,Johnson,272673572,,2000,0,0,0.84
Ming,Yao,648740660,,2017,9,30,0.84
Luther,Head,1614467558,,2015,9,30,0.84
Glen,Rice,2017926309,,2005,9,30,0.84
John,Crotty,330047322,,2004,9,30,0.84
