名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
John,Stockton,2802392380,,2004,4,15,3370.00
Kobe,Bryant,1882810953,,2018,4,11,3068.00
Chris,Paul,125296487,,2022,4,11,2768.00
Jason,Kidd,2482654227,,2011,4,13,2569.00
Michael,Jordan,1656064730,,2003,4,12,2486.00
LeBron,James,14453172,,2022,4,13,2406.00
Gary,Payton,1962166602,,2005,4,13,2378.00
Maurice,Cheeks,679650091,,1989,0,0,2310.00
Hakeem,Olajuwon,1272403453,,2004,4,15,2309.00
Dwyane,Wade,702239229,,2019,4,10,2304.00
Scottie,Pippen,2493443696,,2003,4,13,2301.00
Shawn,Marion,4242905577,,2017,4,9,2264.00
Clyde,Drexler,2830652689,,1995,0,0,2207.00
Allen,Iverson,381545994,,2012,2,29,2195.00
Paul,Pierce,3059123028,,2017,4,12,2163.00
Alvin,Robertson,0,,1989,0,0,2112.00
Karl,Malone,209778290,,2004,4,12,2086.00
Mookie,Blaylock,0,,1999,0,0,2075.00
Ron,Artest,4289966738,,2013,4,8,2053.00
Kevin,Garnett,758303125,,2017,3,10,2007.00
Derek,Harper,3832165228,,1997,0,0,1957.00
Kevin,Durant,3289429399,,2022,4,13,1951.00
Ray,Allen,3316948068,,2018,4,6,1897.00
Andrei,Kirilenko,2132221901,,2016,4,14,1871.00
Derrick,Rose,535126531,,2022,4,13,1864.00
Mike,Conley,844021635,,2022,4,12,1864.00
Baron,Davis,3827111738,,2014,4,16,1863.00
Isiah,Thomas,3964271256,,1994,0,0,1861.00
Carmelo,Anthony,4208656977,,2022,4,13,1847.00
Gilbert,Arenas,524621617,,2019,4,7,1844.00
Tracy,McGrady,4135983248,,2018,4,1,1804.00
Stephen,Curry,1629185898,,2022,4,13,1761.00
Russell,Westbrook,2092888698,,2022,4,10,1724.00
Magic,Johnson,764720090,,1996,0,0,1724.00
Rajon,Rondo,3776378435,,2021,4,4,1718.00
Ron,Harper,897654957,,1994,0,0,1716.00
Chris,Bosh,2798522086,,2022,3,1,1695.00
Kyle,Lowry,1665484738,,2022,4,12,1668.00
Fat,Lever,3580305163,,1990,0,0,1666.00
Paul,George,1722054934,,2022,4,13,1653.00
Charles,Barkley,0,,1992,0,0,1648.00
Gus,Williams,2182557430,,1984,0,0,1638.00
Eddie,Jones,3520257005,,2008,4,10,1634.00
Hersey,Hawkins,2392124695,,1993,0,0,1622.00
Mark,Jackson,1354317172,,2004,4,12,1616.00
Chris,Webber,1521973345,,2010,4,12,1601.00
Kawhi,Leonard,689664316,,2022,4,12,1593.00
Rod,Strickland,4147349710,,2004,2,4,1593.00
Terry,Porter,1240551733,,1995,0,0,1583.00
Tim,Duncan,1399501823,,2018,4,11,1576.00
John,Wall,2715392048,,2022,4,13,1568.00
Doc,Rivers,4043500579,,1991,0,0,1563.00
Larry,Bird,721684922,,1992,0,0,1556.00
Nate,McMillan,266131011,,1998,0,0,1544.00
Dirk,Nowitzki,3340545434,,2017,4,11,1543.00
Doug,Christie,3112205441,,2006,4,12,1538.00
Jeff,Hornacek,4078888838,,1992,0,0,1536.00
Chris,Mullin,3404695396,,2001,0,0,1530.00
David,Robinson,3972749366,,2005,4,8,1525.00
Jason,Terry,3905775793,,2015,4,14,1522.00
DeMarre,Carroll,1279865213,,2022,4,13,1518.00
Tony,Parker,961068511,,2022,3,25,1508.00
Julius,Erving,2925200878,,1987,0,0,1508.00
Vince,Carter,949977097,,2017,4,9,1505.00
Larry,Hughes,857045839,,2013,12,18,1503.00
Caron,Butler,4182325879,,2016,4,13,1490.00
Luol,Deng,1469495419,,2019,4,9,1485.00
J.R.,Smith,1539019190,,2020,12,18,1479.00
Dennis,Johnson,1414841501,,1990,0,0,1477.00
Micheal Ray,Richardson,1045697478,,1982,0,0,1463.00
Andrea,Bargnani,2972822663,,2022,4,10,1462.00
James,Harden,3411490024,,2022,4,13,1441.00
Jerome,Kersey,2448675046,,1995,0,0,1439.00
Tony,Allen,4100419844,,2018,4,11,1437.00
Kendall,Gill,1616744750,,2004,4,14,1433.00
Devin,Harris,2607007122,,2018,4,11,1432.00
Mike,Bibby,36368026,,2015,4,15,1427.00
Jamaal,Tinsley,2037639045,,2014,4,14,1426.00
Tim,Hardaway,1790829144,,2003,0,0,1419.00
Jason,Richardson,3004004423,,2017,4,12,1403.00
Randy,Smith,0,,1983,0,0,1403.00
Chris,Kaman,538716712,,2018,2,7,1391.00
Dominique,Wilkins,1986062677,,1994,0,0,1378.00
Muggsy,Bogues,2379797968,,1998,0,0,1369.00
Michael,Redd,2885142413,,2015,4,15,1355.00
Jimmy,Butler,1343105906,,2022,4,13,1349.00
Rickey,Green,3839755692,,1988,0,0,1348.00
Charles,Oakley,2952759940,,2003,0,0,1338.00
Quinn,Buckner,1718519567,,1982,0,0,1337.00
Vlade,Divac,3577130840,,2005,4,11,1330.00
Reggie,Miller,0,,2003,0,0,1328.00
Dwight,Howard,1835916760,,2020,4,14,1325.00
Elton,Brand,1406491559,,2016,4,14,1317.00
T.R.,Dunn,812437009,,1991,0,0,1316.00
Kenny,Anderson,3602700744,,2005,2,23,1306.00
Ricky,Rubio,4215381124,,2022,4,13,1299.00
Jeremy,Lin,601051313,,2022,4,13,1289.00
Alvan,Adams,1113372166,,1988,0,0,1289.00
Chauncey,Billups,257700249,,2015,2,27,1280.00
Walter,Davis,2450828659,,1988,0,0,1280.00
