名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kevin,Garnett,758303125,,2017,4,12,1757.00
Ray,Allen,3316948068,,2018,4,11,1753.00
Kobe,Bryant,1882810953,,2018,4,11,1726.00
Tony,Parker,961068511,,2022,4,13,1714.00
Tim,Duncan,1399501823,,2018,4,11,1671.00
Tyson,Chandler,3563203870,,2022,4,13,1664.00
Tracy,McGrady,4135983248,,2018,4,10,1631.00
Robert,Parish,343163452,,1994,0,0,1611.00
John,Stockton,2802392380,,2004,4,15,1586.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,1560.00
LeBron,James,14453172,,2022,4,13,1558.00
Carmelo,Anthony,4208656977,,2022,4,13,1547.00
Chris,Bosh,2798522086,,2022,4,13,1543.00
Dirk,Nowitzki,3340545434,,2017,4,11,1517.00
Karl,Malone,209778290,,2004,4,15,1515.00
Corey,Maggette,1583327544,,2018,4,11,1514.00
Paul,Pierce,3059123028,,2017,4,12,1511.00
Jermaine,O'Neal,3129988045,,2017,2,19,1483.00
Pau,Gasol,1381211648,,2019,4,10,1458.00
Vince,Carter,949977097,,2017,4,12,1451.00
Shawn,Marion,4242905577,,2017,4,12,1441.00
Zach,Randolph,3982421389,,2019,4,10,1433.00
Gilbert,Arenas,524621617,,2019,4,10,1424.00
Joe,Johnson,2911898164,,2019,4,8,1423.00
Hakeem,Olajuwon,1272403453,,2004,4,15,1402.00
Carlos,Boozer,1035628148,,2019,4,10,1396.00
Kwame,Brown,164836107,,2019,4,3,1388.00
Chris,Paul,125296487,,2022,4,13,1385.00
Elton,Brand,1406491559,,2016,4,14,1383.00
Quentin,Richardson,3793921913,,2017,4,12,1377.00
Mike,Bibby,36368026,,2015,4,15,1360.00
Shareef,Abdur-Rahim,2131293229,,2014,4,16,1348.00
Shaun,Livingston,3443208561,,2021,4,14,1346.00
J.R.,Smith,1539019190,,2022,3,8,1345.00
Chauncey,Billups,257700249,,2015,4,8,1345.00
Tim,Thomas,434685153,,2014,4,16,1341.00
Kevin,Willis,2373521338,,2003,3,29,1340.00
Mark,Jackson,1354317172,,2004,4,15,1336.00
Moses,Malone,1285953927,,1982,0,0,1329.00
C.J.,Miles,2667630231,,2022,4,12,1312.00
Jason,Kidd,2482654227,,2011,4,13,1309.00
Jamal,Crawford,3550709242,,2017,4,12,1307.00
Buck,Williams,3112056332,,1989,0,0,1307.00
Dwight,Howard,1835916760,,2021,1,15,1306.00
Jason,Richardson,3004004423,,2017,4,12,1305.00
Jason,Terry,3905775793,,2015,4,15,1305.00
Eddy,Curry,3903315353,,2019,4,6,1304.00
Troy,Hudson,254762046,,2015,4,15,1303.00
Elvin,Hayes,3242341554,,1981,0,0,1303.00
Tyrus,Thomas,2481064465,,2022,4,13,1302.00
LaMarcus,Aldridge,728364780,,2022,4,13,1300.00
Andrea,Bargnani,2972822663,,2022,4,13,1299.00
Steve,Nash,3116079434,,2013,4,10,1291.00
Sam,Perkins,3375203864,,1990,0,0,1286.00
A.C.,Green,3921810256,,2000,0,0,1278.00
Terry,Porter,1240551733,,1995,0,0,1274.00
John,Havlicek,743581393,,1978,0,0,1270.00
Otis,Thorpe,219390279,,1995,0,0,1257.00
Paul,Silas,200083957,,1976,0,0,1254.00
Shaquille,O'Neal,2048556069,,2009,4,15,1248.00
Dwyane,Wade,702239229,,2019,4,10,1244.00
Kyle,Lowry,1665484738,,2022,4,13,1234.00
Charles,Oakley,2952759940,,2003,1,20,1234.00
Kevin,Durant,3289429399,,2022,4,13,1230.00
Kris,Humphries,3927655795,,2019,4,10,1230.00
Ming,Yao,648740660,,2017,4,12,1230.00
Amar'e,Stoudemire,3433513141,,2017,4,12,1230.00
Luol,Deng,1469495419,,2019,4,10,1230.00
Stephon,Marbury,293525334,,2012,4,12,1230.00
Greg,Oden,1566182507,,2022,4,12,1229.00
Mike,Conley,844021635,,2022,4,13,1227.00
Baron,Davis,3827111738,,2014,4,16,1227.00
Johnny R.,Haywood,1555773519,,2021,4,14,1224.00
Wally,Szczerbiak,1650499239,,2015,2,14,1224.00
Rashard,Lewis,3116374673,,2014,4,16,1220.00
Thaddeus,Young,787678335,,2022,4,13,1218.00
Hamed,Haddadi,3382940480,,2021,4,10,1210.00
Dale,Ellis,3278069676,,1999,0,0,1209.00
Mike,Miller,3135191632,,2015,4,12,1207.00
Vlade,Divac,3577130840,,2005,4,13,1204.00
Dajuan,Wagner,2458588898,,2018,1,29,1202.00
Louis,Williams,2634520179,,2021,3,26,1201.00
Derek,Harper,3832165228,,1997,0,0,1199.00
Gary,Payton,1962166602,,2005,4,13,1193.00
Alex,English,3220462428,,1990,0,0,1193.00
Brandon,Roy,2637549671,,2021,4,14,1192.00
Horace,Grant,3364412778,,2003,4,16,1187.00
Chris,Webber,1521973345,,2011,3,13,1185.00
Patrick,Ewing,2307488153,,2000,0,0,1183.00
Terry,Cummings,1138652175,,1996,0,0,1183.00
Cliff,Robinson,665568510,,2004,4,15,1180.00
Johan,Petro,3368221119,,2020,4,16,1176.00
Jalen,Rose,3372867709,,2009,4,15,1174.00
Scottie,Pippen,2493443696,,2003,4,16,1173.00
Reggie,Miller,0,,2003,0,0,1173.00
David,Robinson,3972749366,,2005,4,12,1169.00
James,Edwards,2748842227,,1988,0,0,1168.00
Sasha,Vujacic,2821915003,,2019,11,5,1166.00
Larry,Hughes,857045839,,2014,4,9,1164.00
Glen,Rice,2017926309,,2005,4,13,1160.00
