名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Alvin,Robertson,0,,1989,0,0,2.70
Micheal Ray,Richardson,1045697478,,1982,0,0,2.60
Michael,Jordan,1656064730,,2003,9,30,2.32
Mookie,Blaylock,0,,1999,0,0,2.30
Fat,Lever,3580305163,,1990,0,0,2.20
Slick,Watts,0,,1978,0,0,2.20
John,Stockton,2802392380,,2004,9,30,2.12
Maurice,Cheeks,679650091,,1989,0,0,2.10
Clyde,Drexler,2830652689,,1995,0,0,2.00
Gus,Williams,2182557430,,1984,0,0,2.00
Johnny,Moore,2657597736,,1990,0,0,2.00
Gary,Payton,1962166602,,2005,9,30,1.99
Jason,Kidd,2482654227,,2011,9,30,1.96
Scottie,Pippen,2493443696,,2003,9,30,1.96
Allen,Iverson,381545994,,2013,9,30,1.95
Ron,Lee,0,,1979,0,0,1.90
Nate,McMillan,266131011,,1998,0,0,1.90
Magic,Johnson,764720090,,1996,0,0,1.90
Isiah,Thomas,3964271256,,1994,0,0,1.90
Quinn,Buckner,1718519567,,1982,0,0,1.90
Mike,Gale,0,,1981,0,0,1.90
Dwyane,Wade,702239229,,2019,9,30,1.85
Ron,Artest,4289966738,,2016,9,30,1.85
Ray,Williams,0,,1984,0,0,1.80
Eddie,Jordan,4277484999,,1981,0,0,1.80
Doc,Rivers,4043500579,,1991,0,0,1.80
Julius,Erving,2925200878,,1987,0,0,1.80
Don,Buse,971891341,,1980,0,0,1.80
Kobe,Bryant,1882810953,,2018,9,30,1.78
George,McGinnis,1901519820,,1978,0,0,1.70
Micheal,Williams,1881348130,,1998,0,0,1.70
Larry,Bird,721684922,,1992,0,0,1.70
Darwin,Cook,1159975264,,1986,0,0,1.70
Ron,Harper,897654957,,1994,0,0,1.70
Tim,Hardaway,1790829144,,2003,0,0,1.70
Michael,Adams,4214690828,,1991,0,0,1.70
Hersey,Hawkins,2392124695,,1993,0,0,1.70
Doug,Christie,3112205441,,2007,9,30,1.66
Hakeem,Olajuwon,1272403453,,2004,9,30,1.65
Andrei,Kirilenko,2132221901,,2016,9,30,1.63
Eric,Murdock,2497118391,,1996,0,0,1.60
Derek,Harper,3832165228,,1997,0,0,1.60
Lester,Conner,3715148686,,1986,0,0,1.60
Dudley,Bradley,0,,1981,0,0,1.60
Lionel,Hollins,2901231181,,1980,0,0,1.60
Chris,Mullin,3404695396,,2001,0,0,1.60
Kendall,Gill,1616744750,,2006,9,30,1.60
Eddie,Jones,3520257005,,2008,9,30,1.58
Shawn,Marion,4242905577,,2018,9,30,1.57
Baron,Davis,3827111738,,2014,9,30,1.52
Norm,Nixon,673216601,,1983,0,0,1.50
Muggsy,Bogues,2379797968,,1998,0,0,1.50
Charles,Barkley,0,,1992,0,0,1.50
Darrell,Walker,600038644,,1991,0,0,1.50
Foots,Walker,2122211312,,1980,0,0,1.50
Gary,Grant,4074820343,,1995,0,0,1.50
Kevin,Johnson,272673572,,2000,0,0,1.50
Darnell,Valentine,1189530688,,1986,0,0,1.50
Jay,Humphries,821226983,,1992,0,0,1.50
Chris,Ford,0,,1979,0,0,1.50
Rod,Strickland,4147349710,,2005,9,30,1.49
Darrell,Armstrong,2792644386,,2005,9,30,1.48
Kerry,Kittles,3548367054,,2009,9,30,1.46
Penny,Hardaway,2787870041,,2007,9,30,1.44
Kenny,Anderson,3602700744,,2005,9,30,1.44
Paul,Pierce,3059123028,,2017,9,30,1.43
Terrell,Brandon,622827363,,2005,9,30,1.42
Randy,Smith,0,,1983,0,0,1.40
Jeff,Hornacek,4078888838,,1992,0,0,1.40
Rickey,Green,3839755692,,1988,0,0,1.40
Jim,Price,0,,1979,0,0,1.40
Nick,Anderson,2104254575,,1999,0,0,1.40
Rick,Barry,3288714713,,1978,0,0,1.40
Larry,Steele,3768841575,,1980,0,0,1.40
Paul,Pressey,1636758526,,1990,0,0,1.40
John,Lucas,2512421291,,1990,0,0,1.40
Kevin,Edwards,3073172526,,1993,0,0,1.40
John,Drew,2796687309,,1982,0,0,1.40
Bobby C.,Jones,2382866175,,1986,0,0,1.40
Sonny,Parker,0,,1982,0,0,1.40
Tom,Gugliotta,2908599596,,2005,9,30,1.38
Karl,Malone,209778290,,2004,9,30,1.38
Brevin,Knight,3480803611,,2009,9,30,1.37
Chris,Webber,1521973345,,2011,9,30,1.35
Jamaal,Tinsley,2037639045,,2014,9,30,1.35
Latrell,Sprewell,913128666,,2007,9,30,1.35
Marcelo,Huertas,386584120,,2019,9,30,1.31
Caron,Butler,4182325879,,2017,9,30,1.31
David,Robinson,3972749366,,2005,9,30,1.30
M.L.,Carr,2407024352,,1979,0,0,1.30
Dennis,Johnson,1414841501,,1990,0,0,1.30
Larry,Kenon,3656876951,,1980,0,0,1.30
Reggie,Williams,1894131944,,1996,0,0,1.30
Allen,Leavell,1722641698,,1989,0,0,1.30
T.R.,Dunn,812437009,,1991,0,0,1.30
Ricky,Sobers,3711180952,,1982,0,0,1.30
Winston,Garland,2751518472,,1990,0,0,1.30
Dee,Brown,3012479785,,1998,0,0,1.30
Alvan,Adams,1113372166,,1988,0,0,1.30
John,Williams,3227167996,,1991,0,0,1.30
