名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Mark,Eaton,3548106088,,1993,0,0,3.50
Manute,Bol,3811205150,,1988,0,0,3.30
Dikembe,Mutombo,1052384383,,2004,9,30,3.03
Hakeem,Olajuwon,1272403453,,2004,9,30,2.89
Alonzo,Mourning,1223838286,,2005,9,30,2.71
David,Robinson,3972749366,,2005,9,30,2.70
Shawn,Bradley,1577970521,,2006,9,30,2.68
George T.,Johnson,687918104,,1985,0,0,2.50
Theo,Ratliff,4149586782,,2009,9,30,2.48
Tim,Duncan,1399501823,,2018,9,30,2.42
Patrick,Ewing,2307488153,,2000,0,0,2.40
Shaquille,O'Neal,2048556069,,2009,9,30,2.29
Bill,Walton,1022334021,,1978,0,0,2.20
Larry,Nance,2769423668,,1988,0,0,2.20
Tree,Rollins,3787222623,,1988,0,0,2.20
Marcus,Camby,4265848006,,2010,9,30,2.11
Elmore,Smith,0,,1973,0,0,2.10
Ming,Yao,648740660,,2017,9,30,2.10
Elton,Brand,1406491559,,2016,9,30,2.08
Andrei,Kirilenko,2132221901,,2016,9,30,2.06
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,2.00
Benoit,Benjamin,0,,1991,0,0,2.00
Ben,Wallace,3312187082,,2011,9,30,1.97
Artis,Gilmore,2051387877,,1988,0,0,1.90
Adonal,Foyle,2046095826,,2011,9,30,1.80
Sam,Bowie,0,,1993,0,0,1.80
Erick,Dampier,533815806,,2010,9,30,1.79
Raef,LaFrentz,3490678528,,2012,9,30,1.77
Zydrunas,Ilgauskas,4146600120,,2013,9,30,1.77
Greg,Ostertag,2277468080,,2008,9,30,1.77
Pau,Gasol,1381211648,,2019,9,30,1.73
Chris,Webber,1521973345,,2011,9,30,1.73
Kevin,McHale,1805480950,,1993,0,0,1.70
Roy,Hinson,2246619621,,1986,0,0,1.70
Jim,McIlvaine,0,,1998,0,0,1.70
Harvey,Catchings,2874126019,,1984,0,0,1.70
Joakim,Noah,3299952194,,2020,9,30,1.70
Dwyane,Wade,702239229,,2019,9,30,1.61
Ralph,Sampson,1950770239,,1988,0,0,1.60
Oliver,Miller,2843228566,,2000,0,0,1.60
Hot Rod,Williams,3685369961,,1995,0,0,1.60
Joe Barry,Carroll,4252086533,,1988,0,0,1.60
Pervis,Ellison,786853415,,1994,0,0,1.60
Wayne,Cooper,932104474,,1989,0,0,1.60
Jermaine,O'Neal,3129988045,,2017,9,30,1.60
Elden,Campbell,539358984,,2006,9,30,1.58
Ervin,Johnson,2452005863,,2006,9,30,1.52
Julius,Erving,2925200878,,1987,0,0,1.50
Alton,Lister,3271575594,,1996,0,0,1.50
Terry,Tyler,0,,1985,0,0,1.50
Dan,Roundfield,0,,1984,0,0,1.50
Andrew,Lang,0,,1996,0,0,1.50
Robert,Parish,343163452,,1994,0,0,1.50
Herb,Williams,475303191,,1989,0,0,1.50
Steven,Hunter,3778992741,,2014,9,30,1.50
Stromile,Swift,3334055151,,2015,9,30,1.49
D.J.,Morris,405594192,,2015,9,30,1.47
Ian,Mahinmi,1916297758,,2021,9,30,1.46
Andrew,Bogut,3662971994,,2018,9,30,1.45
Derrick,Coleman,1509024751,,2003,9,30,1.45
Brendan,Haywood,707517353,,2014,9,30,1.44
Kevin,Garnett,758303125,,2017,9,30,1.42
Marvin,Webster,0,,1984,0,0,1.40
Caldwell,Jones,3293628780,,1982,0,0,1.40
Duane,Causwell,37284964,,1997,0,0,1.40
Darryl,Dawkins,3107177792,,1982,0,0,1.40
Elvin,Hayes,3242341554,,1981,0,0,1.40
Vlade,Divac,3577130840,,2005,9,30,1.39
Bo,Outlaw,473094256,,2005,9,30,1.38
Emeka,Okafor,2921407661,,2018,9,30,1.37
Amar'e,Stoudemire,3433513141,,2017,9,30,1.34
Hamed,Haddadi,3382940480,,2021,9,30,1.31
Michael,Olowokandi,3766359473,,2010,9,30,1.31
Bob,McAdoo,2951151959,,1977,0,0,1.30
Tom,Burleson,621957133,,1977,0,0,1.30
James,Donaldson,4283090159,,1992,0,0,1.30
John,Salley,1684246181,,1992,0,0,1.30
Moses,Malone,1285953927,,1982,0,0,1.30
Mark,West,2590936044,,2000,0,0,1.30
Rony,Seikaly,1474055646,,1994,0,0,1.30
Rik,Smits,1922573459,,2000,0,0,1.30
Dale,Davis,0,,2003,0,0,1.30
Bobby C.,Jones,2382866175,,1986,0,0,1.30
Franklin,Kersey,1986063379,,2017,9,30,1.29
DeSagana,Diop,145027765,,2016,9,30,1.28
Monty,Dudley,1771959015,,2016,9,30,1.26
Kwame,Brown,164836107,,2019,9,30,1.25
Josh,Smith,4126839958,,2021,9,30,1.24
Rasho,Nesterovic,2772179589,,2010,9,30,1.23
Alexey,Barlow,3984443565,,2018,9,30,1.22
Shawn,Kemp,1280254661,,2005,9,30,1.21
Charles,Jones,4044983398,,1993,0,0,1.20
Kurt,Nimphius,3191525416,,1986,0,0,1.20
Rasheed,Wallace,0,,2003,0,0,1.20
Joe,Meriweather,0,,1985,0,0,1.20
Thurl,Bailey,2805194283,,1999,0,0,1.20
Sam,Lacey,0,,1982,0,0,1.20
Antonio,McDyess,1816843378,,2009,9,30,1.19
Brook,McGuire,161214671,,2020,9,30,1.17
Chris,Dudley,120730760,,2003,9,30,1.16
