赛季,球队标志,球队城市,球队名称,名字,姓氏
2021-2022,,Indiana,Pacers,Evan,Mobley
2020-2021,,Indiana,Pacers,Anthony,Edwards
2019-2020,,Chicago,Bulls,Zion,Williamson
2018-2019,,Los Angeles,Lakers,Luka,Doncic
2017-2018,,Chicago,Bulls,Lonzo,Ball
2016-2017,,Milwaukee,Bucks,Ben,Simmons
2015-2016,,Detroit,Pistons,Karl-Anthony,Towns
2014-2015,,Orlando,Magic,Nikola,Jokic
2013-2014,,Portland,Trail Blazers,Trey,Burke
2012-2013,,Golden State,Warriors,Anthony,Davis
2011-2012,,Boston,Celtics,Kyrie,Irving
2010-2011,,Indiana,Pacers,John,Wall
2009-2010,,New Orleans,Hornets,Stephen,Curry
2008-2009,,Oklahoma City,Thunder,Derrick,Rose
2007-2008,,New Orleans,Hornets,Kevin,Durant
2006-2007,,New York,Knicks,Andrea,Bargnani
2005-2006,,Memphis,Grizzlies,Chris,Paul
2004-2005,,Seattle,SuperSonics,Dwight,Howard
2003-2004,,Miami,Heat,LeBron,James
2002-2003,,Houston,Rockets,Ming,Yao
2001-2002,,Memphis,Grizzlies,Pau,Gasol
2000-2001,,Orlando,Magic,Mike,Miller
1999-2000,,Chicago,Bulls,Elton,Brand
1999-2000,,Houston,Rockets,Steve,Francis
1998-1999,,Toronto,Raptors,Vince,Carter
1997-1998,,San Antonio,Spurs,Tim,Duncan
1996-1997,,Philadelphia,76ers,Allen,Iverson
1995-1996,,Toronto,Raptors,Damon,Stoudamire
1994-1995,,Dallas,Mavericks,Jason,Kidd
1994-1995,,Detroit,Pistons,Grant,Hill
1993-1994,,Golden State,Warriors,Chris,Webber
1992-1993,,Orlando,Magic,Shaquille,O'Neal
1991-1992,,Charlotte,Hornets,Larry,Johnson
1990-1991,,New Jersey,Nets,Derrick,Coleman
1989-1990,,San Antonio,Spurs,David,Robinson
1988-1989,,Golden State,Warriors,Mitch,Richmond
1987-1988,,New York,Knicks,Mark,Jackson
1986-1987,,Indiana,Pacers,Chuck,Person
1985-1986,,New York,Knicks,Patrick,Ewing
1984-1985,,Chicago,Bulls,Michael,Jordan
1983-1984,,Houston,Rockets,Ralph,Sampson
1982-1983,,San Diego,Clippers,Terry,Cummings
1981-1982,,New Jersey,Nets,Buck,Williams
1980-1981,,Utah,Jazz,Darrell,Griffith
1979-1980,,Boston,Celtics,Larry,Bird
1978-1979,,Kansas City,Kings,Phil,Ford
1977-1978,,Phoenix,Suns,Walter,Davis
1976-1977,,Buffalo,Braves,Adrian,Dantley
1975-1976,,Phoenix,Suns,Alvan,Adams
1974-1975,,Golden State,Warriors,Jamaal,Wilkes
1973-1974,,Buffalo,Braves,Ernie,DiGregorio
1972-1973,,Buffalo,Braves,Bob,McAdoo
1971-1972,,Portland,Trail Blazers,Sidney,Wicks
1970-1971,,Boston,Celtics,Geoff,Petrie
1970-1971,,Portland,Trail Blazers,Dave,Cowens
1969-1970,,Milwaukee,Bucks,Kareem,Abdul-Jabbar
1968-1969,,Baltimore,Bullets,Wes,Unseld
1967-1968,,Baltimore,Bullets,Earl,Monroe
1966-1967,,Detroit,Pistons,Dave,Bing
1965-1966,,San Francisco,Warriors,Rick,Barry
1964-1965,,New York,Knicks,Willis,Reed
1963-1964,,Cincinnati,Royals,Jerry,Lucas
1962-1963,,Chicago,Zephyrs,Terry,Dischinger
1961-1962,,Chicago,Packers,Walt,Bellamy
1960-1961,,Cincinnati,Royals,Oscar,Robertson
1959-1960,,Philadelphia,Warriors,Wilt,Chamberlain
1958-1959,,Minneapolis,Lakers,Elgin,Baylor
1957-1958,,Philadelphia,Warriors,Woody,Sauldsberry
1956-1957,,Boston,Celtics,Tom,Heinsohn
1955-1956,,Rochester,Royals,Maurice,Stokes
1954-1955,,Milwaukee,Hawks,Bob,Pettit
1953-1954,,Baltimore,Bullets,Ray,Felix
1952-1953,,Fort Wayne,Pistons,Monk,Meineke
