赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2021-2022,,Indiana,Pacers,James,Harden,
2021-2022,,Oklahoma City,Thunder,Derrick,Rose,
2021-2022,,Los Angeles,Lakers,Luka,Doncic,
2021-2022,,Miami,Heat,LeBron,James,
2021-2022,,Detroit,Pistons,Karl-Anthony,Towns,
2020-2021,,Milwaukee,Bucks,Ben,Simmons,
2020-2021,,Indiana,Pacers,James,Harden,
2020-2021,,Los Angeles,Lakers,Luka,Doncic,
2020-2021,,New Orleans,Pelicans,Kevin,Durant,
2020-2021,,Atlanta,Hawks,DeMarcus,Cousins,
2019-2020,,Milwaukee,Bucks,Ben,Simmons,
2019-2020,,Indiana,Pacers,James,Harden,
2019-2020,,Miami,Heat,LeBron,James,
2019-2020,,Golden State,Warriors,Anthony,Davis,
2019-2020,,Atlanta,Hawks,DeMarcus,Cousins,
2018-2019,,Indiana,Pacers,James,Harden,
2018-2019,,Oklahoma City,Thunder,Derrick,Rose,
2018-2019,,Miami,Heat,LeBron,James,
2018-2019,,Golden State,Warriors,Anthony,Davis,
2018-2019,,Atlanta,Hawks,DeMarcus,Cousins,
2017-2018,,Oklahoma City,Thunder,Derrick,Rose,
2017-2018,,New Orleans,Pelicans,Stephen,Curry,
2017-2018,,Miami,Heat,LeBron,James,
2017-2018,,Memphis,Grizzlies,Carmelo,Anthony,
2017-2018,,Atlanta,Hawks,DeMarcus,Cousins,
2016-2017,,Los Angeles,Lakers,Kobe,Bryant,
2016-2017,,Los Angeles,Lakers,Chris,Paul,
2016-2017,,Miami,Heat,LeBron,James,
2016-2017,,Memphis,Grizzlies,Carmelo,Anthony,
2016-2017,,Cleveland,Cavaliers,Joakim,Noah,
2015-2016,,New Orleans,Pelicans,Stephen,Curry,
2015-2016,,Brooklyn,Nets,James,Harden,
2015-2016,,Miami,Heat,LeBron,James,
2015-2016,,Golden State,Warriors,Anthony,Davis,
2015-2016,,Oklahoma City,Thunder,Dwight,Howard,
2014-2015,,Los Angeles,Lakers,Chris,Paul,
2014-2015,,Los Angeles,Lakers,Kobe,Bryant,
2014-2015,,Miami,Heat,LeBron,James,
2014-2015,,Memphis,Grizzlies,Carmelo,Anthony,
2014-2015,,Oklahoma City,Thunder,Dwight,Howard,
2013-2014,,Los Angeles,Lakers,Chris,Paul,
2013-2014,,Los Angeles,Lakers,Kobe,Bryant,
2013-2014,,San Antonio,Spurs,Tim,Duncan,
2013-2014,,Chicago,Bulls,Chris,Bosh,
2013-2014,,Atlanta,Hawks,DeMarcus,Cousins,
2012-2013,,Oklahoma City,Thunder,Derrick,Rose,
2012-2013,,Los Angeles,Lakers,Kobe,Bryant,
2012-2013,,Chicago,Bulls,Chris,Bosh,
2012-2013,,Miami,Heat,LeBron,James,
2012-2013,,Philadelphia,76ers,Ming,Yao,
2011-2012,,New Orleans,Hornets,Stephen,Curry,
2011-2012,,Los Angeles,Lakers,Kobe,Bryant,
2011-2012,,Miami,Heat,LeBron,James,
2011-2012,,Memphis,Grizzlies,Carmelo,Anthony,
2011-2012,,Philadelphia,76ers,Marc,Gasol,
2010-2011,,Los Angeles,Lakers,Kobe,Bryant,
2010-2011,,Los Angeles,Lakers,Chris,Paul,
2010-2011,,Miami,Heat,LeBron,James,
2010-2011,,New Orleans,Hornets,Kevin,Durant,
2010-2011,,Oklahoma City,Thunder,Dwight,Howard,
2009-2010,,Los Angeles,Lakers,Kobe,Bryant,
2009-2010,,Portland,Trail Blazers,Dwyane,Wade,
2009-2010,,San Antonio,Spurs,Tim,Duncan,
2009-2010,,Miami,Heat,LeBron,James,
2009-2010,,Oklahoma City,Thunder,Dwight,Howard,
2008-2009,,Los Angeles,Lakers,Kobe,Bryant,
2008-2009,,Los Angeles,Lakers,Chris,Paul,
2008-2009,,Miami,Heat,LeBron,James,
2008-2009,,Minnesota,Timberwolves,Kevin,Garnett,
2008-2009,,Oklahoma City,Thunder,Dwight,Howard,
2007-2008,,Los Angeles,Lakers,Kobe,Bryant,
2007-2008,,Portland,Trail Blazers,Dwyane,Wade,
2007-2008,,Miami,Heat,LeBron,James,
2007-2008,,San Antonio,Spurs,Tim,Duncan,
2007-2008,,Seattle,SuperSonics,Dwight,Howard,
2006-2007,,Los Angeles,Lakers,Kobe,Bryant,
2006-2007,,Portland,Trail Blazers,Dwyane,Wade,
2006-2007,,Miami,Heat,LeBron,James,
2006-2007,,San Antonio,Spurs,Tim,Duncan,
2006-2007,,Houston,Rockets,Ming,Yao,
2005-2006,,Los Angeles,Lakers,Kobe,Bryant,
2005-2006,,Philadelphia,76ers,Allen,Iverson,
2005-2006,,Miami,Heat,LeBron,James,
2005-2006,,San Antonio,Spurs,Tim,Duncan,
2005-2006,,Houston,Rockets,Ming,Yao,
2004-2005,,Philadelphia,76ers,Allen,Iverson,
2004-2005,,Los Angeles,Lakers,Kobe,Bryant,
2004-2005,,San Antonio,Spurs,Tim,Duncan,
2004-2005,,Miami,Heat,LeBron,James,
2004-2005,,Los Angeles,Lakers,Shaquille,O'Neal,
2003-2004,,Los Angeles,Lakers,Kobe,Bryant,
2003-2004,,Philadelphia,76ers,Allen,Iverson,
2003-2004,,Miami,Heat,LeBron,James,
2003-2004,,Minnesota,Timberwolves,Kevin,Garnett,
2003-2004,,Los Angeles,Lakers,Shaquille,O'Neal,
2002-2003,,Los Angeles,Lakers,Kobe,Bryant,
2002-2003,,New Jersey,Nets,Jason,Kidd,
2002-2003,,San Antonio,Spurs,Tim,Duncan,
2002-2003,,Minnesota,Timberwolves,Kevin,Garnett,
2002-2003,,Los Angeles,Lakers,Shaquille,O'Neal,
2001-2002,,Los Angeles,Lakers,Kobe,Bryant,
2001-2002,,New Jersey,Nets,Jason,Kidd,
2001-2002,,San Antonio,Spurs,Tim,Duncan,
2001-2002,,Orlando,Magic,Tracy,McGrady,
2001-2002,,Los Angeles,Lakers,Shaquille,O'Neal,
2000-2001,,Philadelphia,76ers,Allen,Iverson,
2000-2001,,Phoenix,Suns,Jason,Kidd,
2000-2001,,San Antonio,Spurs,Tim,Duncan,
