名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Wilt,Chamberlain,3995331167,,1965,0,0,271.00
Kobe,Bryant,1882810953,,2018,3,30,189.00
Michael,Jordan,1656064730,,2002,12,17,171.00
LeBron,James,14453172,,2022,4,6,152.00
Tracy,McGrady,4135983248,,2015,4,1,151.00
Allen,Iverson,381545994,,2008,1,18,104.00
Stephen,Curry,1629185898,,2022,1,28,95.00
Elgin,Baylor,4070105251,,1972,0,0,89.00
Shaquille,O'Neal,2048556069,,2007,3,6,80.00
Oscar,Robertson,2136803151,,1970,0,0,77.00
Vince,Carter,949977097,,2014,2,22,75.00
Carmelo,Anthony,4208656977,,2021,4,4,74.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,70.00
Rick,Barry,3288714713,,1978,0,0,70.00
George,Gervin,2863428041,,1985,0,0,68.00
Dirk,Nowitzki,3340545434,,2016,12,14,67.00
Jerry,West,294082333,,1974,0,0,66.00
Derrick,Rose,535126531,,2022,3,13,65.00
James,Harden,3411490024,,2022,4,9,64.00
Kevin,Durant,3289429399,,2022,4,9,63.00
Kawhi,Leonard,689664316,,2022,3,18,60.00
Chris,Bosh,2798522086,,2017,11,22,59.00
Bob,McAdoo,2951151959,,1977,0,0,58.00
Dominique,Wilkins,1986062677,,1994,0,0,56.00
Adrian,Dantley,3616010799,,1986,0,0,52.00
Jason,Richardson,3004004423,,2012,4,7,48.00
Larry,Bird,721684922,,1992,0,0,47.00
Paul,Pierce,3059123028,,2015,3,28,47.00
Bob,Pettit,942771973,,1965,0,0,47.00
Isaiah,Thomas,2990905761,,2021,11,10,46.00
Bernard,King,1640505611,,1991,0,0,45.00
Karl,Malone,209778290,,2003,4,14,44.00
Paul,George,1722054934,,2020,12,9,41.00
Chris,Paul,125296487,,2022,1,7,40.00
Elvin,Hayes,3242341554,,1981,0,0,37.00
Nate,Archibald,2602980960,,1976,0,0,37.00
Pete,Maravich,4117634903,,1980,0,0,35.00
John,Wall,2715392048,,2022,4,5,34.00
Alex,English,3220462428,,1990,0,0,33.00
Hakeem,Olajuwon,1272403453,,2001,0,0,32.00
Anthony,Davis,2964188718,,2022,1,19,31.00
Patrick,Ewing,2307488153,,2000,0,0,30.00
Kyrie,Irving,1057757000,,2021,11,10,29.00
Pau,Gasol,1381211648,,2017,12,6,29.00
Kevin,Garnett,758303125,,2013,2,24,28.00
Ray,Allen,3316948068,,2017,1,29,27.00
Walt,Bellamy,0,,1966,0,0,27.00
Kevin,Love,2622310705,,2021,4,12,26.00
Dwyane,Wade,702239229,,2018,2,27,26.00
Moses,Malone,1285953927,,1982,0,0,26.00
Bradley,Beal,1574868299,,2022,2,27,25.00
Tim,Duncan,1399501823,,2015,1,7,24.00
Lou,Hudson,562925334,,1977,0,0,23.00
George,Mikan,555862229,,1956,0,0,23.00
Gilbert,Arenas,524621617,,2013,1,9,22.00
David,Robinson,3972749366,,2003,0,0,22.00
Mark,Aguirre,2821914521,,1989,0,0,22.00
Charles,Barkley,0,,1992,0,0,21.00
Clyde,Drexler,2830652689,,1995,0,0,21.00
Bob,Lanier,3609822916,,1980,0,0,21.00
DeMarcus,Cousins,1068200658,,2022,1,5,18.00
Purvis,Short,2508699213,,1987,0,0,18.00
Chris,Webber,1521973345,,2006,3,27,17.00
Russell,Westbrook,2092888698,,2022,4,6,17.00
Elton,Brand,1406491559,,2012,2,21,17.00
John,Drew,2796687309,,1982,0,0,17.00
David,Thompson,383515277,,1982,0,0,17.00
Dwight,Howard,1835916760,,2015,12,19,17.00
Gail,Goodrich,2673756251,,1976,0,0,17.00
Shawn,Marion,4242905577,,2012,1,11,16.00
Glen,Rice,2017926309,,2003,0,0,16.00
World B.,Free,698838007,,1983,0,0,16.00
Richie,Guerin,1593647501,,1964,0,0,16.00
Steve,Nash,3116079434,,2012,3,19,16.00
Jack,Twyman,0,,1966,0,0,16.00
Kemba,Walker,3889158922,,2022,3,20,15.00
Jerry,Stackhouse,4099436601,,2005,11,18,15.00
Klay,Thompson,618804612,,2022,1,21,15.00
Arnold,Hasselhoff,3758990050,,2022,1,14,15.00
Kiki,Vandeweghe,4091869180,,1989,0,0,15.00
Joe,Dumars,3643422288,,1999,0,0,14.00
Dale,Ellis,3278069676,,1999,0,0,14.00
Mike,Mitchell,0,,1988,0,0,14.00
Dave,Bing,3985050591,,1975,0,0,14.00
Bob,Love,72978081,,1977,0,0,13.00
Amar'e,Stoudemire,3433513141,,2014,11,14,13.00
C.J.,McCollum,4087996243,,2020,4,9,13.00
Antoine,Walker,566925475,,2006,3,19,13.00
Geoff,Petrie,4037059999,,1976,0,0,13.00
Gordon,Hayward,1952026266,,2021,2,28,12.00
Latrell,Sprewell,913128666,,2003,0,0,12.00
Tom,Chambers,1317344166,,1988,0,0,12.00
Stephon,Marbury,293525334,,2007,3,16,12.00
John,Havlicek,743581393,,1978,0,0,12.00
Kristaps,Porzingis,177987183,,2022,3,13,12.00
Hal,Greer,3991557422,,1973,0,0,12.00
George,Yardley,0,,1959,0,0,12.00
Chauncey,Billups,257700249,,2011,11,19,11.00
D'Angelo,Russell,4248011057,,2022,2,22,10.00
Walter,Davis,2450828659,,1988,0,0,10.00
