赛季,球队标志,球队城市,球队名称,名字,姓氏,数据
2021-2022,,Indiana,Pacers,James,Harden,31.6
2020-2021,,Indiana,Pacers,James,Harden,29.9
2019-2020,,Indiana,Pacers,James,Harden,30.6
2018-2019,,Indiana,Pacers,James,Harden,30.1
2017-2018,,Oklahoma City,Thunder,Derrick,Rose,31.2
2016-2017,,Los Angeles,Lakers,Kobe,Bryant,31.5
2015-2016,,Miami,Heat,LeBron,James,33.4
2014-2015,,New Orleans,Pelicans,Stephen,Curry,29.5
2013-2014,,Orlando,Magic,Tracy,McGrady,29.7
2012-2013,,Orlando,Magic,Tracy,McGrady,35.3
2011-2012,,Orlando,Magic,Tracy,McGrady,33.9
2010-2011,,Los Angeles,Lakers,Kobe,Bryant,35.9
2009-2010,,New Orleans,Hornets,Kevin,Durant,30.5
2008-2009,,Los Angeles,Lakers,Kobe,Bryant,32.2
2007-2008,,Orlando,Magic,Tracy,McGrady,30.5
2006-2007,,Los Angeles,Lakers,Kobe,Bryant,35.0
2005-2006,,Toronto,Raptors,Vince,Carter,32.6
2004-2005,,Toronto,Raptors,Vince,Carter,32.3
2003-2004,,Los Angeles,Lakers,Kobe,Bryant,35.3
2002-2003,,Los Angeles,Lakers,Kobe,Bryant,35.9
2001-2002,,Philadelphia,76ers,Allen,Iverson,31.4
2000-2001,,Philadelphia,76ers,Allen,Iverson,31.1
1999-2000,,Los Angeles,Lakers,Shaquille,O'Neal,29.7
1998-1999,,Philadelphia,76ers,Allen,Iverson,26.8
1997-1998,,Chicago,Bulls,Michael,Jordan,28.7
1996-1997,,Chicago,Bulls,Michael,Jordan,29.6
1995-1996,,Chicago,Bulls,Michael,Jordan,30.4
1994-1995,,Orlando,Magic,Shaquille,O'Neal,29.3
1993-1994,,San Antonio,Spurs,David,Robinson,29.8
1992-1993,,Chicago,Bulls,Michael,Jordan,32.6
1991-1992,,Chicago,Bulls,Michael,Jordan,30.0
1990-1991,,Chicago,Bulls,Michael,Jordan,31.5
1989-1990,,Chicago,Bulls,Michael,Jordan,33.6
1988-1989,,Chicago,Bulls,Michael,Jordan,32.5
1987-1988,,Chicago,Bulls,Michael,Jordan,35.0
1986-1987,,Chicago,Bulls,Michael,Jordan,37.1
1985-1986,,Atlanta,Hawks,Dominique,Wilkins,30.3
1984-1985,,New York,Knicks,Bernard,King,32.9
1983-1984,,Utah,Jazz,Adrian,Dantley,30.6
1982-1983,,Denver,Nuggets,Alex,English,28.4
1981-1982,,San Antonio,Spurs,George,Gervin,32.3
1980-1981,,Utah,Jazz,Adrian,Dantley,30.6
1979-1980,,San Antonio,Spurs,George,Gervin,33.1
1978-1979,,San Antonio,Spurs,George,Gervin,29.6
1977-1978,,San Antonio,Spurs,George,Gervin,27.2
1976-1977,,New Orleans,Jazz,Pete,Maravich,31.1
1975-1976,,Buffalo,Braves,Bob,McAdoo,31.1
1974-1975,,Buffalo,Braves,Bob,McAdoo,34.5
1973-1974,,Buffalo,Braves,Bob,McAdoo,30.5
1972-1973,,Kansas City,Kings,Tiny,Archibald,34.0
1971-1972,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,34.8
1970-1971,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,31.7
1969-1970,,Los Angeles,Lakers,Jerry,West,31.2
1968-1969,,San Diego,Rockets,Elvin,Hayes,28.4
1967-1968,,Cincinnati,Royals,Oscar,Robertson,29.2
1966-1967,,San Francisco,Warriors,Rick,Barry,35.6
1965-1966,,Philadelphia,76ers,Wilt,Chamberlain,33.5
1964-1965,,Philadelphia,76ers,Wilt,Chamberlain,34.7
1963-1964,,San Francisco,Warriors,Wilt,Chamberlain,36.8
1962-1963,,San Francisco,Warriors,Wilt,Chamberlain,44.8
1961-1962,,Philadelphia,Warriors,Wilt,Chamberlain,50.4
1960-1961,,Philadelphia,Warriors,Wilt,Chamberlain,38.4
1959-1960,,Philadelphia,Warriors,Wilt,Chamberlain,37.6
1958-1959,,St. Louis,Hawks,Bob,Pettit,29.2
1957-1958,,Detroit,Pistons,George,Yardley,27.8
1956-1957,,Philadelphia,Warriors,Paul,Arizin,25.6
1955-1956,,St. Louis,Hawks,Bob,Pettit,25.7
1954-1955,,Philadelphia,Warriors,Neil,Johnston,22.6
1953-1954,,Philadelphia,Warriors,Neil,Johnston,24.4
1952-1953,,Philadelphia,Warriors,Neil,Johnston,22.3
1951-1952,,Philadelphia,Warriors,Paul,Arizin,25.4
1950-1951,,Minneapolis,Lakers,George,Mikan,28.4
1949-1950,,Minneapolis,Lakers,George,Mikan,27.4
1948-1949,,Minneapolis,Lakers,George,Mikan,28.3
