名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kobe,Bryant,1882810953,,2018,4,11,4880.00
Karl,Malone,209778290,,2004,4,15,4527.00
John,Stockton,2802392380,,2004,4,15,4414.00
Chris,Paul,125296487,,2022,4,13,4170.00
Jason,Kidd,2482654227,,2011,4,13,4135.00
Ray,Allen,3316948068,,2018,4,11,3962.00
Kevin,Garnett,758303125,,2017,4,5,3944.00
Hakeem,Olajuwon,1272403453,,2004,4,15,3929.00
LeBron,James,14453172,,2022,4,13,3909.00
Moses,Malone,1285953927,,1982,0,0,3804.00
Tim,Duncan,1399501823,,2018,4,9,3800.00
Isiah,Thomas,3964271256,,1994,0,0,3682.00
Tracy,McGrady,4135983248,,2018,4,7,3673.00
Gilbert,Arenas,524621617,,2019,4,10,3642.00
Carmelo,Anthony,4208656977,,2022,4,13,3589.00
Patrick,Ewing,2307488153,,2000,0,0,3537.00
Derrick,Rose,535126531,,2022,4,13,3535.00
Mike,Conley,844021635,,2022,4,13,3516.00
Magic,Johnson,764720090,,1996,0,0,3506.00
Tony,Parker,961068511,,2022,4,13,3500.00
Reggie,Theus,3354002385,,1984,0,0,3493.00
Allen,Iverson,381545994,,2012,2,29,3467.00
Paul,Pierce,3059123028,,2017,4,12,3431.00
Dwyane,Wade,702239229,,2019,4,10,3403.00
Charles,Barkley,0,,1992,0,0,3376.00
Shawn,Marion,4242905577,,2017,4,11,3353.00
Chris,Bosh,2798522086,,2022,3,18,3239.00
Scottie,Pippen,2493443696,,2003,4,15,3211.00
Stephen,Curry,1629185898,,2022,4,13,3199.00
Robert,Parish,343163452,,1994,0,0,3183.00
Kevin,Durant,3289429399,,2022,4,13,3153.00
Mark,Jackson,1354317172,,2004,4,10,3130.00
Jason,Terry,3905775793,,2015,4,15,3107.00
Dirk,Nowitzki,3340545434,,2017,4,9,3091.00
Vince,Carter,949977097,,2017,4,12,3068.00
Stephon,Marbury,293525334,,2012,4,12,3049.00
Kyle,Lowry,1665484738,,2022,4,13,3039.00
Gary,Payton,1962166602,,2005,4,12,3034.00
Baron,Davis,3827111738,,2014,4,11,3014.00
Clyde,Drexler,2830652689,,1995,0,0,2977.00
Michael,Jordan,1656064730,,2003,4,16,2950.00
Shaquille,O'Neal,2048556069,,2009,4,13,2942.00
Elton,Brand,1406491559,,2016,4,14,2937.00
Jerry,Stackhouse,4099436601,,2010,2,13,2927.00
Russell,Westbrook,2092888698,,2022,4,10,2911.00
Jason,Richardson,3004004423,,2017,4,12,2900.00
Mike,Bibby,36368026,,2015,4,12,2896.00
Corey,Maggette,1583327544,,2018,4,6,2895.00
Chauncey,Billups,257700249,,2015,4,8,2865.00
Chris,Webber,1521973345,,2010,4,12,2861.00
Shareef,Abdur-Rahim,2131293229,,2013,4,7,2857.00
Alex,English,3220462428,,1990,0,0,2821.00
Larry,Bird,721684922,,1992,0,0,2816.00
Shawn,Kemp,1280254661,,2004,3,25,2807.00
Steve,Nash,3116079434,,2013,4,10,2802.00
Rod,Strickland,4147349710,,2004,2,20,2795.00
John,Wall,2715392048,,2022,4,13,2794.00
Bernard,King,1640505611,,1991,0,0,2791.00
Buck,Williams,3112056332,,1989,0,0,2784.00
Otis,Thorpe,219390279,,1995,0,0,2774.00
Charles,Oakley,2952759940,,2003,0,0,2763.00
J.R.,Smith,1539019190,,2020,12,23,2683.00
Dominique,Wilkins,1986062677,,1994,0,0,2669.00
Terry,Porter,1240551733,,1995,0,0,2666.00
Larry,Hughes,857045839,,2013,12,20,2660.00
Ron,Artest,4289966738,,2013,4,8,2660.00
Joe,Johnson,2911898164,,2019,2,13,2599.00
David,Robinson,3972749366,,2005,4,8,2592.00
Jack,Sikma,508638775,,1986,0,0,2586.00
Troy,Hudson,254762046,,2015,4,15,2583.00
Mitch,Richmond,1738387460,,1998,0,0,2579.00
James,Harden,3411490024,,2022,4,13,2558.00
Pau,Gasol,1381211648,,2019,4,8,2553.00
Tom,Chambers,1317344166,,1988,0,0,2549.00
Walter,Davis,2450828659,,1988,0,0,2541.00
Andrei,Kirilenko,2132221901,,2016,4,13,2539.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,2527.00
Andrea,Bargnani,2972822663,,2022,4,8,2520.00
Adrian,Dantley,3616010799,,1986,0,0,2503.00
Antoine,Walker,566925475,,2009,4,15,2500.00
Paul,George,1722054934,,2022,4,13,2486.00
Louis,Williams,2634520179,,2020,4,16,2485.00
Kawhi,Leonard,689664316,,2022,4,12,2484.00
Tim,Hardaway,1790829144,,2003,0,0,2470.00
Rajon,Rondo,3776378435,,2020,4,16,2465.00
Dwight,Howard,1835916760,,2020,4,14,2454.00
Dennis,Johnson,1414841501,,1990,0,0,2448.00
Steve,Francis,1453320221,,2010,11,12,2442.00
Kevin,Willis,2373521338,,2003,3,18,2442.00
Andre,Miller,1832169431,,2013,4,10,2419.00
Zach,Randolph,3982421389,,2019,4,6,2417.00
Tyson,Chandler,3563203870,,2022,4,8,2397.00
Latrell,Sprewell,913128666,,2005,4,13,2396.00
Jamaal,Tinsley,2037639045,,2014,4,14,2389.00
Vlade,Divac,3577130840,,2005,4,13,2387.00
Michael,Redd,2885142413,,2015,4,13,2386.00
Norm,Nixon,673216601,,1983,0,0,2368.00
Artis,Gilmore,2051387877,,1988,0,0,2347.00
Jermaine,O'Neal,3129988045,,2016,4,7,2345.00
Amar'e,Stoudemire,3433513141,,2017,4,12,2344.00
