名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Travis,Oliver,1121072598,,2018,9,30,0.64
Artis,Gilmore,2051387877,,1988,0,0,0.60
Shaquille,O'Neal,2048556069,,2009,9,30,0.59
Amar'e,Stoudemire,3433513141,,2017,9,30,0.59
Eddy,Curry,3903315353,,2019,9,30,0.59
Mark,West,2590936044,,2000,0,0,0.58
Shannon,Brown,1233137700,,2020,9,30,0.58
Steve,Johnson,0,,1984,0,0,0.57
Darryl,Dawkins,3107177792,,1982,0,0,0.57
James,Donaldson,4283090159,,1992,0,0,0.57
Tim,Duncan,1399501823,,2018,9,30,0.57
Jeff,Ruland,3195017965,,1986,0,0,0.56
Brandon,Roy,2637549671,,2021,9,30,0.56
Elton,Brand,1406491559,,2016,9,30,0.56
Pops,Mensah-Bonsu,3743638682,,2016,9,30,0.56
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,0.56
Bo,Outlaw,473094256,,2005,9,30,0.56
Kevin,McHale,1805480950,,1993,0,0,0.55
Vince,Carter,949977097,,2017,9,30,0.55
Hakim,Warrick,865152963,,2014,9,30,0.55
Damien,Wilkins,4099481359,,2015,9,30,0.55
Bobby C.,Jones,2382866175,,1986,0,0,0.55
Buck,Williams,3112056332,,1989,0,0,0.55
Stromile,Swift,3334055151,,2015,9,30,0.55
Ming,Yao,648740660,,2017,9,30,0.55
Pau,Gasol,1381211648,,2019,9,30,0.55
Larry,Nance,2769423668,,1988,0,0,0.55
Otis,Thorpe,219390279,,1995,0,0,0.55
Cedric,Maxwell,3159797509,,1985,0,0,0.55
Sebastian,Evans,763637362,,2017,9,30,0.55
Kobe,Bryant,1882810953,,2018,9,30,0.55
Fred,Jones,3560391399,,2011,9,30,0.54
Julian,Wright,651631970,,2021,9,30,0.54
Nene,Hilario,1150445741,,2016,9,30,0.54
Jermaine,O'Neal,3129988045,,2017,9,30,0.54
Chris,Kaman,538716712,,2019,9,30,0.54
Chris,Wilcox,1684048368,,2007,9,30,0.54
Charles,Barkley,0,,1992,0,0,0.54
Darvin,Ham,692637111,,2006,9,30,0.54
Nick,Young,391056292,,2020,9,30,0.54
Adrian,Dantley,3616010799,,1986,0,0,0.54
Wilt,Chamberlain,3995331167,,1965,0,0,0.54
Gene,Banks,1181024511,,1985,0,0,0.54
Paul,Millsap,374121648,,2020,9,30,0.54
Dwyane,Wade,702239229,,2019,9,30,0.54
Swen,Nater,2294207881,,1983,0,0,0.54
Robert,Parish,343163452,,1994,0,0,0.54
Tracy,McGrady,4135983248,,2018,9,30,0.54
Kevin,Garnett,758303125,,2017,9,30,0.54
Dale,Davis,0,,2003,0,0,0.54
Desmond,Reynolds,3624144436,,2019,9,30,0.53
Joe,Johnson,2911898164,,2019,9,30,0.53
Shaun,Livingston,3443208561,,2021,9,30,0.53
Brad,Daugherty,4279949427,,1994,0,0,0.53
Larry,Smith,0,,1989,0,0,0.53
Marcus,Banks,4034029944,,2016,9,30,0.53
Calvin,Natt,410676774,,1984,0,0,0.53
Bill,Cartwright,1267978359,,1988,0,0,0.52
Kiki,Vandeweghe,4091869180,,1989,0,0,0.52
Shawn,Marion,4242905577,,2018,9,30,0.52
Clifford,Ray,0,,1981,0,0,0.52
Lewis,Lloyd,0,,1987,0,0,0.52
Carlos,Boozer,1035628148,,2019,9,30,0.52
Maurice,Cheeks,679650091,,1989,0,0,0.52
Mitch,Kupchak,3517043389,,1981,0,0,0.52
Jason,Richardson,3004004423,,2019,9,30,0.52
Tree,Rollins,3787222623,,1988,0,0,0.52
Dennis,Rodman,757007820,,1993,0,0,0.52
James,Worthy,2898027069,,1994,0,0,0.52
Bill,Walton,1022334021,,1978,0,0,0.52
Magic,Johnson,764720090,,1996,0,0,0.52
Frank,Brickowski,2557134104,,1994,0,0,0.52
Bernard,King,1640505611,,1991,0,0,0.52
Marques,Johnson,3229198511,,1984,0,0,0.52
Al,Thornton,3112331845,,2015,9,30,0.52
Josh,Smith,4126839958,,2021,9,30,0.52
Karl,Malone,209778290,,2004,9,30,0.52
Rashard,Lewis,3116374673,,2014,9,30,0.52
Walt,Bellamy,0,,1966,0,0,0.52
Cliff,Levingston,2076982084,,1990,0,0,0.52
Gilbert,Arenas,524621617,,2019,9,30,0.52
Jason,Terry,3905775793,,2015,9,30,0.52
Michael,Cage,410074366,,1994,0,0,0.51
Bob,Lanier,3609822916,,1980,0,0,0.51
Marcelo,Huertas,386584120,,2019,9,30,0.51
Orlando,Woolridge,0,,1986,0,0,0.51
Chris,Gatling,470332152,,1996,0,0,0.51
Alton,Lister,3271575594,,1996,0,0,0.51
Shareef,Abdur-Rahim,2131293229,,2014,9,30,0.51
Kenyon,Martin,3092579203,,2013,9,30,0.51
John,Henson,1019059126,,2019,9,30,0.51
Walter,Davis,2450828659,,1988,0,0,0.51
Danny,Manning,199577916,,2003,0,0,0.51
Joe,Meriweather,0,,1985,0,0,0.51
George,Gervin,2863428041,,1985,0,0,0.51
Anthony,Mason,0,,2003,0,0,0.51
Brad,Davis,3103365361,,1992,0,0,0.51
Kenny,Carr,1562710685,,1987,0,0,0.51
Chris,Webber,1521973345,,2011,9,30,0.51
Chris,Mullin,3404695396,,2001,0,0,0.51
