赛季,球队标志,球队城市,球队名称,名字,姓氏
2021-2022,,Indiana,Pacers,Anthony,Edwards
2020-2021,,Indiana,Pacers,Anthony,Edwards
2019-2020,,Dallas,Mavericks,Cody,Singletary
2018-2019,,Los Angeles,Clippers,Ricky,Rubio
2017-2018,,Minnesota,Timberwolves,Christophe,Sonnet
2016-2017,,Phoenix,Suns,C.J.,McCollum
2015-2016,,Indiana,Pacers,Elton,Brand
2014-2015,,Toronto,Raptors,Nikola,Pekovic
2013-2014,,New York,Knicks,Devin,Harris
2012-2013,,New York,Knicks,Devin,Harris
2011-2012,,Indiana,Pacers,George,Hill
2010-2011,,New Jersey,Nets,Johnny R.,Haywood
2009-2010,,New York,Knicks,Russell,Westbrook
2008-2009,,Toronto,Raptors,Boris,Diaw
2007-2008,,New Jersey,Nets,Johnny R.,Haywood
2006-2007,,Miami,Heat,Caron,Butler
2005-2006,,Detroit,Pistons,Boris,Diaw
2004-2005,,Detroit,Pistons,Boris,Diaw
2003-2004,,Orlando,Magic,Grant,Hill
2002-2003,,Orlando,Magic,Mike,Miller
2001-2002,,Detroit,Pistons,Corliss,Williamson
2000-2001,,Philadelphia,76ers,Aaron,McKie
1999-2000,,Phoenix,Suns,Rodney,Rogers
1998-1999,,Orlando,Magic,Darrell,Armstrong
1997-1998,,Phoenix,Suns,Danny,Manning
1996-1997,,New York,Knicks,John,Starks
1995-1996,,Chicago,Bulls,Toni,Kukoc
1994-1995,,New York,Knicks,Anthony,Mason
1993-1994,,Charlotte,Hornets,Dell,Curry
1992-1993,,Portland,Trail Blazers,Cliff,Robinson
1991-1992,,Indiana,Pacers,Detlef,Schrempf
1990-1991,,Indiana,Pacers,Detlef,Schrempf
1989-1990,,Milwaukee,Bucks,Ricky,Pierce
1988-1989,,Phoenix,Suns,Eddie,Johnson
1987-1988,,Dallas,Mavericks,Roy,Tarpley
1986-1987,,Milwaukee,Bucks,Ricky,Pierce
1985-1986,,Boston,Celtics,Bill,Walton
1984-1985,,Boston,Celtics,Kevin,McHale
1983-1984,,Boston,Celtics,Kevin,McHale
1982-1983,,Philadelphia,76ers,Bobby,Jones
