赛季,球队标志,球队城市,球队名称,名字,姓氏,数据
2022-2023,,Oklahoma City,Thunder,Derrick,Rose,1.9
2021-2022,,Toronto,Raptors,Lonzo,Ball,1.9
2020-2021,,Denver,Nuggets,Russell,Westbrook,1.9
2019-2020,,Golden State,Warriors,Kawhi,Leonard,2.1
2018-2019,,Portland,Trail Blazers,DeMarre,Carroll,2.1
2017-2018,,Los Angeles,Lakers,Chris,Paul,2.4
2016-2017,,Los Angeles,Lakers,Chris,Paul,2.4
2015-2016,,Los Angeles,Lakers,Chris,Paul,2.4
2014-2015,,Portland,Trail Blazers,Dwyane,Wade,2.2
2013-2014,,Los Angeles,Lakers,Chris,Paul,2.3
2012-2013,,Portland,Trail Blazers,Dwyane,Wade,2.1
2011-2012,,Los Angeles,Lakers,Chris,Paul,2.1
2010-2011,,Portland,Trail Blazers,Dwyane,Wade,2.0
2009-2010,,Los Angeles,Lakers,Chris,Paul,2.1
2008-2009,,Utah,Jazz,Andrei,Kirilenko,2.1
2007-2008,,Utah,Jazz,Andrei,Kirilenko,2.0
2006-2007,,Los Angeles,Lakers,Kobe,Bryant,2.2
2005-2006,,New Jersey,Nets,Jason,Kidd,2.0
2004-2005,,New Orleans,Hornets,Baron,Davis,2.1
2003-2004,,New Jersey,Nets,Jason,Kidd,2.3
2002-2003,,New Jersey,Nets,Jason,Kidd,2.3
2001-2002,,Philadelphia,76ers,Allen,Iverson,2.8
2000-2001,,Philadelphia,76ers,Allen,Iverson,2.5
1999-2000,,Charlotte,Hornets,Eddie,Jones,2.7
1998-1999,,New Jersey,Nets,Kendall,Gill,2.7
1997-1998,,Atlanta,Hawks,Mookie,Blaylock,2.6
1996-1997,,Atlanta,Hawks,Mookie,Blaylock,2.7
1995-1996,,Seattle,SuperSonics,Gary,Payton,2.8
1994-1995,,Chicago,Bulls,Scottie,Pippen,2.9
1993-1994,,Seattle,SuperSonics,Nate,McMillan,3.0
1992-1993,,Chicago,Bulls,Michael,Jordan,2.8
1991-1992,,Utah,Jazz,John,Stockton,3.0
1990-1991,,Milwaukee,Bucks,Alvin,Robertson,3.0
1989-1990,,Chicago,Bulls,Michael,Jordan,2.8
1988-1989,,Utah,Jazz,John,Stockton,3.2
1987-1988,,Chicago,Bulls,Michael,Jordan,3.2
1986-1987,,San Antonio,Spurs,Alvin,Robertson,3.2
1985-1986,,San Antonio,Spurs,Alvin,Robertson,3.7
1984-1985,,New Jersey,Nets,Micheal Ray,Richardson,3.0
1983-1984,,Utah,Jazz,Rickey,Green,2.7
1982-1983,,New York,Knicks,Micheal Ray,Richardson,2.8
1981-1982,,Los Angeles,Lakers,Magic,Johnson,2.7
1980-1981,,Los Angeles,Lakers,Magic,Johnson,3.4
1979-1980,,New York,Knicks,Micheal Ray,Richardson,3.2
1978-1979,,Detroit,Pistons,M.L.,Carr,2.5
1977-1978,,Phoenix,Suns,Ron,Lee,2.7
1976-1977,,Indiana,Pacers,Don,Buse,3.5
1975-1976,,Seattle,SuperSonics,Slick,Watts,3.2
1974-1975,,Golden State,Warriors,Rick,Barry,2.8
1973-1974,,Portland,Trail Blazers,Larry,Steele,2.7
