赛季,球队标志,球队城市,球队名称,名字,姓氏
2022-2023,,Sacramento,Kings,Giannis,Antetokounmpo
2021-2022,,Sacramento,Kings,Giannis,Antetokounmpo
2020-2021,,Sacramento,Kings,Giannis,Antetokounmpo
2019-2020,,Sacramento,Kings,Giannis,Antetokounmpo
2018-2019,,Sacramento,Kings,Giannis,Antetokounmpo
2017-2018,,Cleveland,Cavaliers,Joakim,Noah
2016-2017,,Cleveland,Cavaliers,Joakim,Noah
2015-2016,,Cleveland,Cavaliers,Joakim,Noah
2014-2015,,Oklahoma City,Thunder,Dwight,Howard
2013-2014,,San Antonio,Spurs,Tim,Duncan
2012-2013,,San Antonio,Spurs,Tim,Duncan
2011-2012,,San Antonio,Spurs,Tim,Duncan
2010-2011,,Oklahoma City,Thunder,Dwight,Howard
2009-2010,,Utah,Jazz,Andrei,Kirilenko
2008-2009,,Utah,Jazz,Andrei,Kirilenko
2007-2008,,Utah,Jazz,Andrei,Kirilenko
2006-2007,,Detroit,Pistons,Ben,Wallace
2005-2006,,San Antonio,Spurs,Tim,Duncan
2004-2005,,San Antonio,Spurs,Tim,Duncan
2003-2004,,Detroit,Pistons,Ben,Wallace
2002-2003,,Detroit,Pistons,Ben,Wallace
2001-2002,,Detroit,Pistons,Ben,Wallace
2000-2001,,Philadelphia,76ers,Dikembe,Mutombo
1999-2000,,Miami,Heat,Alonzo,Mourning
1998-1999,,Miami,Heat,Alonzo,Mourning
1997-1998,,Atlanta,Hawks,Dikembe,Mutombo
1996-1997,,Atlanta,Hawks,Dikembe,Mutombo
1995-1996,,Seattle,SuperSonics,Gary,Payton
1994-1995,,Denver,Nuggets,Dikembe,Mutombo
1993-1994,,Houston,Rockets,Hakeem,Olajuwon
1992-1993,,Houston,Rockets,Hakeem,Olajuwon
1991-1992,,San Antonio,Spurs,David,Robinson
1990-1991,,Detroit,Pistons,Dennis,Rodman
1989-1990,,Detroit,Pistons,Dennis,Rodman
1988-1989,,Utah,Jazz,Mark,Eaton
1987-1988,,Chicago,Bulls,Michael,Jordan
1986-1987,,Los Angeles,Lakers,Michael,Cooper
1985-1986,,San Antonio,Spurs,Alvin,Robertson
1984-1985,,Utah,Jazz,Mark,Eaton
1983-1984,,Milwaukee,Bucks,Sidney,Moncrief
1982-1983,,Milwaukee,Bucks,Sidney,Moncrief
