赛季,球队标志,球队城市,球队名称,名字,姓氏,数据
2023-2024,,Portland,Trail Blazers,Darius,Garland,10.5
2022-2023,,Toronto,Raptors,Lonzo,Ball,11.0
2021-2022,,Toronto,Raptors,Lonzo,Ball,11.8
2020-2021,,Chicago,Bulls,Lonzo,Ball,10.9
2019-2020,,Chicago,Bulls,Lonzo,Ball,10.8
2018-2019,,New Orleans,Pelicans,Stephen,Curry,10.3
2017-2018,,Oklahoma City,Thunder,Derrick,Rose,11.9
2016-2017,,Los Angeles,Lakers,Chris,Paul,11.9
2015-2016,,Los Angeles,Lakers,Chris,Paul,10.6
2014-2015,,Brooklyn,Nets,James,Harden,10.5
2013-2014,,Los Angeles,Lakers,Chris,Paul,11.2
2012-2013,,Oklahoma City,Thunder,Derrick,Rose,11.5
2011-2012,,Oklahoma City,Thunder,Derrick,Rose,10.8
2010-2011,,Los Angeles,Lakers,Chris,Paul,10.7
2009-2010,,Los Angeles,Lakers,Chris,Paul,10.9
2008-2009,,Los Angeles,Lakers,Chris,Paul,10.2
2007-2008,,Los Angeles,Lakers,Chris,Paul,11.4
2006-2007,,Seattle,SuperSonics,Steve,Nash,11.0
2005-2006,,Memphis,Grizzlies,Chris,Paul,9.5
2004-2005,,Los Angeles,Clippers,Andre,Miller,10.5
2003-2004,,Los Angeles,Clippers,Andre,Miller,11.0
2002-2003,,Dallas,Mavericks,Steve,Nash,10.2
2001-2002,,Cleveland,Cavaliers,Andre,Miller,10.9
2000-2001,,Phoenix,Suns,Jason,Kidd,9.8
1999-2000,,Phoenix,Suns,Jason,Kidd,10.1
1998-1999,,Phoenix,Suns,Jason,Kidd,10.8
1997-1998,,Washington,Wizards,Rod,Strickland,10.5
1996-1997,,Denver,Nuggets,Mark,Jackson,11.4
1995-1996,,Utah,Jazz,John,Stockton,11.2
1994-1995,,Utah,Jazz,John,Stockton,12.3
1993-1994,,Utah,Jazz,John,Stockton,12.6
1992-1993,,Utah,Jazz,John,Stockton,12.0
1991-1992,,Utah,Jazz,John,Stockton,13.7
1990-1991,,Utah,Jazz,John,Stockton,14.2
1989-1990,,Utah,Jazz,John,Stockton,14.5
1988-1989,,Utah,Jazz,John,Stockton,13.6
1987-1988,,Utah,Jazz,John,Stockton,13.8
1986-1987,,Los Angeles,Lakers,Magic,Johnson,12.2
1985-1986,,Los Angeles,Lakers,Magic,Johnson,12.6
1984-1985,,Detroit,Pistons,Isiah,Thomas,13.9
1983-1984,,Los Angeles,Lakers,Magic,Johnson,13.1
1981-1982,,Los Angeles,Lakers,Magic,Johnson,10.5
1980-1981,,San Antonio,Spurs,Johnny,Moore,9.6
1979-1980,,Washington,Bullets,Kevin,Porter,9.1
1978-1979,,New York,Knicks,Micheal Ray,Richardson,10.1
1977-1978,,Detroit,Pistons,Kevin,Porter,13.4
1976-1977,,New Jersey,Nets,Kevin,Porter,10.2
1975-1976,,Indiana,Pacers,Don,Buse,8.5
1974-1975,,Seattle,SuperSonics,Slick,Watts,8.1
1973-1974,,Washington,Bullets,Kevin,Porter,8.0
1972-1973,,Buffalo,Braves,Ernie,DiGregorio,8.2
1971-1972,,Kansas City,Kings,Tiny,Archibald,11.4
1970-1971,,Los Angeles,Lakers,Jerry,West,9.7
1969-1970,,Cincinnati,Royals,Norm,Van Lier,10.1
1968-1969,,Seattle,SuperSonics,Lenny,Wilkens,9.1
1967-1968,,Cincinnati,Royals,Oscar,Robertson,9.8
1966-1967,,Cincinnati,Royals,Oscar,Robertson,9.7
1965-1966,,Chicago,Bulls,Guy,Rodgers,11.2
1964-1965,,Cincinnati,Royals,Oscar,Robertson,11.1
1963-1964,,Cincinnati,Royals,Oscar,Robertson,11.5
1962-1963,,Cincinnati,Royals,Oscar,Robertson,11.0
1961-1962,,San Francisco,Warriors,Guy,Rodgers,10.4
1960-1961,,Cincinnati,Royals,Oscar,Robertson,11.4
1959-1960,,Cincinnati,Royals,Oscar,Robertson,9.7
1958-1959,,Boston,Celtics,Bob,Cousy,9.5
1957-1958,,Boston,Celtics,Bob,Cousy,8.6
1956-1957,,Boston,Celtics,Bob,Cousy,7.1
1955-1956,,Boston,Celtics,Bob,Cousy,7.5
1954-1955,,Boston,Celtics,Bob,Cousy,8.9
1953-1954,,Boston,Celtics,Bob,Cousy,7.8
1952-1953,,Boston,Celtics,Bob,Cousy,7.2
1951-1952,,Boston,Celtics,Bob,Cousy,7.7
1950-1951,,Philadelphia,Warriors,Andy,Phillip,8.2
1949-1950,,Philadelphia,Warriors,Andy,Phillip,6.3
1948-1949,,Chicago,Stags,Andy,Phillip,5.8
