赛季,球队标志,球队城市,球队名称,名字,姓氏
2023-2024,,Los Angeles,Lakers,Luka,Doncic
2022-2023,,Chicago,Bulls,Trae,Young
2021-2022,,Los Angeles,Lakers,Luka,Doncic
2020-2021,,New Orleans,Pelicans,Kevin,Durant
2019-2020,,Milwaukee,Bucks,Ben,Simmons
2018-2019,,Miami,Heat,LeBron,James
2017-2018,,Oklahoma City,Thunder,Derrick,Rose
2016-2017,,Miami,Heat,LeBron,James
2015-2016,,Miami,Heat,LeBron,James
2014-2015,,Los Angeles,Lakers,Chris,Paul
2013-2014,,Los Angeles,Lakers,Chris,Paul
2012-2013,,Oklahoma City,Thunder,Derrick,Rose
2011-2012,,Memphis,Grizzlies,Carmelo,Anthony
2010-2011,,Los Angeles,Lakers,Kobe,Bryant
2009-2010,,San Antonio,Spurs,Tim,Duncan
2008-2009,,Los Angeles,Lakers,Kobe,Bryant
2007-2008,,Miami,Heat,LeBron,James
2006-2007,,Los Angeles,Lakers,Kobe,Bryant
2005-2006,,Miami,Heat,LeBron,James
2004-2005,,San Antonio,Spurs,Tim,Duncan
2003-2004,,Los Angeles,Lakers,Kobe,Bryant
2002-2003,,Los Angeles,Lakers,Kobe,Bryant
2001-2002,,San Antonio,Spurs,Tim,Duncan
2000-2001,,Philadelphia,76ers,Allen,Iverson
1999-2000,,Los Angeles,Lakers,Shaquille,O'Neal
1998-1999,,Utah,Jazz,Karl,Malone
1997-1998,,Chicago,Bulls,Michael,Jordan
1996-1997,,Utah,Jazz,Karl,Malone
1995-1996,,Chicago,Bulls,Michael,Jordan
1994-1995,,San Antonio,Spurs,David,Robinson
1993-1994,,Houston,Rockets,Hakeem,Olajuwon
1992-1993,,Phoenix,Suns,Charles,Barkley
1991-1992,,Chicago,Bulls,Michael,Jordan
1990-1991,,Chicago,Bulls,Michael,Jordan
1989-1990,,Los Angeles,Lakers,Magic,Johnson
1988-1989,,Los Angeles,Lakers,Magic,Johnson
1987-1988,,Chicago,Bulls,Michael,Jordan
1986-1987,,Los Angeles,Lakers,Magic,Johnson
1985-1986,,Boston,Celtics,Larry,Bird
1984-1985,,Boston,Celtics,Larry,Bird
1983-1984,,Boston,Celtics,Larry,Bird
1982-1983,,Philadelphia,76ers,Moses,Malone
1981-1982,,Houston,Rockets,Moses,Malone
1980-1981,,Philadelphia,76ers,Julius,Erving
1979-1980,,Los Angeles,Lakers,Kareem,Abdul-Jabbar
1978-1979,,Houston,Rockets,Moses,Malone
1977-1978,,Portland,Trail Blazers,Bill,Walton
1976-1977,,Los Angeles,Lakers,Kareem,Abdul-Jabbar
1975-1976,,Los Angeles,Lakers,Kareem,Abdul-Jabbar
1974-1975,,Buffalo,Braves,Bob,McAdoo
1973-1974,,Milwaukee,Bucks,Kareem,Abdul-Jabbar
1972-1973,,Boston,Celtics,Dave,Cowens
1971-1972,,Milwaukee,Bucks,Kareem,Abdul-Jabbar
1970-1971,,Milwaukee,Bucks,Kareem,Abdul-Jabbar
1969-1970,,New York,Knicks,Willis,Reed
1968-1969,,Baltimore,Bullets,Wes,Unseld
1967-1968,,Philadelphia,76ers,Wilt,Chamberlain
1966-1967,,Philadelphia,76ers,Wilt,Chamberlain
1965-1966,,Philadelphia,76ers,Wilt,Chamberlain
1964-1965,,Boston,Celtics,Bill,Russell
1963-1964,,Cincinnati,Royals,Oscar,Robertson
1962-1963,,Boston,Celtics,Bill,Russell
1961-1962,,Boston,Celtics,Bill,Russell
1960-1961,,Boston,Celtics,Bill,Russell
1959-1960,,Philadelphia,Warriors,Wilt,Chamberlain
1958-1959,,St. Louis,Hawks,Bob,Pettit
1957-1958,,Boston,Celtics,Bill,Russell
1956-1957,,Boston,Celtics,Bob,Cousy
1955-1956,,St. Louis,Hawks,Bob,Pettit
