赛季,球队标志,球队城市,球队名称,名字,姓氏,数据
2023-2024,,Detroit,Pistons,Karl-Anthony,Towns,15.3
2022-2023,,Detroit,Pistons,Karl-Anthony,Towns,14.9
2021-2022,,Detroit,Pistons,Karl-Anthony,Towns,14.9
2020-2021,,Utah,Jazz,Andre,Drummond,14.1
2019-2020,,Utah,Jazz,Andre,Drummond,14.8
2018-2019,,Utah,Jazz,Andre,Drummond,13.1
2017-2018,,Memphis,Grizzlies,Kevin,Love,15.6
2016-2017,,Memphis,Grizzlies,Kevin,Love,15.0
2015-2016,,Memphis,Grizzlies,Kevin,Love,14.5
2014-2015,,Cleveland,Cavaliers,Joakim,Noah,13.3
2013-2014,,San Antonio,Spurs,Tim,Duncan,15.0
2012-2013,,Philadelphia,76ers,Ming,Yao,13.9
2011-2012,,Minnesota,Timberwolves,Kevin,Garnett,13.2
2010-2011,,Oklahoma City,Thunder,Dwight,Howard,13.0
2009-2010,,Minnesota,Timberwolves,Kevin,Garnett,14.0
2008-2009,,Minnesota,Timberwolves,Kevin,Garnett,14.8
2007-2008,,Minnesota,Timberwolves,Kevin,Garnett,13.7
2006-2007,,Los Angeles,Clippers,Elton,Brand,13.8
2005-2006,,San Antonio,Spurs,Tim,Duncan,15.9
2004-2005,,Houston,Rockets,Ming,Yao,15.6
2003-2004,,Houston,Rockets,Ming,Yao,15.0
2002-2003,,Detroit,Pistons,Ben,Wallace,16.1
2001-2002,,Detroit,Pistons,Ben,Wallace,13.0
2000-2001,,Philadelphia,76ers,Dikembe,Mutombo,13.5
1999-2000,,Atlanta,Hawks,Dikembe,Mutombo,14.1
1998-1999,,Sacramento,Kings,Chris,Webber,13.0
1997-1998,,Chicago,Bulls,Dennis,Rodman,15.0
1996-1997,,Chicago,Bulls,Dennis,Rodman,16.0
1995-1996,,Chicago,Bulls,Dennis,Rodman,14.9
1994-1995,,San Antonio,Spurs,Dennis,Rodman,16.8
1993-1994,,San Antonio,Spurs,Dennis,Rodman,17.3
1992-1993,,Detroit,Pistons,Dennis,Rodman,18.3
1991-1992,,Detroit,Pistons,Dennis,Rodman,18.7
1990-1991,,San Antonio,Spurs,David,Robinson,13.0
1989-1990,,Houston,Rockets,Hakeem,Olajuwon,14.0
1988-1989,,Houston,Rockets,Hakeem,Olajuwon,13.5
1987-1988,,Los Angeles,Clippers,Michael,Cage,13.0
1986-1987,,Philadelphia,76ers,Charles,Barkley,14.6
1985-1986,,Detroit,Pistons,Bill,Laimbeer,13.1
1984-1985,,Philadelphia,76ers,Moses,Malone,13.1
1983-1984,,Philadelphia,76ers,Moses,Malone,13.4
1982-1983,,Philadelphia,76ers,Moses,Malone,15.3
1981-1982,,Houston,Rockets,Moses,Malone,14.7
1980-1981,,Houston,Rockets,Moses,Malone,14.8
1979-1980,,San Diego,Clippers,Swen,Nater,15.0
1978-1979,,Houston,Rockets,Moses,Malone,17.6
1977-1978,,New Orleans,Jazz,Truck,Robinson,15.7
1976-1977,,Portland,Trail Blazers,Bill,Walton,14.4
1975-1976,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,16.9
1974-1975,,Washington,Bullets,Wes,Unseld,14.8
1973-1974,,Capital,Bullets,Elvin,Hayes,18.1
1972-1973,,Los Angeles,Lakers,Wilt,Chamberlain,18.6
1971-1972,,Los Angeles,Lakers,Wilt,Chamberlain,19.2
1970-1971,,Los Angeles,Lakers,Wilt,Chamberlain,18.2
1969-1970,,San Diego,Rockets,Elvin,Hayes,16.9
1968-1969,,Los Angeles,Lakers,Wilt,Chamberlain,21.1
1967-1968,,Philadelphia,76ers,Wilt,Chamberlain,23.8
1966-1967,,Philadelphia,76ers,Wilt,Chamberlain,24.2
1965-1966,,Philadelphia,76ers,Wilt,Chamberlain,24.6
1964-1965,,Boston,Celtics,Bill,Russell,24.1
1963-1964,,Boston,Celtics,Bill,Russell,24.7
1962-1963,,San Francisco,Warriors,Wilt,Chamberlain,24.3
1961-1962,,Philadelphia,Warriors,Wilt,Chamberlain,25.6
1960-1961,,Philadelphia,Warriors,Wilt,Chamberlain,27.2
1959-1960,,Philadelphia,Warriors,Wilt,Chamberlain,27.0
1958-1959,,Boston,Celtics,Bill,Russell,23.0
1957-1958,,Boston,Celtics,Bill,Russell,22.7
1956-1957,,Boston,Celtics,Bill,Russell,19.6
1955-1956,,Rochester,Royals,Maurice,Stokes,16.3
1954-1955,,Philadelphia,Warriors,Neil,Johnston,15.1
1953-1954,,New York,Knicks,Harry,Gallatin,15.2
1952-1953,,Minneapolis,Lakers,George,Mikan,14.4
1951-1952,,Minneapolis,Lakers,George,Mikan,13.5
1950-1951,,Syracuse,Nationals,Dolph,Schayes,16.4
