赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2024-2025,,Dallas,Mavericks,Alexandre,Sarr,
2024-2025,,Brooklyn,Nets,Yuri,Titov,
2024-2025,,Detroit,Pistons,DaRon,Holmes II,
2024-2025,,Boston,Celtics,Robert,Dillingham,
2024-2025,,Milwaukee,Bucks,Louie,Hammons,
2023-2024,,Los Angeles,Lakers,Victor,Wembanyama,
2023-2024,,Boston,Celtics,Amen,Thompson,
2023-2024,,Philadelphia,76ers,Scoot,Henderson,
2023-2024,,Orlando,Magic,Brandon,Miller,
2023-2024,,Boston,Celtics,Taylor,Hendricks,
2022-2023,,Washington,Wizards,Keegan,Murray,
2022-2023,,Utah,Jazz,Paolo,Banchero,
2022-2023,,Minnesota,Timberwolves,Chet,Holmgren,
2022-2023,,Dallas,Mavericks,Jabari,Smith Jr.,
2022-2023,,Denver,Nuggets,Jaden,Ivey,
2021-2022,,Indiana,Pacers,Evan,Mobley,
2021-2022,,Denver,Nuggets,Josh,Giddey,
2021-2022,,San Antonio,Spurs,Cade,Cunningham,
2021-2022,,Dallas,Mavericks,Scottie,Barnes,
2021-2022,,Washington,Wizards,Jalen,Green,
2020-2021,,Indiana,Pacers,Anthony,Edwards,
2020-2021,,Charlotte,Hornets,LaMelo,Ball,
2020-2021,,Cleveland,Cavaliers,James,Wiseman,
2020-2021,,Brooklyn,Nets,Geraldo,Wright-Foreman,
2020-2021,,Indiana,Pacers,Daniel,Gafford,
2019-2020,,Chicago,Bulls,Zion,Williamson,
2019-2020,,Los Angeles,Clippers,Ja,Morant,
2019-2020,,Orlando,Magic,Coby,White,
2019-2020,,Cleveland,Cavaliers,R.J.,Barrett,
2019-2020,,Boston,Celtics,Brandon,Clarke,
2018-2019,,Los Angeles,Lakers,Luka,Doncic,
2018-2019,,Chicago,Bulls,Trae,Young,
2018-2019,,Los Angeles,Lakers,Shai,Gilgeous-Alexander,
2018-2019,,Los Angeles,Lakers,Jaren,Jackson Jr.,
2018-2019,,New York,Knicks,Deandre,Ayton,
2017-2018,,Chicago,Bulls,Lonzo,Ball,
2017-2018,,Portland,Trail Blazers,Harvey,Beasley,
2017-2018,,New Orleans,Pelicans,Markelle,Fultz,
2017-2018,,Oklahoma City,Thunder,Josh,Hart,
2017-2018,,Milwaukee,Bucks,De'Aaron,Fox,
2016-2017,,Milwaukee,Bucks,Ben,Simmons,
2016-2017,,Houston,Rockets,Jaylen,Brown,
2016-2017,,Milwaukee,Bucks,Jamal,Murray,
2016-2017,,Boston,Celtics,Brandon,Ingram,
2016-2017,,Cleveland,Cavaliers,Conrad,Sims,
2015-2016,,Detroit,Pistons,Karl-Anthony,Towns,
2015-2016,,Milwaukee,Bucks,Kristaps,Porzingis,
2015-2016,,Boston,Celtics,Trey,Lyles,
2015-2016,,Houston,Rockets,Myles,Turner,
2015-2016,,Cleveland,Charge,Quincy,Redd,
2014-2015,,Orlando,Magic,Nikola,Jokic,
2014-2015,,Phoenix,Suns,Joel,Embiid,
2014-2015,,Charlotte,Hornets,Dante,Exum,
2014-2015,,Miami,Heat,Zach,LaVine,
2014-2015,,Indiana,Pacers,Glenn,Robinson III,
2013-2014,,Portland,Trail Blazers,Trey,Burke,
2013-2014,,Milwaukee,Bucks,Rudy,Gobert,
2013-2014,,Phoenix,Suns,Cody,Zeller,
2013-2014,,Sacramento,Kings,Giannis,Antetokounmpo,
2013-2014,,Orlando,Magic,Dennis,Schroder,
2012-2013,,Golden State,Warriors,Anthony,Davis,
2012-2013,,Sacramento,Kings,Damian,Lillard,
2012-2013,,Utah,Jazz,Draymond,Green,
2012-2013,,Detroit,Pistons,Bradley,Beal,
2012-2013,,Utah,Jazz,Andre,Drummond,
2011-2012,,Boston,Celtics,Kyrie,Irving,
2011-2012,,New Jersey,Nets,Isaiah,Thomas,
2011-2012,,Golden State,Warriors,Kawhi,Leonard,
2011-2012,,Phoenix,Suns,Arnold,Hasselhoff,
2011-2012,,Minnesota,Timberwolves,Gabe,Theus,
2010-2011,,Indiana,Pacers,John,Wall,
2010-2011,,Atlanta,Hawks,DeMarcus,Cousins,
2010-2011,,Toronto,Raptors,Eric,Bledsoe,
2010-2011,,Dallas,Mavericks,Hassan,Whiteside,
2010-2011,,Sacramento,Kings,Gordon,Hayward,
2009-2010,,New Orleans,Hornets,Stephen,Curry,
2009-2010,,Milwaukee,Bucks,Brandon,Jennings,
2009-2010,,New Jersey,Nets,James,Harden,
2009-2010,,Sacramento,Kings,Blake,Griffin,
2009-2010,,Indiana,Pacers,Simon,Davis,
2008-2009,,Oklahoma City,Thunder,Derrick,Rose,
2008-2009,,Memphis,Grizzlies,Kevin,Love,
2008-2009,,Toronto,Raptors,Brook,Lopez,
2008-2009,,Washington,Wizards,Michael,Beasley,
2008-2009,,San Antonio,Spurs,Nicolas,Batum,
2007-2008,,New Orleans,Hornets,Kevin,Durant,
2007-2008,,Atlanta,Hawks,Brook,McGuire,
2007-2008,,Milwaukee,Bucks,Greg,Oden,
2007-2008,,New York,Knicks,Monty,Dudley,
2007-2008,,Cleveland,Cavaliers,Rodney,Stuckey,
2006-2007,,New York,Knicks,Andrea,Bargnani,
2006-2007,,Memphis,Grizzlies,Rudy,Gay,
2006-2007,,Washington,Wizards,Tyrone,Cook,
2006-2007,,Toronto,Raptors,Paul,Millsap,
2006-2007,,New Orleans,Hornets,Matthew,Cartwright,
2005-2006,,Memphis,Grizzlies,Chris,Paul,
2005-2006,,Seattle,SuperSonics,Sharrod,Ford,
2005-2006,,Charlotte,Bobcats,Louis,Williams,
2005-2006,,Portland,Trail Blazers,Raymond,Felton,
2005-2006,,Toronto,Raptors,Marvin,Williams,
2004-2005,,Seattle,SuperSonics,Dwight,Howard,
2004-2005,,New York,Knicks,Devin,Harris,
2004-2005,,Philadelphia,76ers,Shaun,Livingston,
2004-2005,,Cleveland,Cavaliers,Kris,Humphries,
2004-2005,,Charlotte,Bobcats,Emeka,Okafor,
2003-2004,,Miami,Heat,LeBron,James,
2003-2004,,Boston,Celtics,Carmelo,Anthony,
