赛季,球队标志,球队城市,球队名称,名字,姓氏,数据
2024-2025,,New York,Knicks,Deandre,Ayton,2.6
2023-2024,,New York,Knicks,Deandre,Ayton,2.3
2022-2023,,Los Angeles,Lakers,Jaren,Jackson Jr.,2.2
2021-2022,,Phoenix,Suns,Joel,Embiid,2.3
2020-2021,,Phoenix,Suns,Joel,Embiid,2.3
2019-2020,,Golden State,Warriors,Anthony,Davis,2.2
2018-2019,,Houston,Rockets,Myles,Turner,2.2
2017-2018,,Houston,Rockets,Myles,Turner,2.1
2016-2017,,Los Angeles,Lakers,Roy,Hibbert,2.4
2015-2016,,Golden State,Warriors,Anthony,Davis,2.2
2014-2015,,San Antonio,Spurs,Tim,Duncan,2.3
2013-2014,,San Antonio,Spurs,Tim,Duncan,2.6
2012-2013,,San Antonio,Spurs,Tim,Duncan,2.5
2011-2012,,Utah,Jazz,Andrei,Kirilenko,2.7
2010-2011,,Philadelphia,76ers,Marc,Gasol,2.5
2009-2010,,San Antonio,Spurs,Tim,Duncan,2.7
2008-2009,,Los Angeles,Clippers,Elton,Brand,2.5
2007-2008,,Utah,Jazz,Andrei,Kirilenko,2.5
2006-2007,,San Antonio,Spurs,Tim,Duncan,2.6
2005-2006,,San Antonio,Spurs,Tim,Duncan,2.8
2004-2005,,Houston,Rockets,Ming,Yao,2.7
2003-2004,,Houston,Rockets,Ming,Yao,2.7
2002-2003,,San Antonio,Spurs,Tim,Duncan,3.3
2001-2002,,Detroit,Pistons,Ben,Wallace,3.5
2000-2001,,Philadelphia,76ers,Theo,Ratliff,3.7
1999-2000,,Miami,Heat,Alonzo,Mourning,3.7
1998-1999,,Miami,Heat,Alonzo,Mourning,3.9
1997-1998,,Toronto,Raptors,Marcus,Camby,3.7
1996-1997,,New Jersey,Nets,Shawn,Bradley,3.4
1995-1996,,Denver,Nuggets,Dikembe,Mutombo,4.5
1994-1995,,Denver,Nuggets,Dikembe,Mutombo,3.9
1993-1994,,Denver,Nuggets,Dikembe,Mutombo,4.1
1992-1993,,Houston,Rockets,Hakeem,Olajuwon,4.2
1991-1992,,San Antonio,Spurs,David,Robinson,4.5
1990-1991,,Houston,Rockets,Hakeem,Olajuwon,4.0
1989-1990,,Houston,Rockets,Hakeem,Olajuwon,4.6
1988-1989,,Golden State,Warriors,Manute,Bol,4.3
1987-1988,,Utah,Jazz,Mark,Eaton,3.7
1986-1987,,Utah,Jazz,Mark,Eaton,4.1
1985-1986,,Washington,Bullets,Manute,Bol,5.0
1984-1985,,Utah,Jazz,Mark,Eaton,5.6
1983-1984,,Utah,Jazz,Mark,Eaton,4.3
1982-1983,,Atlanta,Hawks,Tree,Rollins,4.3
1981-1982,,San Antonio,Spurs,George,Johnson,3.1
1980-1981,,San Antonio,Spurs,George,Johnson,3.4
1979-1980,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,3.4
1978-1979,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,4.0
1977-1978,,New Jersey,Nets,George,Johnson,3.4
1976-1977,,Portland,Trail Blazers,Bill,Walton,3.2
1975-1976,,Los Angeles,Lakers,Kareem,Abdul-Jabbar,4.1
1974-1975,,Milwaukee,Bucks,Kareem,Abdul-Jabbar,3.3
1973-1974,,Los Angeles,Lakers,Elmore,Smith,4.8
