名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Steve,Kerr,1830095263,,2003,9,30,0.46
J.J.,Redd,2607154131,,2010,9,30,0.46
Wayne,Ellington,2336957833,,2018,9,30,0.46
Danny,Green,4233130655,,2017,9,30,0.46
Hubert,Davis,1114309438,,2005,9,30,0.44
Drazen,Petrovic,2651874766,,1993,0,0,0.44
Darren,Collison,3864544780,,2023,9,30,0.43
Kirk,Hinrich,4285397678,,2014,9,30,0.43
Mike,Dunleavy Jr.,799108855,,2017,9,30,0.43
Leandro,Barbosa,4245057902,,2016,9,30,0.43
Tim,Legler,3655350252,,1999,0,0,0.43
Mo,Williams,4279845858,,2018,9,30,0.43
Jameer,Nelson,3964144933,,2016,9,30,0.43
Gary,Neal,131551858,,2017,9,30,0.43
Arron,Afflalo,2632035623,,2020,9,30,0.43
Marcus,Banks,4034029944,,2016,9,30,0.43
Chris,Paul,125296487,,2022,9,30,0.43
Kyle,Lowry,1665484738,,2024,9,30,0.43
B.J.,Armstrong,4215942358,,2000,0,0,0.43
JJ,Redick,1078417778,,2021,9,30,0.42
Joe,Johnson,2911898164,,2019,9,30,0.42
J.R.,Smith,1539019190,,2023,9,30,0.42
Dirk,Nowitzki,3340545434,,2017,9,30,0.42
Salim,Stoudamire,4285352880,,2016,9,30,0.42
Ray,Allen,3316948068,,2018,9,30,0.42
Rashard,Lewis,3116374673,,2014,9,30,0.42
Kobe,Bryant,1882810953,,2018,9,30,0.42
Jason,Terry,3905775793,,2015,9,30,0.42
Michael,Redd,2885142413,,2015,9,30,0.42
Brandon,Roy,2637549671,,2021,9,30,0.42
Carlos,Delfino,326999125,,2014,9,30,0.42
Wesley,Person,3363859432,,2007,9,30,0.42
Tony,Snell,1951636615,,2024,9,30,0.42
Steve,Nash,3116079434,,2013,9,30,0.42
George,Hill,2625112596,,2024,9,30,0.42
Anthony,Roberson,580359635,,2017,9,30,0.42
Dwyane,Wade,702239229,,2019,9,30,0.42
Kyle,Korver,3922398341,,2018,9,30,0.42
Wally,Szczerbiak,1650499239,,2015,9,30,0.42
Omri,Casspi,339633219,,2022,9,30,0.42
Jianlian,Yi,2114746252,,2024,9,30,0.41
Daniel,Gibson,4267798521,,2017,9,30,0.41
Donté,Greene,4101260216,,2024,9,30,0.41
Vince,Carter,949977097,,2017,9,30,0.41
Paul,Pierce,3059123028,,2017,9,30,0.41
Luther,Head,1614467558,,2015,9,30,0.41
Kevin,Martin,3736197947,,2017,9,30,0.41
Dana,Barros,4129849418,,2000,0,0,0.41
DeMarre,Carroll,1279865213,,2024,9,30,0.41
Quentin,Richardson,3793921913,,2017,9,30,0.41
C.J.,Miles,2667630231,,2023,9,30,0.41
Louis,Williams,2634520179,,2021,9,30,0.41
Peja,Stojakovic,3092693600,,2014,9,30,0.41
Sasha,Vujacic,2821915003,,2020,9,30,0.41
Channing,Frye,2395555921,,2014,9,30,0.41
Trent,Tucker,2493622234,,1991,0,0,0.41
Ryan,Gomes,2731267828,,2016,9,30,0.41
Royal,Ivey,605610333,,2019,9,30,0.41
Quincy,Pondexter,1818733630,,2022,9,30,0.41
Carmelo,Anthony,4208656977,,2022,9,30,0.41
Adam,Harrington,2063414342,,2014,9,30,0.41
Bojan,Bogdanovic,1409304671,,2023,9,30,0.41
Mike,Miller,3135191632,,2015,9,30,0.41
James,Jones,1526853263,,2015,9,30,0.41
Mike,Scott,1525082869,,2024,9,30,0.40
Seth,Curry,1753128484,,2020,9,30,0.40
Dale,Ellis,3278069676,,1999,0,0,0.40
Jeff,Hornacek,4078888838,,1992,0,0,0.40
Eric,Piatkowski,0,,2003,0,0,0.40
Deron,Williams,3665610743,,2019,9,30,0.40
Steve,Blake,1091655812,,2014,9,30,0.40
Tracy,McGrady,4135983248,,2018,9,30,0.40
Mickael,Piétrus,300046672,,2017,9,30,0.40
Corey,Maggette,1583327544,,2018,9,30,0.40
Michael,Dickerson,0,,2003,0,0,0.40
Mark,Price,374246220,,1995,0,0,0.40
Dell,Curry,4129098296,,1998,0,0,0.40
Devin,Harris,2607007122,,2020,9,30,0.40
Eric,Piatkowski,477159292,,2007,9,30,0.40
Chris,Bosh,2798522086,,2022,9,30,0.40
Gilbert,Arenas,524621617,,2019,9,30,0.40
Reggie,Miller,0,,2003,0,0,0.40
Craig,Hodges,3457279066,,1988,0,0,0.40
Kenny,Smith,1224290281,,1996,0,0,0.40
Brent,Barry,780910223,,2010,9,30,0.40
Sasha,Pavlovic,2224119910,,2017,9,30,0.40
Mike,Bibby,36368026,,2015,9,30,0.40
LeBron,James,14453172,,2023,9,30,0.40
Dennis,Scott,2680030605,,1997,0,0,0.40
Brian,Roberts,3288225083,,2020,9,30,0.40
Tim,Thomas,434685153,,2014,9,30,0.40
Damon,Jones,2663261263,,2011,9,30,0.40
Troy,Hudson,254762046,,2015,9,30,0.39
Danny,Ferry,2479325357,,2004,9,30,0.39
Hersey,Hawkins,2392124695,,1993,0,0,0.39
Patrick,Mills,655910624,,2020,9,30,0.39
Rodney,Stuckey,253388862,,2022,9,30,0.39
Voshon,Lenard,0,,2003,0,0,0.39
Glen,Rice,2017926309,,2005,9,30,0.39
Markieff,Morris,3813036349,,2024,9,30,0.39
