名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
LeBron,James,14453172,,2022,11,9,184.00
Oscar,Robertson,2136803151,,1970,0,0,179.00
Magic,Johnson,764720090,,1996,0,0,139.00
Wilt,Chamberlain,3995331167,,1965,0,0,78.00
Ben,Simmons,324008055,,2025,4,1,63.00
Jason,Kidd,2482654227,,2007,12,16,63.00
Larry,Bird,721684922,,1992,0,0,59.00
Luka,Doncic,227986988,,2025,4,2,54.00
Nikola,Jokic,1794124003,,2025,4,11,50.00
Dejounte,Murray,863218523,,2025,4,8,43.00
Giannis,Antetokounmpo,3893280463,,2025,3,10,43.00
Fat,Lever,3580305163,,1990,0,0,43.00
Lonzo,Ball,4198219768,,2025,2,1,37.00
Dwyane,Wade,702239229,,2016,3,3,35.00
Grant,Hill,492439772,,2003,0,0,29.00
John,Havlicek,743581393,,1978,0,0,29.00
Michael,Jordan,1656064730,,2003,0,0,28.00
Kevin,Durant,3289429399,,2025,3,18,26.00
Clyde,Drexler,2830652689,,1995,0,0,25.00
Walt,Frazier,3545296810,,1977,0,0,23.00
Elgin,Baylor,4070105251,,1972,0,0,23.00
Micheal Ray,Richardson,1045697478,,1982,0,0,21.00
Bobby C.,O'Gallagher,2996693558,,2024,4,11,21.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,21.00
Charles,Barkley,0,,1992,0,0,20.00
Kevin,Garnett,758303125,,2012,3,28,20.00
Tom,Gola,0,,1963,0,0,20.00
Guy,Rodgers,0,,1966,0,0,19.00
Mark,Jackson,1354317172,,2003,0,0,18.00
Dante,Exum,2997699949,,2024,12,23,17.00
Scottie,Pippen,2493443696,,2003,0,0,17.00
Brandon,Roy,2637549671,,2017,11,26,17.00
Bob,Cousy,4260253810,,1963,0,0,17.00
Norm,Van Lier,0,,1978,0,0,16.00
Bill,Russell,0,,1969,0,0,16.00
Richie,Guerin,1593647501,,1964,0,0,16.00
Jerry,West,294082333,,1974,0,0,16.00
Chris,Webber,1521973345,,2005,3,8,15.00
Darrell,Walker,600038644,,1991,0,0,15.00
Chris,Webber,0,,2003,0,0,14.00
Gary,Payton,1962166602,,2003,0,0,14.00
Alvin,Robertson,0,,1989,0,0,13.00
Kevin,Johnson,272673572,,2000,0,0,13.00
David,Robinson,3972749366,,2002,10,29,13.00
Hakeem,Olajuwon,1272403453,,2002,10,30,13.00
Billy,Cunningham,3434731349,,1976,0,0,13.00
Lenny,Wilkens,600012424,,1968,0,0,13.00
Chris,Kaman,538716712,,2014,2,11,12.00
Alvan,Adams,1113372166,,1988,0,0,12.00
Antoine,Walker,566925475,,2003,0,0,11.00
LaMelo,Ball,738786270,,2025,3,29,10.00
Dikembe,Mutombo,1052384383,,2003,0,0,10.00
Russell,Westbrook,2092888698,,2023,1,3,10.00
Maurice,Stokes,0,,1958,0,0,10.00
Andy,Phillip,0,,1956,0,0,10.00
Kobe,Bryant,1882810953,,2014,4,13,9.00
Sam,Lacey,0,,1982,0,0,9.00
Kyle,Lowry,1665484738,,2021,3,21,9.00
James,Harden,3411490024,,2022,4,6,9.00
Jerry,Lucas,802009125,,1970,0,0,9.00
Lamar,Odom,3463234459,,2003,3,3,8.00
Mookie,Blaylock,0,,1999,0,0,8.00
Mickey,Johnson,0,,1979,0,0,8.00
Vlade,Divac,3577130840,,2003,0,0,7.00
Paul,Pierce,3059123028,,2011,11,30,7.00
Anthony,Mason,0,,2003,0,0,7.00
Detlef,Schrempf,3378179864,,1999,0,0,7.00
Terry,Porter,1240551733,,1995,0,0,7.00
Pete,Maravich,4117634903,,1980,0,0,7.00
George,McGinnis,1901519820,,1978,0,0,7.00
Sidney,Wicks,3384831244,,1976,0,0,7.00
Bob,Kauffman,0,,1974,0,0,7.00
Simon,Davis,2530585323,,2018,11,23,7.00
Pau,Gasol,1381211648,,2018,11,16,7.00
John,Johnson,0,,1973,0,0,7.00
Michael,Finley,1767130717,,2003,0,0,6.00
Markelle,Fultz,2964316597,,2024,1,26,6.00
Rod,Strickland,4147349710,,2003,0,0,6.00
Shawn,Bradley,1577970521,,2003,0,0,6.00
Paul,Pressey,1636758526,,1990,0,0,6.00
Carmelo,Anthony,4208656977,,2020,2,2,6.00
Mark,Eaton,3548106088,,1993,0,0,6.00
Dave,Cowens,649754523,,1980,0,0,6.00
Rick,Barry,3288714713,,1978,0,0,6.00
Elmore,Smith,0,,1973,0,0,6.00
Wes,Unseld,459787263,,1981,0,0,6.00
Steve,Francis,1453320221,,2003,0,0,5.00
Larry,Johnson,3372462118,,1996,0,0,5.00
Kenny,Anderson,3602700744,,2003,0,0,5.00
Vern,Fleming,0,,1995,0,0,5.00
Rodney,McCray,2023696270,,1988,0,0,5.00
Chris,Mullin,3404695396,,2001,0,0,5.00
Isiah,Thomas,3964271256,,1994,0,0,5.00
Sidney,Moncrief,1785674220,,1989,0,0,5.00
Jeff,Ruland,3195017965,,1986,0,0,5.00
Paul,George,1722054934,,2018,10,26,5.00
Johnny,Moore,2657597736,,1990,0,0,5.00
Ray,Williams,0,,1984,0,0,5.00
Alex,English,3220462428,,1990,0,0,5.00
Andre,Miller,1832169431,,2004,1,4,5.00
