名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Wilt,Chamberlain,3995331167,,1965,0,0,45.80
Bill,Russell,0,,1969,0,0,42.30
Oscar,Robertson,2136803151,,1970,0,0,42.20
Elgin,Baylor,4070105251,,1972,0,0,40.00
Jerry,West,294082333,,1974,0,0,39.20
Jerry,Lucas,802009125,,1970,0,0,38.80
Bob,Pettit,942771973,,1965,0,0,38.80
Dave,Cowens,649754523,,1980,0,0,38.60
Larry,Bird,721684922,,1992,0,0,38.40
Elvin,Hayes,3242341554,,1981,0,0,38.40
Michael,Jordan,1656064730,,2003,9,30,37.91
Mel,Hutchins,0,,1957,0,0,37.90
Geoff,Petrie,4037059999,,1976,0,0,37.60
Walt,Frazier,3545296810,,1977,0,0,37.50
Walt,Bellamy,0,,1966,0,0,37.30
Nate,Thurmond,1261281841,,1974,0,0,37.20
Pete,Maravich,4117634903,,1980,0,0,37.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,36.80
Allen,Iverson,381545994,,2013,9,30,36.78
Magic,Johnson,764720090,,1996,0,0,36.70
Charles,Barkley,0,,1992,0,0,36.70
John,Havlicek,743581393,,1978,0,0,36.60
Latrell,Sprewell,913128666,,2007,9,30,36.51
Brad,Daugherty,4279949427,,1994,0,0,36.50
Wes,Unseld,459787263,,1981,0,0,36.40
Dave,Bing,3985050591,,1975,0,0,36.40
Karl,Malone,209778290,,2004,9,30,36.36
LeBron,James,14453172,,2023,9,30,36.32
Rick,Barry,3288714713,,1978,0,0,36.30
Isiah,Thomas,3964271256,,1994,0,0,36.30
Larry,Johnson,3372462118,,1996,0,0,36.20
Penny,Hardaway,2787870041,,2003,0,0,36.20
Tim,Duncan,1399501823,,2018,9,30,35.94
Elton,Brand,1406491559,,2016,9,30,35.92
Jo Jo,White,424000403,,1979,0,0,35.80
Adrian,Dantley,3616010799,,1986,0,0,35.80
Dave,Debusschere,2255378467,,1969,0,0,35.70
Tim,Hardaway,1790829144,,2003,0,0,35.60
Nate,Archibald,2602980960,,1976,0,0,35.60
Gary,Payton,1962166602,,2005,9,30,35.53
Willis,Reed,337237682,,1974,0,0,35.50
Dominique,Wilkins,1986062677,,1994,0,0,35.50
Norm,Nixon,673216601,,1983,0,0,35.50
Hal,Greer,3991557422,,1973,0,0,35.50
Neil,Johnston,0,,1959,0,0,35.50
Carmelo,Anthony,4208656977,,2022,9,30,35.37
Lenny,Wilkens,600012424,,1968,0,0,35.30
Chris,Paul,125296487,,2022,9,30,35.27
Bob,Dandridge,3658425331,,1982,0,0,35.20
Mitch,Richmond,1738387460,,1998,0,0,35.20
Kobe,Bryant,1882810953,,2018,9,30,35.11
Norm,Van Lier,0,,1978,0,0,35.10
Reggie,Miller,0,,2003,0,0,35.10
Pau,Gasol,1381211648,,2019,9,30,35.06
Kevin,Garnett,758303125,,2017,9,30,34.96
Scottie,Pippen,2493443696,,2003,9,30,34.95
Jason,Kidd,2482654227,,2011,9,30,34.94
Shaquille,O'Neal,2048556069,,2009,9,30,34.93
Paul,Arizin,1075063803,,1962,0,0,34.90
Mookie,Blaylock,0,,1999,0,0,34.90
Anthony,Mason,0,,2003,0,0,34.90
Michael,Finley,1767130717,,2009,9,30,34.90
Vince,Carter,949977097,,2017,9,30,34.85
Gus,Johnson,0,,1972,0,0,34.70
Jim,Jackson,1632794680,,2004,9,30,34.65
Clyde,Drexler,2830652689,,1995,0,0,34.60
Connie,Hawkins,3343632518,,1974,0,0,34.50
Joe,Dumars,3643422288,,1999,0,0,34.50
Dick,Van Arsdale,469113282,,1977,0,0,34.50
Dirk,Nowitzki,3340545434,,2017,9,30,34.46
Antoine,Walker,566925475,,2011,9,30,34.42
Charlie,Scott,1239524882,,1975,0,0,34.40
Patrick,Ewing,2307488153,,2000,0,0,34.30
Julius,Erving,2925200878,,1987,0,0,34.30
Marques,Johnson,3229198511,,1984,0,0,34.30
Billy,Cunningham,3434731349,,1976,0,0,34.30
Dwyane,Wade,702239229,,2019,9,30,34.30
Rasheed,Wallace,0,,2003,0,0,34.20
Hakeem,Olajuwon,1272403453,,2004,9,30,34.18
Jerry,Sloan,2322611678,,1976,0,0,34.10
Kevin,Johnson,272673572,,2000,0,0,34.10
Paul,Pierce,3059123028,,2017,9,30,34.03
Moses,Malone,1285953927,,1982,0,0,33.90
Sidney,Wicks,3384831244,,1976,0,0,33.90
Glenn,Robinson,2451154901,,2007,9,30,33.90
Jason,Richardson,3004004423,,2019,9,30,33.89
Jimmy,Walker,0,,1972,0,0,33.80
Grant,Hill,492439772,,2008,9,30,33.71
Reggie,Theus,3354002385,,1984,0,0,33.70
Spencer,Haywood,1559781183,,1975,0,0,33.70
Bernard,King,1640505611,,1991,0,0,33.70
Derrick,Coleman,1509024751,,2003,9,30,33.68
Doug,Collins,1077359739,,1981,0,0,33.60
George,Gervin,2863428041,,1985,0,0,33.50
Rudy,Tomjanovich,2300337415,,1981,0,0,33.50
Lou,Hudson,562925334,,1977,0,0,33.50
Bob,Lanier,3609822916,,1980,0,0,33.50
Dikembe,Mutombo,1052384383,,2004,9,30,33.47
Chris,Webber,1521973345,,2011,9,30,33.45
Glen,Rice,2017926309,,2005,9,30,33.44
