名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Magic,Johnson,764720090,,1996,0,0,11.20
John,Stockton,2802392380,,2004,9,30,10.43
Chris,Paul,125296487,,2022,9,30,10.21
Oscar,Robertson,2136803151,,1970,0,0,9.50
Isiah,Thomas,3964271256,,1994,0,0,9.30
Jason,Kidd,2482654227,,2011,9,30,9.16
Kevin,Johnson,272673572,,2000,0,0,9.10
Kyle,Lowry,1665484738,,2024,9,30,8.56
Marcelo,Huertas,386584120,,2019,9,30,8.47
LeBron,James,14453172,,2023,9,30,8.39
Norm,Nixon,673216601,,1983,0,0,8.30
Tim,Hardaway,1790829144,,2003,0,0,8.30
Kevin,Porter,1719494492,,1983,0,0,8.10
Steve,Nash,3116079434,,2013,9,30,8.09
Jason,Williams,1258009742,,2009,9,30,8.05
Dwyane,Wade,702239229,,2019,9,30,7.98
Tony,Parker,961068511,,2022,9,30,7.93
Andre,Miller,1832169431,,2014,9,30,7.92
Ramon,Sessions,2286944876,,2024,9,30,7.83
Mark,Jackson,1354317172,,2004,9,30,7.83
Guy,Rodgers,0,,1966,0,0,7.80
Brandon,Roy,2637549671,,2021,9,30,7.66
Muggsy,Bogues,2379797968,,1998,0,0,7.60
Bob,Cousy,4260253810,,1963,0,0,7.50
Ricky,Rubio,4215381124,,2024,9,30,7.49
Johnny,Moore,2657597736,,1990,0,0,7.40
Nate,Archibald,2602980960,,1976,0,0,7.40
D.J.,Augustin,1573061304,,2023,9,30,7.28
Rod,Strickland,4147349710,,2005,9,30,7.28
Devin,Harris,2607007122,,2020,9,30,7.24
Gilbert,Arenas,524621617,,2019,9,30,7.14
Jordan,Farmar,2489453530,,2022,9,30,7.06
Micheal Ray,Richardson,1045697478,,1982,0,0,7.00
Norm,Van Lier,0,,1978,0,0,7.00
John,Lucas,2512421291,,1990,0,0,7.00
Gary,Payton,1962166602,,2005,9,30,6.96
George,Hill,2625112596,,2024,9,30,6.94
Brian,Roberts,3288225083,,2020,9,30,6.81
Toby,Babcock,2295798094,,2018,9,30,6.75
Mark,Price,374246220,,1995,0,0,6.70
Mookie,Blaylock,0,,1999,0,0,6.70
Maurice,Cheeks,679650091,,1989,0,0,6.70
Lenny,Wilkens,600012424,,1968,0,0,6.70
Jerry,West,294082333,,1974,0,0,6.70
Stephon,Marbury,293525334,,2014,9,30,6.70
Deron,Williams,3665610743,,2019,9,30,6.63
Brandon,Jennings,240646623,,2022,9,30,6.55
Nicolas,Batum,1379215474,,2023,9,30,6.51
Pooh,Richardson,0,,1992,0,0,6.50
Scott,Skiles,2125320788,,1994,0,0,6.50
Rajon,Rondo,3776378435,,2022,9,30,6.45
Michael,Adams,4214690828,,1991,0,0,6.40
Phil,Ford,0,,1982,0,0,6.40
Jason,Terry,3905775793,,2015,9,30,6.39
Nick,Van Exel,2750123408,,2009,9,30,6.37
Jamaal,Tinsley,2037639045,,2014,9,30,6.31
Larry,Bird,721684922,,1992,0,0,6.30
Reggie,Theus,3354002385,,1984,0,0,6.30
Jameer,Nelson,3964144933,,2016,9,30,6.20
Fat,Lever,3580305163,,1990,0,0,6.20
Chris,Duhon,3850342996,,2017,9,30,6.15
Damon,Stoudamire,2932302080,,2006,9,30,6.14
Shaun,Livingston,3443208561,,2021,9,30,6.14
Chauncey,Billups,257700249,,2015,9,30,6.13
Nate,McMillan,266131011,,1998,0,0,6.10
Slick,Watts,0,,1978,0,0,6.10
Walt,Frazier,3545296810,,1977,0,0,6.10
Mike,Bibby,36368026,,2015,9,30,6.03
Dave,Bing,3985050591,,1975,0,0,6.00
John,Bagley,2078857370,,1987,0,0,6.00
Keith,Evans,2160785960,,2015,9,30,5.93
Sherman,Douglas,0,,1996,0,0,5.90
Kenny,Anderson,3602700744,,2005,9,30,5.88
José,Calderon,1267040825,,2016,9,30,5.85
Avery,Johnson,1902249315,,2004,9,30,5.82
Christophe,Sonnet,480429306,,2024,9,30,5.80
Micheal,Williams,1881348130,,1998,0,0,5.80
Ray,Williams,0,,1984,0,0,5.80
Brevin,Knight,3480803611,,2009,9,30,5.78
Terrell,Brandon,622827363,,2005,9,30,5.76
Gerald,Pittman,1475994577,,2015,9,30,5.76
Raymond,Felton,3749755809,,2020,9,30,5.75
Dick,McGuire,0,,1957,0,0,5.70
Doc,Rivers,4043500579,,1991,0,0,5.70
Sam,Cassell,442729102,,2008,9,30,5.68
Marvin,Madison,2941436814,,2022,9,30,5.67
Reggie,Jackson,2300456187,,2023,9,30,5.60
Clyde,Drexler,2830652689,,1995,0,0,5.60
Terry,Porter,1240551733,,1995,0,0,5.60
Gus,Williams,2182557430,,1984,0,0,5.60
T.J.,Ford,1660097673,,2018,9,30,5.57
Steve,Francis,1453320221,,2013,9,30,5.55
Jeff,Teague,538915089,,2023,9,30,5.52
Johnny,Dawkins,0,,1994,0,0,5.50
Andy,Phillip,0,,1956,0,0,5.50
Kenny,Smith,1224290281,,1996,0,0,5.50
Rickey,Green,3839755692,,1988,0,0,5.50
Jay,Humphries,821226983,,1992,0,0,5.50
Derek,Harper,3832165228,,1997,0,0,5.50
Gary,Grant,4074820343,,1995,0,0,5.50
