名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Michael,Jordan,1656064730,,2003,9,30,30.34
Wilt,Chamberlain,3995331167,,1965,0,0,30.10
LeBron,James,14453172,,2023,9,30,28.67
Kobe,Bryant,1882810953,,2018,9,30,27.86
Elgin,Baylor,4070105251,,1972,0,0,27.40
Jerry,West,294082333,,1974,0,0,27.00
Allen,Iverson,381545994,,2013,9,30,26.91
Bob,Pettit,942771973,,1965,0,0,26.40
Shaquille,O'Neal,2048556069,,2009,9,30,26.34
George,Gervin,2863428041,,1985,0,0,26.20
Carmelo,Anthony,4208656977,,2022,9,30,26.02
Oscar,Robertson,2136803151,,1970,0,0,25.70
Tracy,McGrady,4135983248,,2018,9,30,25.29
Vince,Carter,949977097,,2017,9,30,24.93
Dominique,Wilkins,1986062677,,1994,0,0,24.80
Dirk,Nowitzki,3340545434,,2017,9,30,24.60
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,24.60
Karl,Malone,209778290,,2004,9,30,24.56
Larry,Bird,721684922,,1992,0,0,24.30
Adrian,Dantley,3616010799,,1986,0,0,24.30
Pete,Maravich,4117634903,,1980,0,0,24.20
Dwyane,Wade,702239229,,2019,9,30,23.76
Tim,Duncan,1399501823,,2018,9,30,23.52
Rick,Barry,3288714713,,1978,0,0,23.20
Elton,Brand,1406491559,,2016,9,30,22.96
Paul,Arizin,1075063803,,1962,0,0,22.80
Pau,Gasol,1381211648,,2019,9,30,22.74
Chris,Paul,125296487,,2022,9,30,22.64
Paul,Pierce,3059123028,,2017,9,30,22.50
Bernard,King,1640505611,,1991,0,0,22.50
Chris,Bosh,2798522086,,2022,9,30,22.32
Charles,Barkley,0,,1992,0,0,22.10
David,Thompson,383515277,,1982,0,0,22.10
Bob,McAdoo,2951151959,,1977,0,0,22.10
Amar'e,Stoudemire,3433513141,,2017,9,30,22.04
Julius,Erving,2925200878,,1987,0,0,22.00
Jason,Richardson,3004004423,,2019,9,30,21.97
Kevin,Garnett,758303125,,2017,9,30,21.91
Geoff,Petrie,4037059999,,1976,0,0,21.80
Alex,English,3220462428,,1990,0,0,21.50
Dwight,Howard,1835916760,,2022,9,30,21.21
Mitch,Richmond,1738387460,,1998,0,0,21.00
Patrick,Ewing,2307488153,,2000,0,0,21.00
Elvin,Hayes,3242341554,,1981,0,0,21.00
Ray,Allen,3316948068,,2018,9,30,20.91
Billy,Cunningham,3434731349,,1976,0,0,20.80
John,Havlicek,743581393,,1978,0,0,20.80
John,Drew,2796687309,,1982,0,0,20.70
Chris,Webber,1521973345,,2011,9,30,20.67
Moses,Malone,1285953927,,1982,0,0,20.60
Clyde,Drexler,2830652689,,1995,0,0,20.40
Dan,Issel,2036960438,,1985,0,0,20.40
Gilbert,Arenas,524621617,,2019,9,30,20.33
Dave,Bing,3985050591,,1975,0,0,20.30
World B.,Free,698838007,,1983,0,0,20.30
Lou,Hudson,562925334,,1977,0,0,20.20
Hakeem,Olajuwon,1272403453,,2004,9,30,20.17
Marques,Johnson,3229198511,,1984,0,0,20.10
Walt,Bellamy,0,,1966,0,0,20.10
Bob,Lanier,3609822916,,1980,0,0,20.10
Ming,Yao,648740660,,2017,9,30,20.04
Jerry,Stackhouse,4099436601,,2011,9,30,20.01
Mark,Aguirre,2821914521,,1989,0,0,20.00
Shawn,Marion,4242905577,,2018,9,30,19.89
DeMar,DeRozan,299788915,,2024,9,30,19.86
Mike,Mitchell,0,,1988,0,0,19.80
Andrea,Bargnani,2972822663,,2022,9,30,19.72
Kiki,Vandeweghe,4091869180,,1989,0,0,19.70
Glenn,Robinson,2451154901,,2007,9,30,19.52
LaMarcus,Aldridge,728364780,,2022,9,30,19.52
Magic,Johnson,764720090,,1996,0,0,19.50
Neil,Johnston,0,,1959,0,0,19.40
Reggie,Miller,0,,2003,0,0,19.30
Jack,Twyman,0,,1966,0,0,19.20
Hal,Greer,3991557422,,1973,0,0,19.20
Isiah,Thomas,3964271256,,1994,0,0,19.20
George,Yardley,0,,1959,0,0,19.20
Spencer,Haywood,1559781183,,1975,0,0,19.20
Antoine,Walker,566925475,,2011,9,30,19.14
Jason,Terry,3905775793,,2015,9,30,19.09
Stephon,Marbury,293525334,,2014,9,30,19.08
Jeff,Malone,2752087677,,1990,0,0,19.00
Brad,Daugherty,4279949427,,1994,0,0,19.00
Walter,Davis,2450828659,,1988,0,0,18.90
Walt,Frazier,3545296810,,1977,0,0,18.90
Earl,Monroe,1177201404,,1980,0,0,18.80
Nate,Archibald,2602980960,,1976,0,0,18.80
Corey,Maggette,1583327544,,2018,9,30,18.75
J.R.,Smith,1539019190,,2023,9,30,18.70
Willis,Reed,337237682,,1974,0,0,18.70
Bailey,Howell,1637112921,,1964,0,0,18.70
David,Robinson,3972749366,,2005,9,30,18.68
Richard,Hamilton,3605018112,,2013,9,30,18.64
Tom,Heinsohn,4023563683,,1965,0,0,18.60
Gail,Goodrich,2673756251,,1976,0,0,18.60
Reggie,Theus,3354002385,,1984,0,0,18.50
Dolph,Schayes,1885786402,,1964,0,0,18.50
Bob,Dandridge,3658425331,,1982,0,0,18.50
Bob,Cousy,4260253810,,1963,0,0,18.40
Antawn,Jamison,1228678860,,2012,9,30,18.35
