名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Wilt,Chamberlain,3995331167,,1965,0,0,22.90
Bill,Russell,0,,1969,0,0,22.50
Bob,Pettit,942771973,,1965,0,0,16.20
Jerry,Lucas,802009125,,1970,0,0,15.60
Nate,Thurmond,1261281841,,1974,0,0,15.00
Wes,Unseld,459787263,,1981,0,0,14.00
Walt,Bellamy,0,,1966,0,0,13.70
Dave,Cowens,649754523,,1980,0,0,13.60
Elgin,Baylor,4070105251,,1972,0,0,13.50
Dennis,Rodman,757007820,,1993,0,0,13.10
Willis,Reed,337237682,,1974,0,0,12.90
Gus,Johnson,0,,1972,0,0,12.70
Tim,Duncan,1399501823,,2018,9,30,12.53
Elvin,Hayes,3242341554,,1981,0,0,12.50
Moses,Malone,1285953927,,1982,0,0,12.20
Ming,Yao,648740660,,2017,9,30,12.06
Bill,Bridges,0,,1972,0,0,11.90
Shaquille,O'Neal,2048556069,,2009,9,30,11.73
Charles,Barkley,0,,1992,0,0,11.70
Elton,Brand,1406491559,,2016,9,30,11.66
Kevin,Garnett,758303125,,2017,9,30,11.31
Neil,Johnston,0,,1959,0,0,11.30
Dolph,Schayes,1885786402,,1964,0,0,11.30
Walter,Dukes,0,,1963,0,0,11.30
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,11.20
Johnny,Kerr,0,,1965,0,0,11.20
Dikembe,Mutombo,1052384383,,2004,9,30,11.12
Dave,Debusschere,2255378467,,1969,0,0,11.00
Dwight,Howard,1835916760,,2022,9,30,10.89
Swen,Nater,2294207881,,1983,0,0,10.80
Zach,Randolph,3982421389,,2019,9,30,10.79
Harry,Gallatin,0,,1957,0,0,10.60
Elmore,Smith,0,,1973,0,0,10.60
Bill,Walton,1022334021,,1978,0,0,10.50
Ray,Scott,722087139,,1967,0,0,10.50
Hakeem,Olajuwon,1272403453,,2004,9,30,10.50
Joakim,Noah,3299952194,,2020,9,30,10.49
Ben,Wallace,3312187082,,2011,9,30,10.42
Zelmo,Beaty,0,,1969,0,0,10.40
Happy,Hairston,0,,1975,0,0,10.30
Clyde,Lee,2900732646,,1974,0,0,10.30
Pau,Gasol,1381211648,,2019,9,30,10.15
Dirk,Nowitzki,3340545434,,2017,9,30,10.15
Billy,Cunningham,3434731349,,1976,0,0,10.10
Bob,Lanier,3609822916,,1980,0,0,10.10
Artis,Gilmore,2051387877,,1988,0,0,10.10
Larry,Bird,721684922,,1992,0,0,10.00
Buck,Williams,3112056332,,1989,0,0,10.00
Karl,Malone,209778290,,2004,9,30,9.99
Carlos,Boozer,1035628148,,2019,9,30,9.96
Chris,Webber,1521973345,,2011,9,30,9.96
David,Robinson,3972749366,,2005,9,30,9.91
Bailey,Howell,1637112921,,1964,0,0,9.90
Paul,Silas,200083957,,1976,0,0,9.90
Amar'e,Stoudemire,3433513141,,2017,9,30,9.90
Larry,Foust,0,,1957,0,0,9.80
Patrick,Ewing,2307488153,,2000,0,0,9.80
George,McGinnis,1901519820,,1978,0,0,9.80
Jack,Sikma,508638775,,1986,0,0,9.80
Charles,Oakley,2952759940,,2004,9,30,9.80
Bill,Laimbeer,3507304340,,1994,0,0,9.70
Dan,Roundfield,0,,1984,0,0,9.70
Sam,Lacey,0,,1982,0,0,9.70
Derrick,Coleman,1509024751,,2003,9,30,9.66
Simon,Davis,2530585323,,2022,9,30,9.61
Mel,Hutchins,0,,1957,0,0,9.60
Brad,Daugherty,4279949427,,1994,0,0,9.50
Rony,Seikaly,1474055646,,1994,0,0,9.50
Clyde,Lovellette,0,,1957,0,0,9.50
Paul,Millsap,374121648,,2020,9,30,9.50
Tyrus,Thomas,2481064465,,2023,9,30,9.47
Chris,Bosh,2798522086,,2022,9,30,9.47
Bob,McAdoo,2951151959,,1977,0,0,9.40
Rudy,Larusso,2272961927,,1967,0,0,9.40
Truck,Robinson,3884875703,,1982,0,0,9.40
Alonzo,Mourning,1223838286,,2005,9,30,9.34
Spencer,Haywood,1559781183,,1975,0,0,9.30
Marcus,Camby,4265848006,,2010,9,30,9.30
Larry,Smith,0,,1989,0,0,9.20
Andrea,Bargnani,2972822663,,2022,9,30,9.18
Greg,Oden,1566182507,,2024,9,30,9.16
Robert,Parish,343163452,,1994,0,0,9.10
Willie,Naulls,0,,1963,0,0,9.10
Wayne,Embry,1379797546,,1966,0,0,9.10
Tyson,Chandler,3563203870,,2022,9,30,9.04
Tom,Boerwinkle,0,,1978,0,0,9.00
George,Yardley,0,,1959,0,0,8.90
Ray,Felix,0,,1960,0,0,8.90
Clifford,Ray,0,,1981,0,0,8.90
Luke,Jackson,3326785506,,1972,0,0,8.80
Curtis,Perry,0,,1978,0,0,8.80
Ralph,Sampson,1950770239,,1988,0,0,8.80
Maurice,Lucas,3705666622,,1988,0,0,8.80
Dale,Davis,0,,2003,0,0,8.80
Tom,Heinsohn,4023563683,,1965,0,0,8.80
Kevin,Willis,2373521338,,2003,9,30,8.77
Chris,Kaman,538716712,,2019,9,30,8.75
Sidney,Wicks,3384831244,,1976,0,0,8.70
Arnie,Risen,0,,1955,0,0,8.70
Johan,Petro,3368221119,,2022,9,30,8.61
