名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Tyson,Chandler,3563203870,,2022,4,13,5250.00
Carmelo,Anthony,4208656977,,2022,4,13,4966.00
Hakeem,Olajuwon,1272403453,,2004,4,15,4759.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,4657.00
Kevin,Garnett,758303125,,2017,4,12,4656.00
Karl,Malone,209778290,,2004,4,15,4589.00
DeMarcus,Cousins,1068200658,,2025,4,16,4541.00
Robert,Parish,343163452,,1994,0,0,4443.00
Tim,Duncan,1399501823,,2018,4,11,4432.00
Ray,Allen,3316948068,,2018,4,11,4422.00
Kobe,Bryant,1882810953,,2018,4,11,4402.00
Charles,Oakley,2952759940,,2003,0,0,4323.00
Corey,Maggette,1583327544,,2018,4,11,4277.00
Buck,Williams,3112056332,,1989,0,0,4267.00
Chris,Bosh,2798522086,,2022,3,28,4242.00
Zach,Randolph,3982421389,,2019,4,10,4207.00
Vince,Carter,949977097,,2017,4,12,4196.00
Elvin,Hayes,3242341554,,1981,0,0,4193.00
Elton,Brand,1406491559,,2016,4,14,4172.00
Dirk,Nowitzki,3340545434,,2017,4,11,4168.00
LeBron,James,14453172,,2023,4,12,4158.00
Otis,Thorpe,219390279,,1995,0,0,4146.00
John,Stockton,2802392380,,2004,4,15,4132.00
Eddy,Curry,3903315353,,2017,4,12,4119.00
Gilbert,Arenas,524621617,,2019,4,10,4104.00
Paul,Pierce,3059123028,,2017,4,10,4102.00
Carlos,Boozer,1035628148,,2019,4,10,4080.00
Kevin,Durant,3289429399,,2025,4,16,4051.00
James,Edwards,2748842227,,1988,0,0,4042.00
Patrick,Ewing,2307488153,,2000,0,0,4034.00
Kevin,Willis,2373521338,,2003,3,21,4001.00
Stephen,Curry,1629185898,,2025,4,16,3986.00
Shaquille,O'Neal,2048556069,,2009,4,15,3983.00
Dwight,Howard,1835916760,,2020,4,16,3967.00
Jermaine,O'Neal,3129988045,,2016,4,14,3967.00
Tony,Parker,961068511,,2022,4,13,3949.00
Pau,Gasol,1381211648,,2019,4,10,3924.00
Marc,Gasol,1897244614,,2025,4,16,3916.00
Johan,Petro,3368221119,,2020,4,16,3910.00
Shawn,Kemp,1280254661,,2004,4,15,3908.00
Jack,Sikma,508638775,,1986,0,0,3879.00
Hal,Greer,3991557422,,1973,0,0,3855.00
Tracy,McGrady,4135983248,,2018,4,10,3850.00
Terry,Cummings,1138652175,,1996,0,0,3836.00
James,Harden,3411490024,,2025,4,16,3819.00
J.R.,Smith,1539019190,,2020,12,23,3811.00
Ming,Yao,648740660,,2017,4,12,3797.00
Kevin,Love,2622310705,,2025,4,16,3788.00
Mike,Conley,844021635,,2025,4,16,3772.00
Tom,Chambers,1317344166,,1988,0,0,3742.00
Kyle,Lowry,1665484738,,2024,4,11,3738.00
Chris,Paul,125296487,,2022,4,13,3738.00
Derrick,Rose,535126531,,2025,4,16,3715.00
Amar'e,Stoudemire,3433513141,,2017,4,12,3707.00
Bill,Laimbeer,3507304340,,1994,0,0,3633.00
Vlade,Divac,3577130840,,2005,4,13,3584.00
Tyrus,Thomas,2481064465,,2022,4,13,3573.00
Klay,Thompson,618804612,,2025,4,16,3552.00
Cliff,Robinson,665568510,,2004,4,15,3548.00
Walt,Bellamy,0,,1966,0,0,3536.00
Russell,Westbrook,2092888698,,2025,4,16,3535.00
Blake,Griffin,1642967858,,2025,4,16,3528.00
Caldwell,Jones,3293628780,,1982,0,0,3527.00
Shareef,Abdur-Rahim,2131293229,,2013,4,10,3516.00
Jason,Richardson,3004004423,,2017,4,12,3513.00
Tim,Thomas,434685153,,2014,4,12,3512.00
Chris,Webber,1521973345,,2010,4,14,3511.00
Rick,Mahorn,2236940385,,1985,0,0,3499.00
Bailey,Howell,1637112921,,1964,0,0,3498.00
Danny,Schayes,1139235988,,1990,0,0,3494.00
Hamed,Haddadi,3382940480,,2021,1,4,3492.00
Joe,Johnson,2911898164,,2019,3,29,3492.00
Andrea,Bargnani,2972822663,,2022,4,13,3485.00
Sam,Lacey,0,,1982,0,0,3473.00
Jerome,Kersey,2448675046,,1995,0,0,3455.00
Andre,Drummond,1692910680,,2025,4,16,3446.00
Dolph,Schayes,1885786402,,1964,0,0,3432.00
Geoffrey,Knight,3428508175,,2025,4,16,3428.00
Donté,Greene,4101260216,,2024,4,11,3413.00
Paul,George,1722054934,,2025,3,14,3412.00
Bobby C.,O'Gallagher,2996693558,,2025,4,15,3402.00
Anthony,Davis,2964188718,,2025,4,15,3401.00
Tree,Rollins,3787222623,,1988,0,0,3377.00
DeMarre,Carroll,1279865213,,2024,4,11,3375.00
Bill,Bridges,0,,1972,0,0,3375.00
Detlef,Schrempf,3378179864,,1999,0,0,3360.00
LaMarcus,Aldridge,728364780,,2022,4,13,3356.00
Scottie,Pippen,2493443696,,2003,4,16,3338.00
Joe,Smith,2041937868,,2008,4,10,3324.00
Michael,Beasley,889662832,,2022,4,5,3310.00
Johnny R.,Haywood,1555773519,,2021,4,11,3309.00
Charles,Barkley,0,,1992,0,0,3287.00
Clyde,Drexler,2830652689,,1995,0,0,3285.00
Lenny,Wilkens,600012424,,1968,0,0,3285.00
John,Havlicek,743581393,,1978,0,0,3281.00
Kyrie,Irving,1057757000,,2025,4,16,3271.00
Matthew,Cartwright,1113592061,,2019,4,9,3253.00
Calvin,Murphy,864836943,,1983,0,0,3250.00
Wally,Szczerbiak,1650499239,,2014,4,15,3232.00
Isaiah,Thomas,2990905761,,2025,4,16,3230.00
