名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Hakeem,Olajuwon,1272403453,,2004,4,15,4046.00
Tim,Duncan,1399501823,,2018,4,11,4036.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,3189.00
David,Robinson,3972749366,,2005,4,10,3155.00
Mark,Eaton,3548106088,,1993,0,0,3064.00
Dikembe,Mutombo,1052384383,,2004,4,15,3040.00
Patrick,Ewing,2307488153,,2000,0,0,2894.00
Elton,Brand,1406491559,,2016,4,14,2883.00
Shaquille,O'Neal,2048556069,,2009,4,10,2856.00
Tyson,Chandler,3563203870,,2022,4,13,2841.00
Marc,Gasol,1897244614,,2025,4,16,2761.00
Ming,Yao,648740660,,2017,4,12,2579.00
Dwight,Howard,1835916760,,2020,4,16,2576.00
Tree,Rollins,3787222623,,1988,0,0,2542.00
Pau,Gasol,1381211648,,2019,4,10,2527.00
Kevin,Garnett,758303125,,2017,4,4,2492.00
Chris,Bosh,2798522086,,2022,3,18,2384.00
Andrei,Kirilenko,2132221901,,2016,4,14,2370.00
Jermaine,O'Neal,3129988045,,2016,4,14,2369.00
Robert,Parish,343163452,,1994,0,0,2361.00
Alonzo,Mourning,1223838286,,2005,4,12,2354.00
Shawn,Bradley,1577970521,,2005,12,8,2322.00
Kevin,Durant,3289429399,,2025,4,16,2286.00
LeBron,James,14453172,,2023,4,12,2272.00
Andrea,Bargnani,2972822663,,2022,4,13,2268.00
Anthony,Davis,2964188718,,2025,4,13,2224.00
Ben,Wallace,3312187082,,2011,4,13,2200.00
Manute,Bol,3811205150,,1988,0,0,2086.00
George T.,Johnson,687918104,,1985,0,0,2082.00
Marcus,Camby,4265848006,,2010,4,14,2057.00
Chris,Webber,1521973345,,2010,4,14,2050.00
Larry,Nance,2769423668,,1988,0,0,2027.00
Dwyane,Wade,702239229,,2019,4,10,2007.00
Theo,Ratliff,4149586782,,2007,4,11,1997.00
Serge,Ibaka,1638870628,,2022,4,10,1900.00
Greg,Oden,1566182507,,2022,4,12,1886.00
Carmelo,Anthony,4208656977,,2022,4,13,1869.00
Roy,Hibbert,2824110422,,2020,4,16,1852.00
Joakim,Noah,3299952194,,2020,4,16,1808.00
Joel,Embiid,4006736901,,2025,4,15,1784.00
DeMarcus,Cousins,1068200658,,2025,4,15,1781.00
Elvin,Hayes,3242341554,,1981,0,0,1771.00
Hassan,Whiteside,1151292087,,2024,4,10,1764.00
Artis,Gilmore,2051387877,,1988,0,0,1747.00
Rudy,Gobert,1675311959,,2025,4,16,1738.00
Kwame,Brown,164836107,,2018,10,27,1736.00
Moses,Malone,1285953927,,1982,0,0,1733.00
Stromile,Swift,3334055151,,2014,4,16,1691.00
Kevin,McHale,1805480950,,1993,0,0,1690.00
Vlade,Divac,3577130840,,2005,4,9,1668.00
Amar'e,Stoudemire,3433513141,,2017,4,7,1653.00
Elden,Campbell,539358984,,2004,4,10,1653.00
Zydrunas,Ilgauskas,4146600120,,2011,4,13,1612.00
Herb,Williams,475303191,,1989,0,0,1605.00
Karl-Anthony,Towns,2634244266,,2025,4,16,1590.00
Hamed,Haddadi,3382940480,,2019,4,6,1585.00
Benoit,Benjamin,0,,1991,0,0,1581.00
Brook,Lopez,645402808,,2023,4,8,1577.00
Myles,Turner,3168451052,,2025,4,16,1575.00
DeAndre,Jordan,1662019434,,2025,4,14,1561.00
Giannis,Antetokounmpo,3893280463,,2025,4,16,1553.00
Bobby C.,O'Gallagher,2996693558,,2025,4,13,1546.00
Wayne,Cooper,932104474,,1989,0,0,1535.00
Caldwell,Jones,3293628780,,1982,0,0,1517.00
Alton,Lister,3271575594,,1996,0,0,1473.00
Adonal,Foyle,2046095826,,2009,12,25,1464.00
Dirk,Nowitzki,3340545434,,2017,4,9,1460.00
Raef,LaFrentz,3490678528,,2009,4,15,1456.00
Erick,Dampier,533815806,,2008,12,3,1456.00
Hot Rod,Williams,3685369961,,1995,0,0,1456.00
LaMarcus,Aldridge,728364780,,2022,4,12,1455.00
Ian,Mahinmi,1916297758,,2019,4,8,1416.00
Tyrus,Thomas,2481064465,,2022,4,6,1413.00
Mark,West,2590936044,,2000,0,0,1403.00
Andre,Drummond,1692910680,,2025,4,13,1399.00
Shawn,Marion,4242905577,,2017,4,12,1397.00
Brandon,Roy,2637549671,,2021,4,7,1382.00
Jianlian,Yi,2114746252,,2023,3,27,1373.00
Donté,Greene,4101260216,,2024,4,9,1352.00
Terry,Tyler,0,,1985,0,0,1342.00
Vince,Carter,949977097,,2017,4,12,1327.00
Eddy,Curry,3903315353,,2017,4,10,1315.00
Kristaps,Porzingis,177987183,,2025,4,16,1314.00
Emeka,Okafor,2921407661,,2016,4,12,1312.00
Shawn,Kemp,1280254661,,2004,3,25,1305.00
Julius,Erving,2925200878,,1987,0,0,1293.00
Johnny R.,Haywood,1555773519,,2021,4,9,1272.00
Cliff,Robinson,665568510,,2004,4,10,1271.00
James,Donaldson,4283090159,,1992,0,0,1267.00
Geoffrey,Knight,3428508175,,2025,4,14,1264.00
Josh,Smith,4126839958,,2018,4,9,1255.00
Charles,Jones,4044983398,,1993,0,0,1252.00
Luol,Deng,1469495419,,2019,4,7,1246.00
Clint,Capela,2623570023,,2025,4,14,1244.00
Al,Horford,3522067934,,2021,4,2,1240.00
Johan,Petro,3368221119,,2020,4,15,1230.00
Paul,Pierce,3059123028,,2017,4,12,1229.00
Harvey,Catchings,2874126019,,1984,0,0,1226.00
Greg,Ostertag,2277468080,,2005,4,12,1201.00
Tracy,McGrady,4135983248,,2018,4,7,1195.00
