名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kobe,Bryant,1882810953,,2018,4,9,10477.00
LeBron,James,14453172,,2023,4,12,9853.00
Karl,Malone,209778290,,2004,4,15,9617.00
Moses,Malone,1285953927,,1982,0,0,8531.00
Dirk,Nowitzki,3340545434,,2017,4,11,8427.00
Tracy,McGrady,4135983248,,2018,4,10,7965.00
Tim,Duncan,1399501823,,2018,4,11,7786.00
Oscar,Robertson,2136803151,,1970,0,0,7694.00
Paul,Pierce,3059123028,,2017,4,12,7666.00
Derrick,Rose,535126531,,2025,4,16,7612.00
Pau,Gasol,1381211648,,2019,4,10,7420.00
Michael,Jordan,1656064730,,2003,4,16,7320.00
Carmelo,Anthony,4208656977,,2022,4,13,7226.00
Jerry,West,294082333,,1974,0,0,7160.00
Kevin,Durant,3289429399,,2025,4,13,7109.00
Adrian,Dantley,3616010799,,1986,0,0,6832.00
Corey,Maggette,1583327544,,2018,4,11,6810.00
Allen,Iverson,381545994,,2012,2,29,6729.00
Dolph,Schayes,1885786402,,1964,0,0,6712.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,6712.00
Stephen,Curry,1629185898,,2025,4,15,6518.00
Shaquille,O'Neal,2048556069,,2009,4,15,6480.00
Elton,Brand,1406491559,,2016,4,14,6403.00
James,Harden,3411490024,,2025,4,16,6385.00
Ray,Allen,3316948068,,2018,4,10,6379.00
Charles,Barkley,0,,1992,0,0,6349.00
Kevin,Love,2622310705,,2025,4,16,6344.00
Bob,Pettit,942771973,,1965,0,0,6182.00
David,Robinson,3972749366,,2005,4,10,6169.00
Ming,Yao,648740660,,2017,4,12,6083.00
Wilt,Chamberlain,3995331167,,1965,0,0,6057.00
Dominique,Wilkins,1986062677,,1994,0,0,6031.00
Jerry,Stackhouse,4099436601,,2010,2,13,5954.00
Anthony,Davis,2964188718,,2025,4,15,5858.00
Tony,Parker,961068511,,2022,4,13,5786.00
Elgin,Baylor,4070105251,,1972,0,0,5763.00
Gilbert,Arenas,524621617,,2019,4,9,5672.00
Dwyane,Wade,702239229,,2019,4,9,5652.00
Reggie,Miller,0,,2003,0,0,5634.00
Chris,Bosh,2798522086,,2022,3,20,5633.00
Kevin,Garnett,758303125,,2017,4,12,5629.00
Hakeem,Olajuwon,1272403453,,2004,4,15,5613.00
Russell,Westbrook,2092888698,,2025,4,16,5470.00
Vince,Carter,949977097,,2017,4,12,5423.00
Amar'e,Stoudemire,3433513141,,2017,4,12,5397.00
Lenny,Wilkens,600012424,,1968,0,0,5394.00
Patrick,Ewing,2307488153,,2000,0,0,5392.00
John,Havlicek,743581393,,1978,0,0,5369.00
Jason,Richardson,3004004423,,2017,4,12,5359.00
Elvin,Hayes,3242341554,,1981,0,0,5356.00
Chris,Paul,125296487,,2022,4,13,5341.00
Blake,Griffin,1642967858,,2025,4,16,5295.00
Andrea,Bargnani,2972822663,,2022,4,13,5196.00
Kawhi,Leonard,689664316,,2025,4,15,5191.00
Gordon,Hayward,1952026266,,2025,4,16,5137.00
Isaiah,Thomas,2990905761,,2025,4,16,5127.00
Walt,Bellamy,0,,1966,0,0,5113.00
Chet,Walker,0,,1969,0,0,5079.00
John,Wall,2715392048,,2025,4,16,5071.00
Tom,Chambers,1317344166,,1988,0,0,5066.00
Paul,George,1722054934,,2025,3,16,5063.00
Shareef,Abdur-Rahim,2131293229,,2013,4,10,5057.00
Paul,Arizin,1075063803,,1962,0,0,5010.00
DeMarcus,Cousins,1068200658,,2025,4,16,4981.00
Magic,Johnson,764720090,,1996,0,0,4960.00
LaMarcus,Aldridge,728364780,,2022,4,12,4818.00
John,Stockton,2802392380,,2004,4,13,4796.00
Jimmy,Butler,1343105906,,2025,4,16,4793.00
Kyrie,Irving,1057757000,,2025,4,16,4780.00
Dwight,Howard,1835916760,,2020,4,14,4766.00
Chauncey,Billups,257700249,,2015,3,27,4764.00
Bailey,Howell,1637112921,,1964,0,0,4740.00
World B.,Free,698838007,,1983,0,0,4718.00
Mike,Conley,844021635,,2025,4,11,4715.00
Clyde,Drexler,2830652689,,1995,0,0,4698.00
Nate,Archibald,2602980960,,1976,0,0,4664.00
Reggie,Theus,3354002385,,1984,0,0,4663.00
Stephon,Marbury,293525334,,2012,4,10,4653.00
Bob,Cousy,4260253810,,1963,0,0,4624.00
Hal,Greer,3991557422,,1973,0,0,4578.00
Mitch,Richmond,1738387460,,1998,0,0,4561.00
George,Gervin,2863428041,,1985,0,0,4541.00
Detlef,Schrempf,3378179864,,1999,0,0,4486.00
Leon,Karl,1536548708,,2025,4,16,4449.00
Dave,Bing,3985050591,,1975,0,0,4403.00
Shawn,Marion,4242905577,,2017,4,12,4387.00
Caron,Butler,4182325879,,2016,4,14,4373.00
Joe,Johnson,2911898164,,2019,1,9,4335.00
Richie,Guerin,1593647501,,1964,0,0,4328.00
DeMar,DeRozan,299788915,,2022,1,21,4319.00
Gail,Goodrich,2673756251,,1976,0,0,4319.00
John,Drew,2796687309,,1982,0,0,4319.00
Jack,Sikma,508638775,,1986,0,0,4292.00
Shawn,Kemp,1280254661,,2004,4,15,4285.00
Steve,Nash,3116079434,,2013,4,10,4284.00
Alex,English,3220462428,,1990,0,0,4277.00
Dick,Van Arsdale,469113282,,1977,0,0,4253.00
Kemba,Walker,3889158922,,2025,4,16,4250.00
Arnold,Hasselhoff,3758990050,,2024,4,11,4136.00
Artis,Gilmore,2051387877,,1988,0,0,4114.00
