赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2024-2025,,Los Angeles,Lakers,Victor,Wembanyama,
2024-2025,,Atlanta,Hawks,DeMarcus,Cousins,
2024-2025,,Phoenix,Suns,Dejounte,Murray,
2024-2025,,Charlotte,Hornets,Bol,Bol,
2024-2025,,Washington,Wizards,Kyrie,Irving,
2023-2024,,Sacramento,Kings,Giannis,Antetokounmpo,
2023-2024,,Memphis,Grizzlies,Kevin,Love,
2023-2024,,Chicago,Bulls,Trae,Young,
2023-2024,,San Antonio,Spurs,Stephen,Curry,
2023-2024,,Atlanta,Hawks,DeMarcus,Cousins,
2022-2023,,Sacramento,Kings,Giannis,Antetokounmpo,
2022-2023,,Los Angeles,Clippers,Ja,Morant,
2022-2023,,Atlanta,Hawks,DeMarcus,Cousins,
2022-2023,,Milwaukee,Bucks,Ben,Simmons,
2022-2023,,Chicago,Bulls,Zion,Williamson,
2021-2022,,Milwaukee,Bucks,Ben,Simmons,
2021-2022,,San Antonio,Spurs,Stephen,Curry,
2021-2022,,Sacramento,Kings,Giannis,Antetokounmpo,
2021-2022,,Memphis,Grizzlies,Kevin,Love,
2021-2022,,Phoenix,Suns,Joel,Embiid,
2020-2021,,New Orleans,Pelicans,Stephen,Curry,
2020-2021,,Philadelphia,76ers,John,Wall,
2020-2021,,Memphis,Grizzlies,Carmelo,Anthony,
2020-2021,,Sacramento,Kings,Giannis,Antetokounmpo,
2020-2021,,Phoenix,Suns,Joel,Embiid,
2019-2020,,Los Angeles,Lakers,Chris,Paul,
2019-2020,,Philadelphia,76ers,John,Wall,
2019-2020,,Sacramento,Kings,Giannis,Antetokounmpo,
2019-2020,,Golden State,Warriors,Kawhi,Leonard,
2019-2020,,Detroit,Pistons,Karl-Anthony,Towns,
2018-2019,,Denver,Nuggets,Russell,Westbrook,
2018-2019,,Brooklyn,Nets,Isaiah,Thomas,
2018-2019,,New Orleans,Pelicans,Kevin,Durant,
2018-2019,,Golden State,Warriors,Kawhi,Leonard,
2018-2019,,Detroit,Pistons,Karl-Anthony,Towns,
2017-2018,,New York,Knicks,Russell,Westbrook,
2017-2018,,Indiana,Pacers,James,Harden,
2017-2018,,Golden State,Warriors,Anthony,Davis,
2017-2018,,Miami,Heat,Chris,Bosh,
2017-2018,,Indiana,Pacers,Simon,Davis,
2016-2017,,New Orleans,Pelicans,Stephen,Curry,
2016-2017,,Brooklyn,Nets,Isaiah,Thomas,
2016-2017,,Golden State,Warriors,Kawhi,Leonard,
2016-2017,,New Orleans,Pelicans,Kevin,Durant,
2016-2017,,Atlanta,Hawks,DeMarcus,Cousins,
2015-2016,,Brooklyn,Nets,Paul,George,
2015-2016,,Oklahoma City,Thunder,Derrick,Rose,
2015-2016,,Memphis,Grizzlies,Kevin,Love,
2015-2016,,Miami,Heat,Chris,Bosh,
2015-2016,,Cleveland,Cavaliers,Joakim,Noah,
2014-2015,,Brooklyn,Nets,James,Harden,
2014-2015,,Oklahoma City,Thunder,Derrick,Rose,
2014-2015,,New Orleans,Pelicans,Kevin,Durant,
2014-2015,,Chicago,Bulls,Chris,Bosh,
2014-2015,,Philadelphia,76ers,Ming,Yao,
2013-2014,,Oklahoma City,Thunder,Derrick,Rose,
2013-2014,,Brooklyn,Nets,James,Harden,
2013-2014,,Memphis,Grizzlies,Carmelo,Anthony,
2013-2014,,Golden State,Warriors,Anthony,Davis,
2013-2014,,Oklahoma City,Thunder,Dwight,Howard,
2012-2013,,Portland,Trail Blazers,Dwyane,Wade,
2012-2013,,New Orleans,Hornets,Stephen,Curry,
2012-2013,,New Orleans,Hornets,Kevin,Durant,
2012-2013,,Detroit,Pistons,Pau,Gasol,
2012-2013,,Indiana,Pacers,Simon,Davis,
2011-2012,,New York,Knicks,Russell,Westbrook,
2011-2012,,Orlando,Magic,Tracy,McGrady,
2011-2012,,Dallas,Mavericks,Dirk,Nowitzki,
2011-2012,,San Antonio,Spurs,Tim,Duncan,
2011-2012,,Memphis,Grizzlies,Chris,Kaman,
2010-2011,,Oklahoma City,Thunder,Derrick,Rose,
2010-2011,,Orlando,Magic,Tracy,McGrady,
2010-2011,,San Antonio,Spurs,Tim,Duncan,
2010-2011,,Memphis,Grizzlies,Carmelo,Anthony,
2010-2011,,Phoenix,Suns,Zach,Randolph,
2009-2010,,Denver,Nuggets,Gilbert,Arenas,
2009-2010,,Oklahoma City,Thunder,Derrick,Rose,
2009-2010,,Los Angeles,Clippers,Elton,Brand,
2009-2010,,Detroit,Pistons,Pau,Gasol,
2009-2010,,Houston,Rockets,Ming,Yao,
2008-2009,,Golden State,Warriors,Jason,Richardson,
2008-2009,,Oklahoma City,Thunder,Derrick,Rose,
2008-2009,,Dallas,Mavericks,Dirk,Nowitzki,
2008-2009,,San Antonio,Spurs,Tim,Duncan,
2008-2009,,Houston,Rockets,Ming,Yao,
2007-2008,,Orlando,Magic,Tracy,McGrady,
2007-2008,,Seattle,SuperSonics,Steve,Nash,
2007-2008,,Los Angeles,Clippers,Elton,Brand,
2007-2008,,Chicago,Bulls,Chris,Bosh,
2007-2008,,Memphis,Grizzlies,Shaquille,O'Neal,
2006-2007,,Golden State,Warriors,Jason,Richardson,
2006-2007,,Orlando,Magic,Tracy,McGrady,
2006-2007,,Dallas,Mavericks,Dirk,Nowitzki,
2006-2007,,Utah,Jazz,Chris,Bosh,
2006-2007,,Los Angeles,Lakers,Shaquille,O'Neal,
2005-2006,,Denver,Nuggets,Gilbert,Arenas,
2005-2006,,Golden State,Warriors,Jason,Richardson,
2005-2006,,Sacramento,Kings,Chris,Webber,
2005-2006,,Los Angeles,Clippers,Elton,Brand,
2005-2006,,Seattle,SuperSonics,Dwight,Howard,
2004-2005,,Denver,Nuggets,Gilbert,Arenas,
2004-2005,,New Jersey,Nets,Jason,Kidd,
2004-2005,,Sacramento,Kings,Chris,Webber,
2004-2005,,Dallas,Mavericks,Dirk,Nowitzki,
2004-2005,,Seattle,SuperSonics,Dwight,Howard,
2003-2004,,Denver,Nuggets,Gilbert,Arenas,
2003-2004,,Toronto,Raptors,Vince,Carter,
2003-2004,,Dallas,Mavericks,Dirk,Nowitzki,
2003-2004,,Los Angeles,Clippers,Elton,Brand,
2003-2004,,Cleveland,Cavaliers,Zydrunas,Ilgauskas,
2002-2003,,Philadelphia,76ers,Allen,Iverson,
2002-2003,,Dallas,Mavericks,Steve,Nash,
2002-2003,,Dallas,Mavericks,Dirk,Nowitzki,
2002-2003,,Boston,Celtics,Paul,Pierce,
2002-2003,,Detroit,Pistons,Ben,Wallace,
2001-2002,,Dallas,Mavericks,Steve,Nash,
2001-2002,,Boston,Celtics,Paul,Pierce,
2001-2002,,Indiana,Pacers,Jermaine,O'Neal,
2001-2002,,Detroit,Pistons,Ben,Wallace,
2001-2002,,Atlanta,Hawks,Dikembe,Mutombo,
2000-2001,,Milwaukee,Bucks,Ray,Allen,
2000-2001,,Seattle,SuperSonics,Gary,Payton,
2000-2001,,Utah,Jazz,Karl,Malone,
2000-2001,,Dallas,Mavericks,Dirk,Nowitzki,
2000-2001,,San Antonio,Spurs,David,Robinson,
1999-2000,,Charlotte,Hornets,Eddie,Jones,
1999-2000,,New Jersey,Nets,Stephon,Marbury,
1999-2000,,Toronto,Raptors,Vince,Carter,
1999-2000,,Sacramento,Kings,Chris,Webber,
1999-2000,,San Antonio,Spurs,David,Robinson,
1998-1999,,Los Angeles,Lakers,Kobe,Bryant,
1998-1999,,Utah,Jazz,John,Stockton,
1998-1999,,Minnesota,Timberwolves,Kevin,Garnett,
1998-1999,,Denver,Nuggets,Antonio,McDyess,
1998-1999,,Houston,Rockets,Hakeem,Olajuwon,
1997-1998,,Indiana,Pacers,Reggie,Miller,
1997-1998,,Sacramento,Kings,Mitch,Richmond,
1997-1998,,Chicago,Bulls,Scottie,Pippen,
1997-1998,,Charlotte,Hornets,Glen,Rice,
1997-1998,,Atlanta,Hawks,Dikembe,Mutombo,
1996-1997,,Orlando,Magic,Penny,Hardaway,
1996-1997,,Utah,Jazz,John,Stockton,
1996-1997,,Milwaukee,Bucks,Vin,Baker,
1996-1997,,Charlotte,Hornets,Anthony,Mason,
1996-1997,,Los Angeles,Lakers,Shaquille,O'Neal,
1995-1996,,Indiana,Pacers,Reggie,Miller,
1995-1996,,Sacramento,Kings,Mitch,Richmond,
1995-1996,,Phoenix,Suns,Charles,Barkley,
1995-1996,,Washington,Bullets,Juwan,Howard,
1995-1996,,Orlando,Magic,Shaquille,O'Neal,
1994-1995,,Indiana,Pacers,Reggie,Miller,
1994-1995,,Houston,Rockets,Clyde,Drexler,
1994-1995,,San Antonio,Spurs,Dennis,Rodman,
1994-1995,,Seattle,SuperSonics,Detlef,Schrempf,
1994-1995,,Houston,Rockets,Hakeem,Olajuwon,
1993-1994,,Seattle,SuperSonics,Gary,Payton,
1993-1994,,Cleveland,Cavaliers,Mark,Price,
1993-1994,,New Jersey,Nets,Derrick,Coleman,
1993-1994,,Los Angeles,Clippers,Dominique,Wilkins,
1993-1994,,Orlando,Magic,Shaquille,O'Neal,
1992-1993,,Golden State,Warriors,Tim,Hardaway,
1992-1993,,New Jersey,Nets,Drazen,Petrovic,
1992-1993,,New Jersey,Nets,Derrick,Coleman,
1992-1993,,Chicago,Bulls,Scottie,Pippen,
1992-1993,,San Antonio,Spurs,David,Robinson,
1991-1992,,Phoenix,Suns,Kevin,Johnson,
1991-1992,,Cleveland,Cavaliers,Mark,Price,
1991-1992,,Detroit,Pistons,Dennis,Rodman,
1991-1992,,Atlanta,Hawks,Kevin,Willis,
1991-1992,,Cleveland,Cavaliers,Brad,Daugherty,
1990-1991,,Utah,Jazz,John,Stockton,
1990-1991,,Detroit,Pistons,Joe,Dumars,
1990-1991,,Los Angeles,Lakers,James,Worthy,
1990-1991,,Washington,Bullets,Bernard,King,
1990-1991,,Houston,Rockets,Hakeem,Olajuwon,
1989-1990,,Portland,Trail Blazers,Clyde,Drexler,
1989-1990,,Detroit,Pistons,Joe,Dumars,
1989-1990,,Golden State,Warriors,Chris,Mullin,
1989-1990,,Los Angeles,Lakers,James,Worthy,
1989-1990,,San Antonio,Spurs,David,Robinson,
1988-1989,,Seattle,SuperSonics,Dale,Ellis,
1988-1989,,Cleveland,Cavaliers,Mark,Price,
1988-1989,,Milwaukee,Bucks,Terry,Cummings,
1988-1989,,Atlanta,Hawks,Dominique,Wilkins,
1988-1989,,Boston,Celtics,Robert,Parish,
