名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Kevin,Garnett,758303125,,2017,4,12,61417.00
Kobe,Bryant,1882810953,,2018,4,11,60600.00
Tim,Duncan,1399501823,,2018,4,11,60060.00
LeBron,James,14453172,,2023,4,12,59571.00
Ray,Allen,3316948068,,2018,4,11,57541.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,57446.00
Karl,Malone,209778290,,2004,4,15,55078.00
Carmelo,Anthony,4208656977,,2022,4,13,54716.00
Tony,Parker,961068511,,2022,4,13,53356.00
Tracy,McGrady,4135983248,,2018,4,10,53003.00
Kevin,Durant,3289429399,,2025,4,16,52367.00
Dirk,Nowitzki,3340545434,,2017,4,11,52269.00
Tyson,Chandler,3563203870,,2022,4,13,51478.00
Paul,Pierce,3059123028,,2017,4,12,51413.00
Pau,Gasol,1381211648,,2019,4,10,51124.00
Chris,Bosh,2798522086,,2022,4,13,50817.00
Vince,Carter,949977097,,2017,4,12,50574.00
Elvin,Hayes,3242341554,,1981,0,0,50000.00
John,Stockton,2802392380,,2004,4,15,49718.00
Elton,Brand,1406491559,,2016,4,14,49672.00
Derrick,Rose,535126531,,2025,4,16,49160.00
Chris,Paul,125296487,,2022,4,13,48855.00
Hakeem,Olajuwon,1272403453,,2004,4,15,47924.00
Wilt,Chamberlain,3995331167,,1965,0,0,47859.00
Mike,Conley,844021635,,2025,4,16,47294.00
Kevin,Love,2622310705,,2025,4,16,47150.00
Shawn,Marion,4242905577,,2017,4,12,46755.00
John,Havlicek,743581393,,1978,0,0,46471.00
Stephen,Curry,1629185898,,2025,4,16,46427.00
James,Harden,3411490024,,2025,4,16,46049.00
Jason,Kidd,2482654227,,2011,4,13,45742.00
Robert,Parish,343163452,,1994,0,0,45704.00
Corey,Maggette,1583327544,,2018,4,11,45703.00
Gilbert,Arenas,524621617,,2019,4,10,45688.00
Moses,Malone,1285953927,,1982,0,0,45071.00
Shareef,Abdur-Rahim,2131293229,,2014,4,16,44969.00
Kyle,Lowry,1665484738,,2024,4,11,44920.00
Jason,Richardson,3004004423,,2017,4,12,44225.00
Joe,Johnson,2911898164,,2019,4,8,44053.00
Zach,Randolph,3982421389,,2019,4,10,43976.00
Oscar,Robertson,2136803151,,1970,0,0,43886.00
Marc,Gasol,1897244614,,2025,4,16,43760.00
Shaquille,O'Neal,2048556069,,2009,4,15,43590.00
Dwight,Howard,1835916760,,2021,1,15,43577.00
Russell,Westbrook,2092888698,,2025,4,16,43459.00
Andrea,Bargnani,2972822663,,2022,4,13,42903.00
Dwyane,Wade,702239229,,2019,4,10,42667.00
Jermaine,O'Neal,3129988045,,2017,2,19,42591.00
Carlos,Boozer,1035628148,,2019,4,10,42546.00
Buck,Williams,3112056332,,1989,0,0,42464.00
Gary,Payton,1962166602,,2005,4,13,42384.00
LaMarcus,Aldridge,728364780,,2022,4,13,42260.00
Mike,Bibby,36368026,,2015,4,15,41711.00
Jason,Terry,3905775793,,2015,4,15,41638.00
J.R.,Smith,1539019190,,2022,3,8,41557.00
Allen,Iverson,381545994,,2013,2,10,41450.00
Reggie,Miller,0,,2003,0,0,41143.00
Scottie,Pippen,2493443696,,2003,4,16,40993.00
John,Wall,2715392048,,2025,4,16,40981.00
Bill,Russell,0,,1969,0,0,40726.00
Chauncey,Billups,257700249,,2015,4,8,40687.00
Michael,Jordan,1656064730,,2003,4,16,40640.00
Patrick,Ewing,2307488153,,2000,0,0,40594.00
Ming,Yao,648740660,,2017,4,12,40473.00
Donté,Greene,4101260216,,2024,4,11,40346.00
Steve,Nash,3116079434,,2013,4,10,40288.00
Stephon,Marbury,293525334,,2012,4,12,40267.00
Tyrus,Thomas,2481064465,,2022,4,13,40238.00
Blake,Griffin,1642967858,,2025,4,16,40078.00
DeMarcus,Cousins,1068200658,,2025,4,16,39850.00
Otis,Thorpe,219390279,,1995,0,0,39822.00
Mark,Jackson,1354317172,,2004,4,15,39793.00
Hal,Greer,3991557422,,1973,0,0,39788.00
Charles,Oakley,2952759940,,2003,1,20,39742.00
Chris,Webber,1521973345,,2011,3,13,39634.00
Amar'e,Stoudemire,3433513141,,2017,4,12,39592.00
Bobby C.,O'Gallagher,2996693558,,2025,4,15,39485.00
Isaiah,Thomas,2990905761,,2025,4,16,39415.00
Klay,Thompson,618804612,,2025,4,16,39403.00
Charles,Barkley,0,,1992,0,0,39330.00
Paul,George,1722054934,,2025,3,16,39181.00
Kawhi,Leonard,689664316,,2025,4,15,39066.00
Horace,Grant,3364412778,,2003,4,16,39018.00
Walt,Bellamy,0,,1966,0,0,38940.00
Glen,Rice,2017926309,,2005,4,13,38791.00
Luol,Deng,1469495419,,2019,4,10,38699.00
Wally,Szczerbiak,1650499239,,2015,2,14,38459.00
Kyrie,Irving,1057757000,,2025,4,16,38299.00
David,Robinson,3972749366,,2005,4,12,38200.00
Dominique,Wilkins,1986062677,,1994,0,0,38113.00
Lenny,Wilkens,600012424,,1968,0,0,38064.00
Alex,English,3220462428,,1990,0,0,38063.00
Gordon,Hayward,1952026266,,2025,4,16,37922.00
Jimmy,Butler,1343105906,,2025,4,16,37868.00
Derek,Harper,3832165228,,1997,0,0,37786.00
Kevin,Willis,2373521338,,2003,3,29,37590.00
Clyde,Drexler,2830652689,,1995,0,0,37537.00
Troy,Hudson,254762046,,2015,4,15,37518.00
Bradley,Beal,1574868299,,2025,4,16,37294.00
Rashard,Lewis,3116374673,,2014,4,16,37262.00
