名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
John,Stockton,2802392380,,2004,4,15,16539.00
Chris,Paul,125296487,,2022,4,13,14145.00
Tony,Parker,961068511,,2022,4,13,13586.00
LeBron,James,14453172,,2022,4,13,13081.00
Jason,Kidd,2482654227,,2011,4,13,11995.00
Derrick,Rose,535126531,,2022,4,13,11075.00
Mike,Conley,844021635,,2022,4,13,10760.00
Kyle,Lowry,1665484738,,2022,4,13,10609.00
Mark,Jackson,1354317172,,2004,4,15,10459.00
Steve,Nash,3116079434,,2013,4,10,10441.00
Gilbert,Arenas,524621617,,2019,4,10,10170.00
Magic,Johnson,764720090,,1996,0,0,10141.00
Dwyane,Wade,702239229,,2019,4,10,9925.00
Oscar,Robertson,2136803151,,1970,0,0,9887.00
Russell,Westbrook,2092888698,,2022,4,10,9185.00
Brandon,Roy,2637549671,,2021,4,14,9131.00
Isiah,Thomas,3964271256,,1994,0,0,9061.00
Andre,Miller,1832169431,,2014,3,14,9053.00
Stephen,Curry,1629185898,,2022,4,13,8991.00
Kobe,Bryant,1882810953,,2018,4,11,8857.00
James,Harden,3411490024,,2022,4,13,8737.00
Ramon,Sessions,2286944876,,2022,4,13,8432.00
Jason,Terry,3905775793,,2015,4,15,8338.00
Gary,Payton,1962166602,,2005,4,13,8298.00
Marcelo,Huertas,386584120,,2018,11,23,8261.00
Shaun,Livingston,3443208561,,2021,4,14,8258.00
Chauncey,Billups,257700249,,2015,4,8,8244.00
Stephon,Marbury,293525334,,2012,4,12,8235.00
Ricky,Rubio,4215381124,,2022,4,13,8230.00
Mike,Bibby,36368026,,2015,4,15,8202.00
Devin,Harris,2607007122,,2018,12,16,8189.00
Carmelo,Anthony,4208656977,,2022,4,13,8150.00
Jordan,Farmar,2489453530,,2020,4,16,8060.00
D.J.,Augustin,1573061304,,2022,4,13,7853.00
Rod,Strickland,4147349710,,2004,2,20,7800.00
Rajon,Rondo,3776378435,,2021,4,4,7452.00
Kevin,Garnett,758303125,,2017,4,12,7393.00
Maurice,Cheeks,679650091,,1989,0,0,7392.00
Nicolas,Batum,1379215474,,2022,4,13,7229.00
Lenny,Wilkens,600012424,,1968,0,0,7211.00
Terry,Porter,1240551733,,1995,0,0,7160.00
Ray,Allen,3316948068,,2018,4,10,7083.00
Tim,Hardaway,1790829144,,2003,0,0,7071.00
John,Wall,2715392048,,2022,4,13,7008.00
Bob,Cousy,4260253810,,1963,0,0,6955.00
Guy,Rodgers,0,,1966,0,0,6917.00
Jeremy,Lin,601051313,,2022,4,13,6883.00
Nick,Van Exel,2750123408,,2008,2,6,6877.00
Troy,Hudson,254762046,,2015,4,15,6866.00
Kevin,Durant,3289429399,,2022,4,13,6776.00
Muggsy,Bogues,2379797968,,1998,0,0,6726.00
Kevin,Johnson,272673572,,2000,0,0,6711.00
Jamaal,Tinsley,2037639045,,2014,4,16,6672.00
Derek,Harper,3832165228,,1997,0,0,6577.00
Chris,Duhon,3850342996,,2017,4,12,6524.00
Nate,Archibald,2602980960,,1976,0,0,6476.00
Deron,Williams,3665610743,,2017,4,12,6469.00
George,Hill,2625112596,,2022,4,13,6466.00
John,Lucas,2512421291,,1990,0,0,6454.00
Reggie,Theus,3354002385,,1984,0,0,6453.00
Norm,Nixon,673216601,,1983,0,0,6386.00
Jerry,West,294082333,,1974,0,0,6238.00
Brian,Roberts,3288225083,,2020,4,16,6168.00
J.R.,Smith,1539019190,,2020,12,23,6137.00
Clyde,Drexler,2830652689,,1995,0,0,6125.00
John,Havlicek,743581393,,1978,0,0,6114.00
Baron,Davis,3827111738,,2014,4,16,6098.00
Scottie,Pippen,2493443696,,2003,4,16,6044.00
Paul,Pierce,3059123028,,2017,4,12,5984.00
Mookie,Blaylock,0,,1999,0,0,5972.00
Isaiah,Thomas,2990905761,,2022,4,13,5968.00
T.J.,Ford,1660097673,,2016,4,14,5933.00
Dajuan,Wagner,2458588898,,2017,4,11,5813.00
Louis,Williams,2634520179,,2020,4,16,5808.00
Jeff,Teague,538915089,,2022,4,12,5769.00
Rodney,Stuckey,253388862,,2020,4,16,5706.00
Larry,Bird,721684922,,1992,0,0,5695.00
Allen,Iverson,381545994,,2012,2,29,5692.00
Raymond,Felton,3749755809,,2018,3,9,5691.00
Avery,Johnson,1902249315,,2004,3,30,5679.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,5660.00
Joe,Johnson,2911898164,,2019,2,13,5623.00
Kyrie,Irving,1057757000,,2022,4,13,5613.00
Jay,Williams,364185752,,2015,4,15,5613.00
Tim,Duncan,1399501823,,2018,4,11,5592.00
Michael,Jordan,1656064730,,2003,4,16,5588.00
Chris,Kaman,538716712,,2018,3,4,5581.00
Jason,Williams,1258009742,,2008,1,6,5512.00
Dennis,Johnson,1414841501,,1990,0,0,5499.00
Tracy,McGrady,4135983248,,2018,4,10,5497.00
Chris,Bosh,2798522086,,2022,3,20,5440.00
Eric,Bledsoe,3401011328,,2022,4,13,5439.00
Brandon,Jennings,240646623,,2021,4,6,5426.00
Damian,Lillard,1846265562,,2022,4,10,5415.00
Pau,Gasol,1381211648,,2019,4,10,5405.00
Dave,Bing,3985050591,,1975,0,0,5397.00
José,Calderon,1267040825,,2016,4,14,5393.00
Kenny,Anderson,3602700744,,2005,2,23,5349.00
Kevin,Porter,1719494492,,1983,0,0,5314.00
Jeff,Hornacek,4078888838,,1992,0,0,5281.00
