名字,姓氏,签名ID,球队标志,年份,月份,日期,数据
Wilt,Chamberlain,3995331167,,1965,0,0,23924.00
Bill,Russell,0,,1969,0,0,21620.00
Tim,Duncan,1399501823,,2018,4,11,20932.00
Kevin,Garnett,758303125,,2017,4,12,19867.00
Kareem,Abdul-Jabbar,1220450640,,1989,0,0,17440.00
Kevin,Love,2622310705,,2025,4,16,16812.00
Elvin,Hayes,3242341554,,1981,0,0,16279.00
Moses,Malone,1285953927,,1982,0,0,16212.00
Elton,Brand,1406491559,,2016,4,14,16126.00
Zach,Randolph,3982421389,,2019,4,10,15458.00
Dirk,Nowitzki,3340545434,,2017,4,11,15395.00
Karl,Malone,209778290,,2004,4,15,15135.00
Tyson,Chandler,3563203870,,2022,4,13,15047.00
Ming,Yao,648740660,,2017,4,12,14830.00
Pau,Gasol,1381211648,,2019,4,10,14798.00
Hakeem,Olajuwon,1272403453,,2004,4,15,14717.00
Robert,Parish,343163452,,1994,0,0,14715.00
Shaquille,O'Neal,2048556069,,2009,4,15,14639.00
Chris,Bosh,2798522086,,2022,3,20,14606.00
Nate,Thurmond,1261281841,,1974,0,0,14464.00
Walt,Bellamy,0,,1966,0,0,14241.00
Dwight,Howard,1835916760,,2020,10,28,14219.00
Carlos,Boozer,1035628148,,2019,4,10,13908.00
Wes,Unseld,459787263,,1981,0,0,13769.00
LeBron,James,14453172,,2023,4,12,13299.00
Buck,Williams,3112056332,,1989,0,0,13017.00
Jerry,Lucas,802009125,,1970,0,0,12942.00
Bob,Pettit,942771973,,1965,0,0,12849.00
Marc,Gasol,1897244614,,2025,4,16,12816.00
Andre,Drummond,1692910680,,2025,4,16,12561.00
Charles,Barkley,0,,1992,0,0,12546.00
Paul,Silas,200083957,,1976,0,0,12357.00
Tyrus,Thomas,2481064465,,2022,4,13,12336.00
Jermaine,O'Neal,3129988045,,2017,2,19,12326.00
DeAndre,Jordan,1662019434,,2025,4,16,12233.00
DeMarcus,Cousins,1068200658,,2025,4,16,12196.00
Amar'e,Stoudemire,3433513141,,2017,4,12,12171.00
Charles,Oakley,2952759940,,2003,0,0,12093.00
Anthony,Davis,2964188718,,2025,4,15,12056.00
Dennis,Rodman,757007820,,1993,0,0,11954.00
Andrea,Bargnani,2972822663,,2022,4,13,11923.00
Chris,Webber,1521973345,,2010,4,14,11798.00
Kwame,Brown,164836107,,2018,11,2,11783.00
Kevin,Willis,2373521338,,2003,3,21,11756.00
Ben,Wallace,3312187082,,2011,4,13,11622.00
Patrick,Ewing,2307488153,,2000,0,0,11607.00
David,Robinson,3972749366,,2005,4,12,11590.00
Elgin,Baylor,4070105251,,1972,0,0,11463.00
Greg,Oden,1566182507,,2022,4,12,11282.00
Dolph,Schayes,1885786402,,1964,0,0,11256.00
Kevin,Durant,3289429399,,2025,4,16,11241.00
Shawn,Marion,4242905577,,2017,4,12,11189.00
Joakim,Noah,3299952194,,2020,4,16,11181.00
Dikembe,Mutombo,1052384383,,2004,4,15,11169.00
Bill,Bridges,0,,1972,0,0,11054.00
Jack,Sikma,508638775,,1986,0,0,10816.00
Karl-Anthony,Towns,2634244266,,2025,4,16,10812.00
Carmelo,Anthony,4208656977,,2022,4,13,10704.00
Bobby C.,O'Gallagher,2996693558,,2025,4,15,10622.00
Joel,Embiid,4006736901,,2025,4,15,10508.00
Shareef,Abdur-Rahim,2131293229,,2013,4,10,10456.00
Dave,Cowens,649754523,,1980,0,0,10444.00
Hassan,Whiteside,1151292087,,2024,4,10,10407.00
Bill,Laimbeer,3507304340,,1994,0,0,10400.00
Otis,Thorpe,219390279,,1995,0,0,10370.00
Johan,Petro,3368221119,,2020,4,16,10121.00
Johnny,Kerr,0,,1965,0,0,10092.00
Kobe,Bryant,1882810953,,2018,4,11,9946.00
Kris,Humphries,3927655795,,2019,4,10,9715.00
Bob,Lanier,3609822916,,1980,0,0,9698.00
Sam,Lacey,0,,1982,0,0,9687.00
Dave,Debusschere,2255378467,,1969,0,0,9618.00
Chris,Kaman,538716712,,2018,2,7,9496.00
A.C.,Green,3921810256,,2000,0,0,9473.00
Tristan,Thompson,869766534,,2025,4,16,9445.00
Bailey,Howell,1637112921,,1964,0,0,9383.00
Paul,Pierce,3059123028,,2017,4,12,9355.00
Vlade,Divac,3577130840,,2005,4,13,9350.00
Horace,Grant,3364412778,,2003,4,16,9348.00
Artis,Gilmore,2051387877,,1988,0,0,9161.00
Simon,Davis,2530585323,,2022,1,14,9124.00
Shawn,Kemp,1280254661,,2004,4,15,9095.00
Johnny,Green,0,,1966,0,0,9083.00
Jonas,Valanciunas,1856902538,,2025,4,6,9075.00
Marcus,Camby,4265848006,,2010,4,14,9064.00
Larry,Bird,721684922,,1992,0,0,8974.00
Giannis,Antetokounmpo,3893280463,,2025,4,16,8954.00
Hamed,Haddadi,3382940480,,2021,1,4,8932.00
Clint,Capela,2623570023,,2025,4,16,8915.00
Paul,Millsap,374121648,,2018,1,19,8757.00
Donté,Greene,4101260216,,2024,4,11,8750.00
Leroy,Ellis,0,,1973,0,0,8709.00
Michael,Cage,410074366,,1994,0,0,8646.00
Terry,Cummings,1138652175,,1996,0,0,8630.00
LaMarcus,Aldridge,728364780,,2022,4,13,8524.00
Willis,Reed,337237682,,1974,0,0,8414.00
Eddy,Curry,3903315353,,2017,4,12,8329.00
Rudy,Gobert,1675311959,,2025,4,16,8291.00
Tracy,McGrady,4135983248,,2018,4,10,8175.00
Larry,Smith,0,,1989,0,0,8125.00
