名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Kobe,Bryant,95.28,566.6,100.0,47.14,84.26
Michael,Jordan,79.76,458.0,80.83,43.36,77.25
Tim,Duncan,63.75,308.0,54.36,47.89,85.65
LeBron,James,62.37,262.0,46.24,55.63,100.0
Kareem,Abdul-Jabbar,57.34,257.1,45.38,47.68,85.26
Shaquille,O'Neal,53.89,251.6,44.41,42.69,76.01
Magic,Johnson,50.16,255.2,45.04,35.2,62.12
Bill,Russell,48.69,230.16,40.62,38.11,67.52
Wilt,Chamberlain,48.31,171.36,30.24,50.49,90.47
Chris,Paul,47.18,195.2,34.45,43.16,76.88
Luka,Doncic,45.4,231.0,40.77,32.0,56.19
Larry,Bird,43.62,191.6,33.82,37.55,66.48
Hakeem,Olajuwon,43.42,184.0,32.47,38.89,68.97
Carmelo,Anthony,39.59,124.0,21.88,45.34,80.92
Scottie,Pippen,36.0,166.4,29.37,29.45,51.46
Karl,Malone,35.48,107.0,18.88,41.73,74.23
Moses,Malone,34.94,138.0,24.36,33.86,59.64
Kevin,Durant,34.56,90.0,15.88,43.85,78.16
Dwyane,Wade,34.24,95.0,16.77,42.15,75.01
Kevin,Garnett,34.11,78.0,13.77,45.69,81.57
John,Havlicek,33.61,131.32,23.18,32.95,57.95
Bob,Cousy,33.58,138.88,24.51,31.21,54.73
James,Harden,33.06,113.0,19.94,36.03,63.66
Giannis,Antetokounmpo,32.77,120.0,21.18,33.95,59.81
Jerry,West,31.23,96.32,17.0,36.45,64.44
Dwight,Howard,30.17,87.0,15.35,36.62,64.76
Dennis,Rodman,29.93,153.0,27.0,21.53,36.78
Chris,Bosh,29.52,59.6,10.52,41.53,73.86
Oscar,Robertson,29.41,76.58,13.52,37.56,66.5
David,Robinson,29.21,90.0,15.88,34.23,60.33
Bob,Pettit,28.81,79.52,14.03,35.83,63.29
Anthony,Davis,28.8,89.0,15.71,33.69,59.33
Tracy,McGrady,27.79,54.0,9.53,39.66,70.39
Dennis,Johnson,27.78,105.8,18.67,28.14,49.04
Jason,Kidd,27.41,73.0,12.88,34.77,61.33
Elton,Brand,27.35,45.0,7.94,40.88,72.65
John,Stockton,26.72,75.0,13.24,33.06,58.16
Allen,Iverson,26.66,71.0,12.53,33.85,59.62
Charles,Barkley,26.47,60.0,10.59,35.95,63.52
George,Mikan,26.33,99.4,17.54,26.95,46.83
Dirk,Nowitzki,25.63,23.0,4.06,42.67,75.97
Ming,Yao,25.62,60.0,10.59,34.42,60.68
Gary,Payton,25.44,72.0,12.71,31.44,55.15
Elgin,Baylor,24.19,35.7,6.3,37.25,65.93
Pau,Gasol,24.01,13.0,2.29,41.97,74.68
Chris,Webber,23.78,33.0,5.82,37.12,65.68
Willis,Reed,23.76,77.7,13.71,27.15,47.2
Isiah,Thomas,23.7,61.0,10.77,30.75,53.87
Paul,George,23.1,71.6,12.64,27.31,47.5
Elvin,Hayes,22.6,31.0,5.47,35.44,62.57
Derrick,Rose,22.37,94.0,16.59,21.03,35.85
Julius,Erving,22.3,63.6,11.22,27.67,48.16
Michael,Cooper,22.02,101.4,17.9,18.75,31.63
Walt,Frazier,21.7,62.44,11.02,26.83,46.61
Rick,Barry,20.69,51.8,9.14,27.38,47.63
Paul,Pierce,20.69,4.0,0.71,38.0,67.32
George,Gervin,20.43,55.0,9.71,26.2,45.44
Ben,Simmons,20.17,77.0,13.59,20.86,35.54
Tom,Heinsohn,20.15,55.3,9.76,25.64,44.4
Gilbert,Arenas,19.86,14.0,2.47,34.28,60.42
Andrea,Bargnani,19.75,19.0,3.35,32.99,58.03
Mike,Conley,19.36,37.0,6.53,28.29,49.31
Bob,McAdoo,19.32,29.4,5.19,29.89,52.28
Patrick,Ewing,18.68,30.0,5.29,28.62,49.93
