名字,姓氏,goat_score_stats,场均综合分,耐久系数,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,场均失误,投篮命中率,出场总数,场均得分_分,场均篮板_分,场均助攻_分,场均抢断_分,场均盖帽_分,场均失误_分
LeBron,James,55.63,46.59,1.1941,28.83,8.21,8.40,1.54,1.41,2.51,50.5,1558,28.83,6.568,10.92,2.926,2.115,-4.769
Wilt,Chamberlain,50.49,49.61,1.0178,30.10,22.90,4.4,0.8,0.4,3.5,54.0,1045,30.1,18.32,5.72,1.52,0.6,-6.65
Tim,Duncan,47.89,39.0,1.228,23.52,12.53,3.35,0.94,2.42,2.27,57.0,1671,23.52,10.024,4.355,1.786,3.63,-4.313
Kareem,Abdul-Jabbar,47.68,39.91,1.1947,24.60,11.20,3.63,0.9,2.00,1.62,56.0,1560,24.6,8.96,4.719,1.71,3.0,-3.078
Kobe,Bryant,47.14,37.89,1.244,27.86,5.76,5.13,1.78,0.5,2.83,55.0,1726,27.86,4.608,6.669,3.382,0.75,-5.377
Kevin,Garnett,45.69,36.47,1.2529,21.91,11.31,4.21,1.14,1.42,2.24,54.0,1757,21.91,9.048,5.473,2.166,2.13,-4.256
Carmelo,Anthony,45.34,38.08,1.1907,26.02,6.92,5.27,1.19,1.21,2.32,44.7,1547,26.02,5.536,6.851,2.261,1.815,-4.408
Kevin,Durant,43.85,40.37,1.0863,26.54,7.68,5.51,1.59,1.58,2.56,50.1,1230,26.54,6.144,7.163,3.021,2.37,-4.864
Michael,Jordan,43.36,42.17,1.0282,30.34,6.2,5.21,2.32,0.8,2.9,49.7,1072,30.34,4.96,6.773,4.408,1.2,-5.51
Chris,Paul,43.16,37.89,1.1391,22.64,4.5,10.21,2.00,0.2,3.01,47.1,1385,22.64,3.6,13.273,3.8,0.3,-5.719
Shaquille,O'Neal,42.69,39.07,1.0927,26.34,11.73,2.5,0.6,2.29,2.36,59.0,1248,26.34,9.384,3.25,1.14,3.435,-4.484
Dirk,Nowitzki,42.67,36.12,1.1814,24.60,10.15,3.0,1.02,0.96,2.04,47.1,1517,24.6,8.12,3.9,1.938,1.44,-3.876
Dwyane,Wade,42.15,38.62,1.0913,23.76,4.7,7.98,1.85,1.61,2.74,54.0,1244,23.76,3.76,10.374,3.515,2.415,-5.206
Pau,Gasol,41.97,36.09,1.1628,22.74,10.15,3.71,0.6,1.73,1.75,55.0,1458,22.74,8.12,4.823,1.14,2.595,-3.325
Karl,Malone,41.73,35.34,1.1808,24.56,9.99,3.6,1.38,0.78,2.99,52.0,1515,24.56,7.992,4.68,2.622,1.17,-5.681
Chris,Bosh,41.53,34.91,1.1895,22.32,9.47,3.53,1.10,1.55,2.10,47.2,1543,22.32,7.576,4.589,2.09,2.325,-3.99
Elton,Brand,40.88,35.91,1.1385,22.96,11.66,2.1,0.95,2.08,2.12,56.0,1383,22.96,9.328,2.73,1.805,3.12,-4.028
Tracy,McGrady,39.66,32.61,1.2161,25.29,5.01,3.37,1.11,0.73,2.25,54.0,1631,25.29,4.008,4.381,2.109,1.095,-4.275
Hakeem,Olajuwon,38.89,33.97,1.1447,20.17,10.50,2.5,1.65,2.89,2.80,51.2,1402,20.17,8.4,3.25,3.135,4.335,-5.32
Bill,Russell,38.11,38.69,0.985,15.1,22.50,4.3,,,,44.0,963,15.1,18.0,5.59,,,
Paul,Pierce,38.0,32.22,1.1795,22.50,6.19,3.96,1.43,0.81,2.27,44.6,1511,22.5,4.952,5.148,2.717,1.215,-4.313
Oscar,Robertson,37.56,36.98,1.0158,25.70,7.5,9.50,,0.1,3.8,48.5,1040,25.7,6.0,12.35,,0.15,-7.22
Larry,Bird,37.55,39.22,0.9575,24.30,10.00,6.30,1.70,0.8,3.0,49.6,897,24.3,8.0,8.19,3.23,1.2,-5.7
Elgin,Baylor,37.25,39.83,0.9353,27.40,13.50,4.3,0.8,0.4,3.2,43.1,846,27.4,10.8,5.59,1.52,0.6,-6.08
Chris,Webber,37.12,34.68,1.0703,20.67,9.96,4.2,1.35,1.73,2.41,51.0,1185,20.67,7.968,5.46,2.565,2.595,-4.579
Dwight,Howard,36.62,32.91,1.1127,21.21,10.89,1.3,1.01,1.97,1.88,57.0,1306,21.21,8.712,1.69,1.919,2.955,-3.572
Jerry,West,36.45,37.49,0.9722,27.00,5.8,6.70,1.4,0.5,3.3,47.4,932,27.0,4.64,8.71,2.66,0.75,-6.27
